nu,[0]PFC-1114-HITRAN(x-sec)-X=0.01-T=293.0K-P=0.9737atm-L=15cm
128.500386,1.0
128.620931,1.0
128.741475,1.0
128.86202,1.0
128.982564,1.0
129.103108,1.0
129.223653,1.0
129.344197,1.0
129.464742,1.0
129.585286,1.0
129.705831,1.0
129.826375,1.0
129.946919,1.0
130.067464,1.0
130.188008,1.0
130.308553,1.0
130.429097,1.0
130.549642,1.0
130.670186,1.0
130.79073,1.0
130.911275,1.0
131.031819,1.0
131.152364,1.0
131.272908,1.0
131.393453,1.0
131.513997,1.0
131.634541,1.0
131.755086,1.0
131.87563,1.0
131.996175,1.0
132.116719,1.0
132.237264,1.0
132.357808,1.0
132.478353,1.0
132.598897,1.0
132.719441,1.0
132.839986,1.0
132.96053,1.0
133.081075,1.0
133.201619,1.0
133.322164,1.0
133.442708,1.0
133.563252,1.0
133.683797,1.0
133.804341,1.0
133.924886,1.0
134.04543,1.0
134.165975,1.0
134.286519,1.0
134.407063,1.0
134.527608,1.0
134.648152,1.0
134.768697,1.0
134.889241,1.0
135.009786,1.0
135.13033,1.0
135.250874,1.0
135.371419,1.0
135.491963,1.0
135.612508,1.0
135.733052,1.0
135.853597,1.0
135.974141,1.0
136.094686,1.0
136.21523,1.0
136.335774,1.0
136.456319,1.0
136.576863,1.0
136.697408,1.0
136.817952,1.0
136.938497,1.0
137.059041,1.0
137.179585,1.0
137.30013,1.0
137.420674,1.0
137.541219,1.0
137.661763,1.0
137.782308,1.0
137.902852,1.0
138.023396,1.0
138.143941,1.0
138.264485,1.0
138.38503,1.0
138.505574,1.0
138.626119,1.0
138.746663,1.0
138.867207,1.0
138.987752,1.0
139.108296,1.0
139.228841,1.0
139.349385,1.0
139.46993,1.0
139.590474,1.0
139.711019,1.0
139.831563,1.0
139.952107,1.0
140.072652,1.0
140.193196,1.0
140.313741,1.0
140.434285,1.0
140.55483,1.0
140.675374,1.0
140.795918,1.0
140.916463,1.0
141.037007,1.0
141.157552,1.0
141.278096,1.0
141.398641,1.0
141.519185,1.0
141.639729,1.0
141.760274,1.0
141.880818,1.0
142.001363,1.0
142.121907,1.0
142.242452,1.0
142.362996,1.0
