nu,[0]Nonafluoropentanal-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
650.68094,0.8342935167417189
650.741205,0.8528172485410012
650.80147,0.9478357985594713
650.861735,0.8844051560660091
650.922,0.7653515562982699
650.982265,0.7819926010926006
651.04253,0.930049935676979
651.102795,0.9707444768077398
651.16306,0.8557645492187835
651.223325,0.7989954722523029
651.28359,0.8732442324605761
651.343855,0.9556275823877898
651.40412,0.960155527336393
651.464385,0.9995698525399569
651.52465,1.0
651.584915,1.0
651.64518,0.8966676485659488
651.705445,0.7972715045875944
651.76571,0.8133855911606541
651.825975,0.8445849126077027
651.88624,0.8202386044615031
651.946505,0.8411460262628286
652.00677,0.9743029370813119
652.067035,1.0
652.1273,0.9171419687560171
652.187565,0.7912826836706714
652.24783,0.8405994589993622
652.308095,1.0
652.36836,1.0
652.428625,0.9659617904031517
652.48889,0.866502746658995
652.549155,0.9100697809941802
652.60942,1.0
652.669684,1.0
652.729949,0.9447886757885862
652.790214,0.8822939516372545
652.850479,0.9086993387218361
652.910744,0.9678259612182593
652.971009,0.9614064640160473
653.031274,0.8922311885452439
653.091539,0.866502746658995
653.151804,0.9118169698526236
653.212069,0.9558235061236761
653.272334,0.914006130701141
653.332599,0.852254574859704
653.392864,0.8535424513698
653.453129,0.9163572311463759
653.513394,0.9529469911618352
653.573659,0.9391096813929241
653.633924,0.9268699634582976
653.694189,0.9399148433524983
653.754454,0.9643085142914576
653.814719,0.9935672791077724
653.874984,1.0
653.935249,0.9356741438786891
653.995514,0.7986360051759476
654.055779,0.7178102648062172
654.116044,0.7538966419593209
654.176309,0.8872575305268775
654.236574,0.9684494418765075
654.296839,0.9411384683591744
654.357104,0.9022803481034818
654.417369,0.9051885630718892
654.477634,0.908107967964395
654.537899,0.8838304795046821
654.598164,0.8618620982023631
654.658429,0.8557645492187835
654.718694,0.834835983810299
654.778958,0.7976303575005086
654.839223,0.7887388511974894
654.899488,0.8415246271534584
654.959753,0.9159495428958793
655.020018,0.9566429979705242
655.080283,0.9535675616268515
655.140548,0.9199113244977585
655.200813,0.8895407150157161
655.261078,0.8935705395902171
655.321343,0.9252835943239732
655.381608,0.9187143793336531
655.441873,0.8507984648655564
655.502138,0.7989954722523029
655.562403,0.8278610108329721
655.622668,0.9199113244977585
655.682933,0.9730449505209134
655.743198,0.9759831080935657
655.803463,0.991856836655196
655.863728,1.0
655.923993,0.9688679024163668
655.984258,0.8883850634224856
656.044523,0.8464111876859642
656.104788,0.8663294634385628
656.165053,0.8783413320657728
656.225318,0.8413226854769121
656.285583,0.8031369754046818
656.345848,0.8146065850638862
656.406113,0.8507984648655564
656.466378,0.8650222931107413
656.526643,0.8559442786450487
656.586908,0.8466143507496013
656.647173,0.8504241958862293
656.707438,0.8681680300931018
656.767703,0.8935705395902171
656.827967,0.8895407150157161
656.888232,0.8445849126077027
656.948497,0.8162047796897094
657.008762,0.8609145711297728
657.069027,0.9437537546403081
657.129292,0.9407197549114062
657.189557,0.8537217141065162
657.249822,0.8015723842747741
657.310087,0.8464111876859642
657.370352,0.906926380770288
657.430617,0.8905197481717501
657.490882,0.8362982258705934
657.551147,0.8398852530397467
657.611412,0.8953236553400181
657.671677,0.9240796590161251
657.731942,0.8962732015852793
657.792207,0.8681680300931018
657.852472,0.8787015258465992
657.912737,0.9018744132890186
657.973002,0.9088856411816237
658.033267,0.9057780326779877
658.093532,0.9075169820640324
658.153797,0.9024608222199125
658.214062,0.882867629130806
658.274327,0.8756927426260043
658.334592,0.9016940564426467
658.394857,0.9391096813929241
658.455122,0.942138488329187
658.515387,0.9063678861537358
658.575652,0.8825057275977463
658.635917,0.8905197481717501
658.696182,0.9044122443731202
658.756447,0.8966676485659488
658.816712,0.8841929242973843
658.876976,0.8897275381816153
658.937241,0.9030476124405173
658.997506,0.9030476124405173
659.057771,0.9046021908881245
659.118036,0.9264575980826597
659.178301,0.9403331985349145
659.238566,0.9044122443731202
659.298831,0.8559442786450487
659.359096,0.8546527781125925
659.419361,0.9079209169899062
659.479626,0.9482576793513445
659.539891,0.9302731744491226
659.600156,0.8897275381816153
659.660421,0.8627761563917117
659.720686,0.8511814103310135
659.780951,0.8513516636378429
659.841216,0.8741703621089814
659.901481,0.9009189329050006
659.961746,0.8754826015857076
660.022011,0.8181332977259704
660.082276,0.816898848689982
660.142541,0.9181164909065054
660.202806,1.0
660.263071,1.0
660.323336,0.9057780326779877
660.383601,0.8444160125157534
660.443866,0.8487929479292857
660.504131,0.8561240458184567
660.564396,0.8515304662608252
660.624661,0.8809891224006413
660.684926,0.9364754238447475
660.745191,0.9358669126068254
660.805456,0.8648147126710438
660.865721,0.8146065850638862
660.925985,0.850075593434302
660.98625,0.924270039034351
661.046515,0.9576920534737038
661.10678,0.9367002049191202
661.167045,0.9159495428958793
661.22731,0.9141944353587793
661.287575,0.9067404799177184
661.34784,0.885166071647028
661.408105,0.866502746658995
661.46837,0.8552084830028897
661.528635,0.853192570695178
661.5889,0.8802053908939581
661.649165,0.9326661186550433
661.70943,0.9574622349601948
661.769695,0.9175511053047506
661.82996,0.862594992421752
661.890225,0.871177094156111
661.95049,0.9308473301065634
662.010755,0.9580857458059139
662.07102,0.9120358321878179
662.131285,0.8691235403605041
662.19155,0.8800293674187135
662.251815,0.8997484992389432
662.31208,0.8657665322597807
662.372345,0.8160089140474011
