nu,[0]Chloroform-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
597.874357,0.9986212513484696
598.00676,0.9992995854048993
598.139163,0.9984141587771819
598.271565,0.9988085103880837
598.403968,0.9986854647593703
598.536371,0.9981815553775352
598.668773,0.9992568962384579
598.801176,0.9990272034736281
598.933579,0.9985869992269756
599.065981,0.9988003201918784
599.198384,0.9982785833402005
599.330787,0.9986862637080617
599.463189,0.9984282365160684
599.595592,0.9987027421673598
599.727995,0.9987564738202569
599.860397,0.9976691207277051
599.9928,0.9985410652814999
600.125203,0.9987928292175682
600.257605,0.9979730570290275
600.390008,0.9982303676490434
600.52241,0.9984585891958169
600.654813,0.9988673419419178
600.787216,0.9979510020681753
600.919618,0.9984448105623588
601.052021,0.9979398250795435
601.184424,0.9977807661487593
601.316826,0.9978178842836531
601.449229,0.9980671703256775
601.581632,0.9972923722542343
601.714034,0.9978224742564777
601.846437,0.9980071882912191
601.97884,0.9977447469132525
602.111242,0.9974933469147605
602.243645,0.9977776730331787
602.376048,0.9973952981379351
602.50845,0.9979407232257902
602.640853,0.9978126956441453
602.773255,0.9978745619491108
602.905658,0.9970024017961309
603.038061,0.997569757831635
603.170463,0.9976994503299829
603.302866,0.9972297442597964
603.435269,0.9978631862439463
603.567671,0.997080868972795
603.700074,0.996972791264516
603.832477,0.9967963426966211
603.964879,0.9971305248364907
604.097282,0.9966825150539673
604.229685,0.9969379975212552
604.362087,0.9965607278919748
604.49449,0.9965378072588216
604.626893,0.9966977644131049
604.759295,0.9973186013885362
604.891698,0.9965470751035246
605.0241,0.9969807670787494
605.156503,0.9965173784431689
605.288906,0.9961309043135742
605.421308,0.996484493912278
605.553711,0.9965353159174176
605.686114,0.9963570516956101
605.818516,0.9959396655394558
605.950919,0.9956335607369875
606.083322,0.9961628806288197
606.215724,0.996191172056366
606.348127,0.9962233495508871
606.48053,0.9959758188054927
606.612932,0.9961479382976781
606.745335,0.9962582179783154
606.877738,0.9954517746463721
607.01014,0.9960639665659378
607.142543,0.9958605910693099
607.274945,0.995511901749381
607.407348,0.9961474402238335
607.539751,0.9953864751518021
607.672153,0.9958861850153812
607.804556,0.9957425885810537
607.936959,0.9962600112447216
608.069361,0.996057492171197
608.201764,0.99540419318875
608.334167,0.994837571373688
608.466569,0.9947880296962316
608.598972,0.994923429560825
608.731375,0.995596424297771
608.863777,0.9952855480803108
608.99618,0.995009693161641
609.128583,0.9952455384054778
609.260985,0.9950151657300029
609.393388,0.9949483029574803
609.525791,0.9944571187688368
609.658193,0.9947347104868075
609.790596,0.9951637325844862
609.922998,0.9950929789584206
610.055401,0.9936905884582966
610.187804,0.9946003309049658
610.320206,0.9946777138208667
610.452609,0.9943355041001
610.585012,0.9945474195748155
610.717414,0.9947933020867608
610.849817,0.9944017290499394
610.98222,0.9942586449362779
611.114622,0.9941619082764405
611.247025,0.9945476184843194
611.379428,0.9935899326999861
611.51183,0.994287279997595
611.644233,0.993962698191539
611.776636,0.9934262025708103
611.909038,0.993866586645692
612.041441,0.9936115931966175
612.173843,0.9937600498580775
612.306246,0.993810236007785
612.438649,0.9936750870060284
612.571051,0.9939494785755638
612.703454,0.9939548459172399
612.835857,0.9937642236590519
612.968259,0.994005439506493
613.100662,0.9940625964625114
613.233065,0.9937815153069804
613.365467,0.9939285064628224
613.49787,0.9945080362767948
613.630273,0.9933573605203767
613.762675,0.9935902307770106
613.895078,0.9939813848659192
614.027481,0.9937200021350353
614.159883,0.9944044139382324
614.292286,0.9942041610554074
614.424688,0.9940676661946811
614.557091,0.9939822794495682
614.689494,0.9943823384052823
