nu,[0]HFC-43-10-mee-PNNL(x-sec)-X=0.01-T=278.08K-P=1.0atm-L=15cm
565.08458,0.8774107835316366
565.325634,0.8773669140892052
565.566688,0.8769721877979416
565.807742,0.8742577835161898
566.048796,0.8726244491046565
566.28985,0.8717696960419434
566.530904,0.8703150556123826
566.771958,0.8694451755692818
567.013012,0.8678902607689343
567.254066,0.8638207473910514
567.49512,0.8639157728995716
567.736174,0.8639157728995716
567.977228,0.8628279245141233
568.218282,0.8654462578972554
568.459336,0.8640972142625568
568.70039,0.8634752881885416
568.941444,0.8644515667577021
569.182498,0.8642527657603389
569.423552,0.8660609429277264
569.664606,0.8654635669955038
569.90566,0.8659570218499645
570.146714,0.8651434047093909
570.387768,0.8673263154015345
570.628822,0.8706458381782224
570.869876,0.8752024919731284
571.11093,0.8772616363763036
571.351984,0.8813415885381295
571.593038,0.8838216412440785
571.834092,0.8893094644936826
572.075146,0.8947866222728452
572.3162,0.8963897246753222
572.557254,0.9009639799778133
572.798308,0.9049360506899075
573.039362,0.9089883510620762
573.280416,0.9152866354282826
573.52147,0.9194946990405517
573.762524,0.9223938291898116
574.003578,0.9258167111972236
574.244632,0.9308845647444555
574.485686,0.9332249530142991
574.72674,0.9348492431184992
574.967794,0.9378146038416411
575.208848,0.9409549642500764
575.449902,0.9418926222706494
575.690956,0.947952389532892
575.93201,0.9480443453744629
576.173064,0.9497894030143025
576.414118,0.9513911472489233
576.655172,0.9537306356223189
576.896226,0.9558273294253472
577.13728,0.9566774377383632
577.378334,0.9573894705954188
577.619388,0.9590577374686509
577.860442,0.9609527872411733
578.101496,0.9598867214233228
578.34255,0.9605185347298011
578.583604,0.9625136799366554
578.824658,0.9642959783622556
579.065712,0.9623770126977079
579.306766,0.9655986570433099
579.54782,0.964300799854201
579.788874,0.9664661540852105
580.029928,0.9656517664299421
580.270982,0.9663791760454133
580.512036,0.9658893459855711
580.75309,0.9671139033802303
580.994144,0.9653215699926323
581.235198,0.9642844068799442
581.476252,0.9653051596654305
581.717306,0.966151137469477
581.95836,0.9659405394775239
582.199414,0.9664149327364218
582.440468,0.9647280797440443
582.681522,0.9654422427307703
582.922576,0.9650435974104475
583.16363,0.9634265755493872
583.404684,0.9626686571144532
583.645738,0.961950774099903
583.886792,0.9620277332401556
584.127846,0.9603792696392284
584.3689,0.9594203298190509
584.609954,0.9581585630896168
584.851008,0.9562470297404436
585.092062,0.9554794715914029
585.333116,0.9531738195372378
585.57417,0.9513093311284034
585.815224,0.9495605313483195
586.056278,0.9491608505033431
586.297332,0.9462230078755777
586.538386,0.9460621636363865
586.77944,0.9434857666300889
587.020494,0.9425484077226143
587.261548,0.9388918332182064
587.502602,0.9373242550412202
587.743656,0.9356535592739552
587.98471,0.9347791320544631
588.225764,0.9326362738167664
588.466818,0.9316845381249474
588.707872,0.9302145690852206
588.948926,0.9283931341191823
589.18998,0.9272111143727686
589.431034,0.9262297175439869
589.672088,0.9274049217478377
589.913142,0.9243014647499124
590.154196,0.9245140785364531
590.39525,0.9237784581456953
590.636304,0.9243347402015979
590.877358,0.921287620452771
591.118412,0.9204652778383321
591.359466,0.9215317940237603
591.60052,0.9206981850151407
591.841574,0.9195774572875306
592.082628,0.9205020971858277
592.323682,0.9215649697655048
592.564736,0.9197475948543685
592.80579,0.9203888823907265
593.046844,0.9197016086242911
593.287898,0.9179723579321676
593.528952,0.9187713413909773
593.770006,0.9201137272526347
594.01106,0.9195986078122783
594.252114,0.9213281579998904
594.493168,0.9225930877760692
594.734222,0.9220618271752514
594.975276,0.9220433861231191
595.21633,0.9224500969295407
595.457384,0.9230434230757799
595.698438,0.9253428143690311
595.939492,0.926331608416812
596.180546,0.9254695950188759
596.4216,0.9272611851248429
596.662654,0.9278789467659282
596.903708,0.9284247000223597
597.144762,0.9302443364277063
597.385816,0.9290673922606427
597.62687,0.9295199582715528
597.867924,0.9308743250705616
598.108978,0.9298509262855085
598.350032,0.9299783245889941
598.591086,0.9301727103714399
598.83214,0.9298462770425002
599.073194,0.9295924636559711
599.314248,0.929431658069843
599.555302,0.9298797521110214
599.796356,0.9282863750475229
600.03741,0.9286633358336537
600.278464,0.9273492791218283
600.519518,0.9268792322042759
600.760572,0.9267059219928635
601.001626,0.9267911828596266
601.24268,0.9253446650565106
601.483734,0.9240205198104229
601.724788,0.9217815629821059
601.965842,0.921186284388107
602.206896,0.9206245321064951
602.44795,0.9189744122959332
602.689004,0.9172382737186584
602.930058,0.9160319820644468
603.171112,0.9162995024592865
603.412166,0.91231951944271
603.65322,0.910463016072231
603.894274,0.9101343982425161
604.135328,0.9071404406542225
604.376382,0.9056892707801892
604.617436,0.9032824353454066
604.85849,0.9015227508464696
605.099544,0.8969456586263372
605.340598,0.8981034651506146
605.581652,0.8961208480914237
605.822706,0.8927399052932143
606.06376,0.8916157613719395
606.304814,0.8909473002551636
606.545868,0.8885627582040558
606.786922,0.883477018009892
607.027976,0.8808217503682318
607.26903,0.8792113205577652
607.510084,0.8765864049137689
607.751138,0.8756314462794176
607.992192,0.8720225459152552
608.233246,0.8703237588064546
608.4743,0.8696886543038733
608.715354,0.8689671122021958
608.956408,0.8666413981902871
609.197462,0.8640626510652548
609.438516,0.8612676184736958
609.67957,0.8594952333630784
609.920624,0.859409288137075
610.161678,0.8588766195227636
610.402732,0.8580696548332357
610.643786,0.8561668530909206
610.88484,0.8570148779785375
611.125894,0.8578894791248323
611.366948,0.8540974343131069
611.608002,0.8549348600703328
611.849056,0.8541315988937666
612.09011,0.8545844086251595
612.331164,0.8540291092514007
612.572218,0.8497696212989545
612.813272,0.8496336690360177
613.054326,0.848419561183305
613.29538,0.8482923077933703
613.536434,0.8505092425580807
613.777488,0.8519137412010364
614.018542,0.8507389110574235
614.259596,0.8524761898578689
614.50065,0.8526125969605233
614.741704,0.8557731069070641
