nu,[0]trans-1-2-Dichloroethene-PNNL(x-sec)-X=0.01-T=278.23K-P=1.0atm-L=15cm
627.256145,0.9989650359451187
627.375348,0.9987941276490901
627.49455,0.9986777749108976
627.613752,0.9984731667976354
627.732955,0.9987129289872826
627.852157,0.9987730533153317
627.971359,0.9986973491871132
628.090562,0.9988171001782091
628.209764,0.9986594992748393
628.328967,0.9983847059939286
628.448169,0.9984288355731901
628.567371,0.9984962317941881
628.686574,0.9986877617385808
628.805776,0.9984649793512362
628.924978,0.9989016036793319
629.044181,0.9985667281166437
629.163383,0.9985942889386773
629.282586,0.99868416646911
629.401788,0.998697449056853
629.52099,0.9984299338455133
629.640193,0.9987479844263094
629.759395,0.9986500120546605
629.878598,0.9988985070891602
629.9978,0.9988553556057327
630.117002,0.9985784114157098
630.236205,0.9985696239643542
630.355407,0.9985127071179337
630.474609,0.9988556552623843
630.593812,0.9988481638730626
630.713014,0.9990111692156877
630.832217,0.9987361992696258
630.951419,0.9983695306617303
631.070621,0.9985378699552035
631.189824,0.9987449881868504
631.309026,0.9987956258414052
631.428229,0.9987134283438719
631.547431,0.9988644452308264
631.666633,0.9986997460636274
631.785836,0.9984003807568593
631.905038,0.9984142586186027
632.02424,0.9982463394626999
632.143443,0.9985730191068474
632.262645,0.9989181855835824
632.381848,0.9985582403355279
632.50105,0.9986812702892267
632.620252,0.9985086132242271
632.739455,0.9985918923152598
632.858657,0.9986003803824187
632.97786,0.9988084105072377
633.097062,0.9989806199212341
633.216264,0.9986831677854429
633.335467,0.9983815111679811
633.454669,0.998887818932316
633.573871,0.9988563544615877
633.693074,0.998895510398134
633.812276,0.9989100943790485
633.931479,0.9987129289872826
634.050681,0.9985740176803658
634.169883,0.9986506112448476
634.289086,0.9982801805872116
634.408288,0.9984619839607912
634.527491,0.9986255454290826
634.646693,0.9985625341451929
634.765895,0.9987939278902845
634.885098,0.9989544469718593
635.0043,0.9988867201563196
635.123502,0.9986116646304729
635.242705,0.9990584934956401
635.361907,0.9989280749225719
635.48111,0.9989813192079128
635.600312,0.9991347045841779
635.719514,0.9992877237892194
635.838717,0.9988476644491056
635.957919,0.998769357861871
636.077122,0.9990555862396541
636.196324,0.9989113929630153
636.315526,0.9989728279027876
636.434729,0.9992387199208295
636.553931,0.9988560548047264
636.673133,0.998920682882168
636.792336,0.9993117569479741
636.911538,0.9992333740079782
637.030741,0.9990171633006851
637.149943,0.999389046708013
637.269145,0.9991129236850306
637.388348,0.9990910733243242
637.50755,0.9993199713243772
637.626753,0.9991269912940318
637.745955,0.9992433364143796
637.865157,0.9993837499601018
637.98436,0.9992338636324514
638.103562,0.9992330842303417
638.222764,0.9991509706295738
638.341967,0.9991269713114922
638.461169,0.9994424255024656
638.580372,0.9991102260837784
638.699574,0.9995197953351845
638.818776,0.9994828137869199
638.937979,0.9992623821738772
639.057181,0.9991818848388454
639.176384,0.9990154549827965
639.295586,0.9992938094699881
639.414788,0.9992383901721063
639.533991,0.9995310000148924
639.653193,0.9993166236080807
639.772395,0.9991626907391976
639.891598,0.9993278260102207
640.0108,0.998982018495081
640.130003,0.998984515953249
640.249205,0.9991951340784806
640.368407,0.9994478225061353
640.48761,0.9994611152505711
640.606812,0.9992047363898582
640.726015,0.9993426761320514
640.845217,0.9995577878046475
640.964419,0.9992353624843711
641.083622,0.9992196945967238
641.202824,0.9996009496417823
641.322026,0.9992859750372329
641.441229,0.9993447247866373
641.560431,0.9994082551500832
641.679634,0.9993921448188599
641.798836,0.9994168900747106
641.918038,0.9992200243392775
642.037241,0.999649071589784
642.156443,0.9996372758003346
642.275646,0.9997270472583796
642.394848,0.9996324075786556
642.51405,0.9996028089012777
642.633253,0.9993426261649189
642.752455,0.999618272876345
642.871657,0.9994332306744473
642.99086,0.999317742843326
643.110062,0.9993277160841659
643.229265,0.9996535700207276
643.348467,0.9994613151428142
643.467669,0.9996432836384157
643.586872,0.9994279736694799
643.706074,0.99960617756842
643.825277,0.9995394161013441
643.944479,0.9994722692988568
644.063681,0.9994488119599693
644.182884,0.9996225912366115
644.302086,0.9994352795146703
644.421288,0.9994387775442701
644.540491,0.9998802071757334
644.659693,0.9996091763914509
644.778896,0.9993941635930313
644.898098,0.9995053723685998
645.0173,0.999527791525532
645.136503,0.9992032575679426
645.255705,0.9996291287897359
645.374907,0.9997026142279174
645.49411,0.9995970811935926
645.613312,0.9994631941318529
645.732515,0.9995801481624604
645.851717,0.9994651430869816
645.970919,0.9998055988983434
646.090122,0.9999158525405961
646.209324,0.9995713518958602
