nu,[0]Glyoxal-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
639.176784,1.0
639.294786,1.0
639.412788,1.0
639.530791,1.0
639.648793,1.0
639.766795,1.0
639.884798,1.0
640.0028,1.0
640.120802,1.0
640.238805,1.0
640.356807,1.0
640.474809,1.0
640.592812,1.0
640.710814,0.999980022199559
640.828817,1.0
640.946819,1.0
641.064821,1.0
641.182824,1.0
641.300826,1.0
641.418828,1.0
641.536831,1.0
641.654833,1.0
641.772835,1.0
641.890838,1.0
642.00884,1.0
642.126843,1.0
642.244845,1.0
642.362847,1.0
642.48085,1.0
642.598852,1.0
642.716854,1.0
642.834857,1.0
642.952859,1.0
643.070861,1.0
643.188864,1.0
643.306866,1.0
643.424868,1.0
643.542871,1.0
643.660873,1.0
643.778876,1.0
643.896878,1.0
644.01488,1.0
644.132883,1.0
644.250885,1.0
644.368887,1.0
644.48689,1.0
644.604892,1.0
644.722894,1.0
644.840897,1.0
644.958899,1.0
645.076902,1.0
645.194904,1.0
645.312906,1.0
645.430909,1.0
645.548911,1.0
645.666913,1.0
645.784916,1.0
645.902918,1.0
646.02092,1.0
646.138923,1.0
646.256925,1.0
646.374927,1.0
646.49293,1.0
646.610932,1.0
646.728935,1.0
646.846937,1.0
646.964939,1.0
647.082942,1.0
647.200944,1.0
647.318946,1.0
647.436949,1.0
647.554951,1.0
647.672953,1.0
647.790956,1.0
647.908958,1.0
648.026961,1.0
648.144963,1.0
648.262965,1.0
648.380968,1.0
648.49897,1.0
648.616972,1.0
648.734975,1.0
648.852977,1.0
648.970979,1.0
649.088982,1.0
649.206984,1.0
649.324986,0.9999386548816888
649.442989,0.9998449520211805
649.560991,0.9998096181249296
649.678994,1.0
649.796996,1.0
649.914998,1.0
650.033001,1.0
650.151003,1.0
650.269005,0.999994515115042
650.387008,1.0
650.50501,1.0
650.623012,1.0
650.741015,1.0
650.859017,1.0
650.97702,1.0
651.095022,1.0
651.213024,1.0
651.331027,1.0
651.449029,1.0
651.567031,1.0
651.685034,1.0
651.803036,1.0
651.921038,1.0
652.039041,1.0
652.157043,1.0
652.275046,1.0
652.393048,1.0
652.51105,1.0
652.629053,1.0
652.747055,1.0
652.865057,1.0
652.98306,1.0
653.101062,1.0
653.219064,1.0
653.337067,1.0
653.455069,1.0
653.573071,1.0
653.691074,1.0
653.809076,1.0
653.927079,1.0
654.045081,1.0
654.163083,1.0
654.281086,1.0
654.399088,1.0
654.51709,1.0
654.635093,1.0
654.753095,1.0
654.871097,1.0
654.9891,1.0
655.107102,1.0
655.225105,1.0
655.343107,1.0
655.461109,1.0
655.579112,1.0
655.697114,1.0
655.815116,1.0
655.933119,1.0
656.051121,1.0
656.169123,1.0
656.287126,1.0
656.405128,1.0
656.52313,1.0
656.641133,0.9999828931463239
656.759135,1.0
656.877138,1.0
656.99514,1.0
657.113142,1.0
657.231145,1.0
657.349147,1.0
657.467149,1.0
657.585152,1.0
657.703154,1.0
657.821156,1.0
657.939159,1.0
658.057161,1.0
658.175164,1.0
658.293166,1.0
658.411168,1.0
658.529171,1.0
658.647173,1.0
658.765175,1.0
658.883178,1.0
659.00118,1.0
659.119182,1.0
659.237185,0.9998152270726204
659.355187,0.9997624582175179
659.473189,0.9990864275616347
659.591192,0.9993114871338361
659.709194,0.9996780718299974
659.827197,1.0
659.945199,0.9998821469452169
660.063201,0.9999787072266944
660.181204,0.9996217215653354
660.299206,0.9999684704970653
660.417208,1.0
660.535211,1.0
660.653213,1.0
660.771215,1.0
660.889218,1.0
661.00722,1.0
661.125223,1.0
661.243225,1.0
661.361227,1.0
661.47923,1.0
661.597232,1.0
661.715234,1.0
661.833237,1.0
661.951239,1.0
662.069241,1.0
662.187244,1.0
662.305246,1.0
662.423248,1.0
662.541251,1.0
662.659253,1.0
662.777256,1.0
662.895258,1.0
663.01326,1.0
663.131263,1.0
663.249265,1.0
663.367267,1.0
663.48527,1.0
663.603272,1.0
663.721274,1.0
663.839277,1.0
663.957279,1.0
664.075282,1.0
664.193284,1.0
664.311286,1.0
664.429289,1.0
664.547291,1.0
664.665293,1.0
664.783296,1.0
664.901298,1.0
665.0193,1.0
665.137303,1.0
665.255305,1.0
665.373307,1.0
665.49131,1.0
665.609312,1.0
665.727315,1.0
665.845317,1.0
665.963319,1.0
666.081322,1.0
666.199324,1.0
666.317326,1.0
666.435329,1.0
666.553331,1.0
666.671333,1.0
666.789336,1.0
666.907338,1.0
667.025341,1.0
667.143343,1.0
667.261345,1.0
667.379348,1.0
667.49735,1.0
667.615352,1.0
667.733355,1.0
667.851357,1.0
667.969359,1.0
668.087362,1.0
668.205364,1.0
668.323366,1.0
668.441369,1.0
668.559371,1.0
668.677374,1.0
668.795376,1.0
668.913378,0.9999135797344463
669.031381,0.9999128098012864
669.149383,0.9997273871656335
669.267385,0.9996759325212127
669.385388,0.9991495218617167
