nu,[0]HFC-143-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
457.892349,1.0
458.012878,1.0
458.133407,1.0
458.253936,1.0
458.374465,1.0
458.494994,1.0
458.615523,1.0
458.736052,1.0
458.856581,1.0
458.97711,1.0
459.097639,1.0
459.218168,1.0
459.338697,1.0
459.459226,1.0
459.579755,1.0
459.700284,1.0
459.820813,1.0
459.941342,1.0
460.061871,1.0
460.1824,1.0
460.302929,1.0
460.423458,1.0
460.543987,1.0
460.664516,1.0
460.785045,1.0
460.905574,1.0
461.026103,1.0
461.146632,1.0
461.267161,1.0
461.38769,1.0
461.508219,1.0
461.628748,1.0
461.749277,1.0
461.869806,1.0
461.990335,1.0
462.110864,1.0
462.231393,1.0
462.351922,1.0
462.472451,1.0
462.59298,1.0
462.713509,1.0
462.834038,1.0
462.954567,1.0
463.075096,1.0
463.195625,1.0
463.316154,1.0
463.436683,1.0
463.557212,1.0
463.677741,1.0
463.79827,1.0
463.918799,1.0
464.039328,1.0
464.159857,1.0
464.280386,1.0
464.400915,1.0
464.521444,1.0
464.641973,1.0
464.762502,1.0
464.883031,1.0
465.00356,1.0
465.124089,1.0
465.244618,1.0
465.365147,1.0
465.485676,1.0
465.606205,1.0
465.726734,1.0
465.847263,1.0
465.967792,1.0
466.088321,1.0
466.20885,1.0
466.329379,1.0
466.449908,1.0
466.570437,1.0
466.690966,1.0
466.811495,1.0
466.932024,1.0
467.052553,1.0
467.173082,1.0
467.293611,1.0
467.41414,1.0
467.534669,1.0
467.655198,1.0
467.775727,1.0
467.896256,1.0
468.016785,1.0
468.137314,1.0
468.257842,1.0
468.378371,1.0
468.4989,1.0
468.619429,1.0
468.739958,1.0
468.860487,1.0
468.981016,1.0
469.101545,1.0
469.222074,1.0
469.342603,1.0
469.463132,1.0
469.583661,1.0
469.70419,1.0
469.824719,1.0
469.945248,1.0
470.065777,1.0
470.186306,1.0
470.306835,1.0
470.427364,1.0
470.547893,1.0
470.668422,1.0
470.788951,1.0
470.90948,1.0
471.030009,1.0
471.150538,1.0
471.271067,1.0
471.391596,1.0
471.512125,1.0
471.632654,1.0
471.753183,1.0
471.873712,1.0
471.994241,1.0
472.11477,1.0
472.235299,1.0
472.355828,1.0
472.476357,1.0
472.596886,1.0
472.717415,1.0
472.837944,1.0
472.958473,1.0
473.079002,1.0
473.199531,1.0
473.32006,1.0
473.440589,1.0
