nu,[0]Pentafluoropropionaldehyde-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
628.503431,0.8251088186101808
628.563696,0.7527139528853021
628.623961,0.8560898015415142
628.684226,1.0
628.744491,1.0
628.804756,0.9882080761671571
628.865021,0.8287970225222183
628.925286,0.8731831075037023
628.985551,1.0
629.045816,1.0
629.106081,0.9162005474566871
629.166346,0.8312372711762442
629.226611,0.9265521015772604
629.286876,1.0
629.347141,0.947218958257912
629.407406,0.8936956482231598
629.467671,1.0
629.527936,1.0
629.588201,1.0
629.648466,0.8736285444652996
629.708731,0.9712105460042662
629.768996,1.0
629.829261,1.0
629.889526,0.9266790479108018
629.94979,0.7685266797117831
630.010055,0.8175689804623847
630.07032,0.9156354260767801
630.130585,0.8983909042472654
630.19085,0.871177094156111
630.251115,0.9323789017241755
630.31138,0.9927541784645316
630.371645,0.9950386483650082
630.43191,1.0
630.492175,1.0
630.55244,0.9540244299000868
630.612705,0.886991393190316
630.67297,0.9095711993780354
630.733235,1.0
630.7935,1.0
630.853765,1.0
630.91403,1.0
630.974295,0.9982155939489279
631.03456,0.922656748895409
631.094825,0.9465059708557899
631.15509,1.0
631.215355,0.9825510276970995
631.27562,0.8743189837030174
631.335885,0.8517348580987673
631.39615,0.9712105460042662
631.456415,1.0
631.51668,1.0
631.576945,0.8285981351042578
631.63721,0.7419377011900204
631.697475,0.8266945493562922
631.75774,0.9288082186146068
631.818005,0.9153845763380186
631.87827,0.8487080728783161
631.938535,0.8503306543695596
631.9988,0.922656748895409
632.059064,0.9764272814495238
632.119329,0.9750573394706754
632.179594,0.9114422900799817
632.239859,0.8882340507981404
632.300124,0.935930553720656
632.360389,1.0
632.420654,1.0
632.480919,1.0
632.541184,1.0
632.601449,1.0
632.661714,0.984558462234714
632.721979,0.9180852754764799
632.782244,0.8107139498255741
632.842509,0.7058376679566927
632.902774,0.7633336929412485
632.963039,0.9678695143664526
633.023304,1.0
633.083569,1.0
633.143834,0.8524932395521624
633.204099,0.7719542441110956
633.264364,0.849141024388735
633.324629,0.9655310675029785
633.384894,0.9373748719176358
633.445159,0.9011351793974389
633.505424,0.9957989492065581
633.565689,1.0
633.625954,1.0
633.686219,0.914006130701141
633.746484,0.905871332620218
633.806749,1.0
633.867014,1.0
633.927279,0.9353541980353403
633.987544,0.9508604190756895
634.047809,1.0
634.108073,0.9413323628541036
634.168338,0.8634580188554718
634.228603,0.9121297767165935
634.288868,1.0
634.349133,0.9662593524567998
634.409398,0.8387018493286374
634.469663,0.9002074880057419
634.529928,1.0
634.590193,1.0
634.650458,0.9686121550502667
634.710723,0.7899860436049257
634.770988,0.8071950034012426
634.831253,0.9022803481034818
634.891518,0.8836183856418826
634.951783,0.8464365804024836
635.012048,0.8653164506943545
635.072313,0.8484704678841617
635.132578,0.7792915821502165
635.192843,0.7658721723459478
635.253108,0.8649963428312041
635.313373,0.9068955457975393
635.373638,0.842880573046724
635.433903,0.8682027575088492
635.494168,1.0
635.554433,0.9431395708845407
635.614698,0.7145230655842227
635.674963,0.6693420928479713
635.735228,1.0
635.795493,1.0
635.855758,0.8306140769499092
635.916023,0.3938756612791432
635.976288,0.3316417363834089
636.036553,0.721956782437995
636.096818,1.0
636.157082,1.0
636.217347,1.0
636.277612,1.0
636.337877,1.0
636.398142,1.0
636.458407,1.0
636.518672,1.0
636.578937,0.9851858257692295
636.639202,1.0
636.699467,1.0
636.759732,1.0
636.819997,0.9603523793961436
636.880262,0.9129419335740636
636.940527,0.8796686293344325
637.000792,0.9099141723665471
637.061057,0.9792982845180043
637.121322,1.0
637.181587,1.0
637.241852,0.988837765246355
637.302117,0.9604839566849593
637.362382,0.9959252245190031
637.422647,1.0
637.482912,0.9255056890369104
637.543177,0.839969245764617
637.603442,0.8126863802560396
637.663707,0.8793344187593163
637.723972,0.9598924807609293
637.784237,0.9835537410422213
637.844502,0.9400107195561235
637.904767,0.8045436956328328
637.965032,0.7097162760569489
638.025297,0.733270950076378
638.085562,0.9157297413828208
638.145827,1.0
638.206091,1.0
638.266356,0.8489117872605549
638.326621,0.7756142367446012
638.386886,0.9062120042835424
638.447151,1.0
638.507416,0.9693524574962501
638.567681,0.9236057277248197
638.627946,0.9491674946525511
638.688211,0.9395286177266833
638.748476,0.8750974739752975
638.808741,0.8717435433433546
638.869006,1.0
638.929271,1.0
638.989536,0.9714562933581347
639.049801,0.8878965859812132
639.110066,0.9434952015349297
639.170331,1.0
639.230596,1.0
639.290861,0.9997449025428908
639.351126,0.9696016130929495
639.411391,0.9040143905198624
639.471656,0.8037958178129838
639.531921,0.7808673421279265
639.592186,0.9663917390563613
639.652451,1.0
639.712716,1.0
639.772981,0.8503306543695596
639.833246,0.8445849126077027
639.893511,1.0
639.953776,1.0
640.014041,1.0
640.074306,1.0
640.134571,1.0
640.194836,0.9694784815071078
640.255101,0.8669794542522284
640.315365,0.8422149603456514
640.37563,0.9089792612240148
640.435895,0.9481932000214708
640.49616,0.9161061836601181
640.556425,0.9097895226636326
640.61669,0.967007526701683
640.676955,0.9819243600696587
640.73722,0.8795718711070057
640.797485,0.8009393921560047
640.85775,0.8673089690486905
640.918015,1.0
640.97828,1.0
641.038545,1.0
641.09881,0.9490374676128392
641.159075,0.9103810780880491
641.21934,0.9352251280620444
641.279605,0.9784231830802722
641.33987,0.9922476060201283
641.400135,1.0
641.4604,1.0
641.520665,1.0
641.58093,0.9949091027665925
641.641195,0.9221826251867085
641.70146,0.897466038003772
641.761725,0.9941493819153124
641.82199,1.0
641.882255,1.0
641.94252,0.9405908851327648
642.002785,0.901009029303036
642.06305,1.0
642.123315,1.0
642.18358,1.0
642.243845,0.8402884947314696
642.30411,0.8451340712581242
642.364374,0.9805467056078576
642.424639,1.0
642.484904,1.0
642.545169,0.8785521592837228
642.605434,0.8077198507103499
642.665699,0.781672049843649
642.725964,0.7916150921987176
642.786229,0.823839128941499
642.846494,0.8921062849223051
642.906759,0.9935162110620863
642.967024,1.0
643.027289,1.0
643.087554,0.9745592124524983
643.147819,0.9608461274015201
643.208084,0.947218958257912
643.268349,0.927378027395077
643.328614,0.9088856411816237
643.388879,0.922087645267864
643.449144,0.9784231830802722
643.509409,1.0
643.569674,1.0
643.629939,0.9210149596729033
643.690204,0.8825939825831818
643.750469,0.9366683576535595
643.810734,1.0
643.870999,0.9712105460042662
643.931264,0.8773142736535887
643.991529,0.891312663542624
644.051794,1.0
644.112059,1.0
644.172324,1.0
644.232589,1.0
644.292854,0.9111925891030959
644.353119,0.9335609744776187
644.413383,1.0
644.473648,1.0
644.533913,1.0
644.594178,0.9518374543478169
644.654443,0.9355777744049827
644.714708,0.977424722811051
644.774973,1.0
644.835238,1.0
644.895503,0.9860669757128048
644.955768,0.9722026583589086
645.016033,0.9575608586494285
645.076298,0.8941515492486335
645.136563,0.8392220057070361
645.196828,0.8430828886611578
645.257093,0.8933561083934884
645.317358,0.9365400428783238
645.377623,0.9421705215823524
645.437888,0.9694784815071078
645.498153,1.0
645.558418,1.0
645.618683,0.9143507759739673
645.678948,0.8392220057070361
645.739213,0.8526125969605233
645.799478,0.9477059539496275
645.859743,1.0
645.920008,0.9839285464134476
645.980273,0.93260269951525
646.040538,0.8890249309928328
646.100803,0.8873551342233403
646.161068,0.9260759761717614
646.221333,1.0
646.281598,1.0
646.341863,1.0
646.402128,1.0
646.462393,1.0
646.522657,1.0
646.582922,0.9032101756410057
646.643187,0.8616811261644697
