nu,[0]HFC-329p-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
707.065386,0.9266734878531945
707.30644,0.9721073871667542
707.547494,0.9287051266240519
707.788548,1.0
708.029602,1.0
708.270656,0.925537156765286
708.51171,0.9238209529321425
708.752764,0.9219659377315628
708.993818,0.9252169763034593
709.234872,0.915987097597004
709.475926,0.9191251364585933
709.71698,0.9127192029165169
709.958034,0.9102181344589613
710.199088,0.9147906844867266
710.440142,0.9116647091327822
710.681196,0.9107225350115038
710.92225,0.9209099699520283
711.163304,0.9231938914165779
711.404358,0.9167320979089421
711.645412,0.9199545613460679
711.886466,0.9209081281339302
712.12752,0.9212857778793727
712.368574,0.9141633532763755
712.609628,1.0
712.850682,0.9245704756153371
713.091736,0.9199564012570305
713.33279,0.905667534498527
713.573844,0.8990829316398901
713.814898,0.9101644331732317
714.055952,0.9122200820345279
714.297006,0.9203345810485707
714.53806,0.9308138202058615
714.779114,0.971293102409274
715.020168,1.0
715.261222,1.0
715.502276,1.0
715.74333,1.0
715.984384,1.0
716.225438,1.0
716.466492,1.0
716.707546,1.0
716.9486,1.0
717.189654,1.0
717.430708,1.0
717.671762,1.0
717.912816,1.0
718.15387,1.0
718.394924,1.0
718.635978,1.0
718.877032,1.0
719.118086,1.0
719.35914,1.0
719.600194,1.0
719.841248,1.0
720.082302,1.0
720.323356,1.0
720.56441,1.0
720.805464,1.0
721.046518,1.0
721.287572,1.0
721.528626,1.0
721.76968,1.0
722.010734,1.0
722.251788,1.0
722.492842,1.0
722.733896,1.0
722.97495,1.0
723.216004,1.0
723.457058,1.0
723.698112,1.0
723.939166,1.0
724.18022,1.0
724.421274,1.0
724.662328,1.0
724.903382,1.0
725.144436,1.0
725.38549,1.0
725.626544,1.0
725.867598,1.0
726.108652,1.0
726.349706,1.0
726.59076,1.0
726.831814,1.0
727.072868,1.0
727.313922,1.0
727.554976,1.0
727.79603,1.0
728.037084,1.0
728.278138,1.0
728.519192,1.0
728.760246,1.0
729.0013,1.0
729.242354,1.0
729.483408,1.0
729.724462,1.0
729.965516,1.0
730.20657,1.0
730.447624,1.0
730.688678,1.0
730.929732,1.0
731.170786,1.0
731.41184,1.0
731.652894,1.0
731.893948,1.0
732.135002,1.0
732.376056,1.0
732.61711,1.0
732.858164,1.0
733.099218,1.0
733.340272,1.0
733.581326,1.0
733.82238,1.0
734.063434,0.9133364096900738
734.304488,0.906152196264946
734.545542,0.889994496484813
734.786596,0.889994496484813
735.02765,0.866138891920242
735.268704,0.8421223217952271
735.509758,0.8226701075800033
735.750812,0.7976064289487137
735.991866,0.7806565364056052
736.23292,0.7606895153280906
736.473974,0.7245750021088423
736.715028,0.6948217090977765
736.956082,0.6718299641601129
737.197136,0.6397166084435086
737.43819,0.6084077380436228
737.679244,0.5691165686617914
737.920298,0.5414037366484631
738.161352,0.5104513217441539
738.402406,0.4844747328459391
738.64346,0.44394704130677165
738.884514,0.4212958333624102
739.125568,0.3954820019063202
739.366622,0.3718480410371971
739.607676,0.35515534275282057
739.84873,0.3339713727527112
740.089784,0.32097244521125645
740.330838,0.30273422609113126
740.571892,0.29284846150085364
740.812946,0.2830872853768075
741.054,0.2775927964704827
741.295054,0.27878901552309526
741.536108,0.27060367023910875
741.777162,0.27100988032586804
742.018216,0.2730227920279987
742.25927,0.2745011029521513
742.500324,0.27095568376963913
742.741378,0.26860859396574055
742.982432,0.2612441155937104
743.223486,0.24512181203911737
743.46454,0.22898472058275046
743.705594,0.21212066323944254
743.946648,0.1981759512935942
744.187702,0.18244618977217303
744.428756,0.1713923339325257
744.66981,0.17033298882540943
744.910864,0.17488966318335253
745.151918,0.18637397603940997
745.392972,0.20927627709119412
745.634026,0.23581681098846466
745.87508,0.24974871665130244
746.116134,0.2585154031900946
746.357188,0.2549978921337583
746.598242,0.24672029325333586
746.839296,0.23962022614636613
747.08035,0.22411409592437412
747.321404,0.2081284170757972
747.562458,0.1914363311606898
747.803512,0.18516647382874946
748.044566,0.2012917360671491
748.28562,0.2157791172153885
748.526674,0.23126292783519195
748.767728,0.24331460554094925
749.008782,0.2519310096961177
749.249836,0.2672956312410026
749.49089,0.28111259386278603
749.731944,0.2961764166502667
749.972998,0.3105532173074686
750.214052,0.3300536704560795
750.455106,0.34739250498669316
750.69616,0.3712869742072949
750.937214,0.3904638061162226
751.178268,0.4248368780869653
751.419322,0.4208663306959783
751.660376,0.44835946099504315
751.90143,0.4591400479960701
752.142484,0.4839517825784407
752.383538,0.5189955344478442
752.624592,0.5548319521524644
752.865646,0.5765345560265192
753.1067,0.5998234002542537
753.347754,0.6259342157909176
753.588808,0.6431739902366055
753.829862,0.6570731022134938
754.070916,0.6846277630687237
754.31197,0.6975716824705867
754.553024,0.7079300426406645
754.794078,0.7218124055196805
755.035132,0.7378977604162552
755.276186,0.743103458260733
755.51724,0.7627766626861814
755.758294,0.7660177018835618
755.999348,0.7772058768035824
756.240402,0.7908238727821622
756.481456,0.7945256572070355
756.72251,0.802085554797761
756.963564,0.8041093593185503
757.204618,0.8180187670816209
757.445672,0.8255792647011873
757.686726,0.8394989946695846
757.92778,0.8360808165962975
758.168834,0.8514453174717095
758.409888,0.8648406575015944
758.650942,0.8764987506560635
758.891996,0.8669274370455051
759.13305,0.8836625676657061
759.374104,0.8974032175798522
759.615158,0.9090138030922327
759.856212,0.9015227508464696
760.097266,0.9243402862266772
760.33832,0.9144257558117285
760.579374,0.9182422814822173
760.820428,0.9203796785479218
761.061482,0.922531276109902
761.302536,0.9205444412562044
761.54359,0.9288007881785797
761.784644,0.9166367627282749
762.025698,0.9563723063067756
762.266752,0.9267383572677472
762.507806,0.9293192036428466
762.74886,1.0
762.989914,1.0
763.230968,1.0
763.472022,1.0
763.713076,1.0
763.95413,1.0
764.195184,1.0
764.436238,1.0
764.677292,1.0
764.918346,1.0
765.1594,1.0
765.400454,1.0
765.641508,1.0
765.882562,1.0
766.123616,1.0
766.36467,1.0
766.605724,1.0
766.846778,1.0
767.087832,1.0
767.328886,1.0
767.56994,1.0
767.810994,1.0
768.052048,1.0
768.293102,1.0
768.534156,1.0
768.77521,1.0
769.016264,1.0
769.257318,1.0
769.498372,1.0
769.739426,1.0
769.98048,1.0
770.221534,1.0
770.462588,1.0
770.703642,1.0
770.944696,1.0
771.18575,1.0
771.426804,1.0
771.667858,1.0
771.908912,1.0
772.149966,1.0
772.39102,1.0
772.632074,1.0
772.873128,1.0
773.114182,1.0
773.355236,1.0
773.59629,1.0
773.837344,1.0
774.078398,1.0
774.319452,1.0
