nu,[0]Geraniol-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
646.610932,0.997831255132887
646.728935,0.9992417476187377
646.846937,0.9909619905792166
646.964939,0.9953436744535923
647.082942,0.9976025784165633
647.200944,0.9943272511496657
647.318946,0.9954401279287421
647.436949,0.9968159797779969
647.554951,0.9996081667866926
647.672953,0.9994718395258734
647.790956,0.9967413210571155
647.908958,0.9929962414395189
648.026961,0.9995728812411986
648.144963,0.9930386432843014
648.262965,0.9952426521976014
648.380968,0.9900508237994968
648.49897,0.9929603949222364
648.616972,0.9929194857966994
648.734975,0.996804416779697
648.852977,0.9944250977651533
648.970979,0.9987849387853845
649.088982,0.9960676520094321
649.206984,0.9965937145979951
649.324986,0.9967484976204627
649.442989,0.994865128756083
649.560991,0.9944645772251968
649.678994,0.9940446040923469
649.796996,0.9961529190498214
649.914998,0.9975351427616131
650.033001,0.9947045704817031
650.151003,0.9981418285422003
650.269005,0.996294183549159
650.387008,0.9944385225945905
650.50501,0.9940750223226286
650.623012,0.9985718208199434
650.741015,0.9951096966608954
650.859017,0.9964379591730069
650.97702,0.9976258228274367
651.095022,0.994651454675844
651.213024,0.9975752444803914
651.331027,0.9987117305324869
651.449029,0.9964849921546495
651.567031,0.9979840347930324
651.685034,0.9983020431625608
651.803036,0.996856949756693
651.921038,0.9948887073390397
652.039041,0.9942159921553189
652.157043,0.992519816870471
652.275046,0.9970902415770145
652.393048,0.9926823056638375
652.51105,0.9964393541871263
652.629053,0.9966209219777826
652.747055,0.9967716224538545
652.865057,0.9989794211452094
652.98306,0.9962843202855651
653.101062,0.9959758188054927
653.219064,0.9963392170640052
653.337067,0.9996724936419197
653.455069,0.9939531561954381
653.573071,0.9996004698334416
653.691074,0.9968894478229707
653.809076,0.995739900079694
653.927079,0.9945215616780607
654.045081,0.9940602107151427
654.163083,0.9971036026757709
654.281086,0.9989864140256325
654.399088,0.9939395391304753
654.51709,0.9961990419977115
654.635093,0.997934136838752
654.753095,0.9965068154149416
654.871097,0.9968311314960423
654.9891,0.9962335110808763
655.107102,0.996435368437681
655.225105,0.9994673019340223
655.343107,0.9924747574936407
655.461109,0.9957503554035353
655.579112,0.9982891651492674
655.697114,0.9986136618557994
655.815116,0.9994937381937764
655.933119,0.9917765986827802
656.051121,0.9984834511242177
656.169123,0.9927480234077058
656.287126,0.9952442445871188
656.405128,0.9960885696497588
656.52313,0.9952917188698382
656.641133,0.9999247628304578
656.759135,0.9944526437218711
656.877138,0.9957270551178332
656.99514,0.9961580990584685
657.113142,0.99793563374108
657.231145,0.9978708698200621
657.349147,0.9984020780389492
657.467149,0.9981153781342135
657.585152,0.9927569581801229
657.703154,0.9946733372485543
657.821156,0.9970016041945284
657.939159,0.9960049017240103
658.057161,0.9952575809493498
658.175164,0.9971963376229279
658.293166,0.9983470676000008
