nu,[0]Trifluoroaceticacid-PNNL(x-sec)-X=0.01-T=298.16K-P=1.0atm-L=15cm
581.664833,0.45455334568861916
581.795036,0.45909872725121187
581.925239,0.4493828868282136
582.055441,0.45677698728819344
582.185644,0.447638183047391
582.315846,0.43740313649268947
582.446049,0.4264031579857404
582.576252,0.41861652203699323
582.706454,0.41064343326455616
582.836657,0.39128072885790394
582.966859,0.3824222172459706
583.097062,0.387430035515062
583.227265,0.4220928354171593
583.357467,0.4414237414078657
583.48767,0.4474770623049677
583.617872,0.4524491037811385
583.748075,0.4528655484918109
583.878278,0.45136904161151287
584.00848,0.4464936948687015
584.138683,0.4421747999871716
584.268885,0.43422606213391285
584.399088,0.428626229383582
584.529291,0.4237167878984129
584.659493,0.41811866465966
584.789696,0.4141115073490027
584.919898,0.41890127807805977
585.050101,0.4341913254384285
585.180304,0.4487182920771344
585.310506,0.45471246720425107
585.440709,0.4570145730885378
585.570911,0.46111398987992974
585.701114,0.459204332102572
585.831317,0.4616261105831047
585.961519,0.45932833401174417
586.091722,0.4577143405709802
586.221924,0.4578699899056618
586.352127,0.4576502650486915
586.48233,0.4568180990670517
586.612532,0.45613338558194877
586.742735,0.4576823016885142
586.872937,0.45844268525306636
587.00314,0.46158918197142224
587.133343,0.4601650727809577
587.263545,0.46518504793895776
587.393748,0.4692357366664359
587.52395,0.46766642700990924
587.654153,0.4698367429713467
587.784356,0.47036795857119246
587.914558,0.4716066544733515
588.044761,0.47321284607698944
588.174963,0.4681577346496416
588.305166,0.46630749591102283
588.435369,0.46548286165986397
588.565571,0.4681483715885795
588.695774,0.4645156635423608
588.825977,0.4677599696492633
588.956179,0.4658227882069698
589.086382,0.46740460712719306
589.216584,0.4711494178141432
589.346787,0.4722437534019079
589.47699,0.4742930022761885
589.607192,0.4757132605810559
589.737395,0.4774718851795173
589.867597,0.48025407125665615
589.9978,0.48135029976473437
590.128003,0.4764178374650012
590.258205,0.47535660939653235
590.388408,0.47265005771564655
590.51861,0.4702080606494653
590.648813,0.471833080005279
590.779016,0.4736910324950185
590.909218,0.486518670942
591.039421,0.4920917973076967
591.169623,0.49218038180357754
591.299826,0.4899852452821068
591.430029,0.48741468938070026
591.560231,0.4873805715465817
591.690434,0.4848915603263127
591.820636,0.48893779802550835
591.950839,0.48423739837853774
592.081042,0.48524080796380964
592.211244,0.4847655049085423
592.341447,0.4873123430426719
592.471649,0.4894808203029259
592.601852,0.4909956552523427
592.732055,0.49247085390968687
592.862257,0.49377763238929545
592.99246,0.49088273923747405
593.122662,0.4935505469120604
593.252865,0.5005689136974623
593.383068,0.49988360383014396
593.51327,0.5094874798635463
593.643473,0.5136824530828193
593.773675,0.515395866902272
593.903878,0.520336271734112
594.034081,0.5251349509465792
594.164283,0.528792063006702
594.294486,0.5362633038518021
594.424688,0.537293918468625
594.554891,0.5424333816010486
594.685094,0.5500038504290692
594.815296,0.5555037051431688
594.945499,0.5576520931663967
595.075702,0.5618558256439705
595.205904,0.5662044765672126
595.336107,0.5691450252016321
595.466309,0.5755034822575602
595.596512,0.575388393070411
595.726715,0.5793491272325152
595.856917,0.5870589724855352
595.98712,0.5904619986178912
596.117322,0.5914074940102881
596.247525,0.5894590659545443
596.377728,0.5984872843945679
596.50793,0.5977515975749083
596.638133,0.5972019189960563
596.768335,0.6070342891374937
596.898538,0.6046956532524087
597.028741,0.6041275064092023
597.158943,0.6079820016521135
597.289146,0.6071799948508729
597.419348,0.6084929210896229
597.549551,0.6101502748142386
597.679754,0.6107179785111175
597.809956,0.6104249042248879
597.940159,0.6120507959474373
598.070361,0.6117570820623542
598.200564,0.6138344577328568
598.330767,0.6139510973602398
598.460969,0.6170408807366174
598.591172,0.6156294737974725
598.721374,0.612987950405582
598.851577,0.6146698405269131
598.98178,0.6182020087107071
599.111982,0.6172630554427303
599.242185,0.6178435555071325
599.372387,0.6210522885684575
599.50259,0.6196936722843286
599.632793,0.6172445378288326
599.762995,0.618628715293559
599.893198,0.6199353999503504
600.0234,0.6193095812880248
600.153603,0.6202578501881206
600.283806,0.6175161851835128
600.414008,0.6238720373446704
600.544211,0.6209901864447586
600.674413,0.6209963963776726
600.804616,0.6224699032530233
600.934819,0.6201214084702185
601.065021,0.6219161514952126
601.195224,0.62522730960429
601.325427,0.6221089753883353
601.455629,0.6240529864718557
601.585832,0.6255525123506704
601.716034,0.6240155444159403
601.846237,0.6255525123506704
601.97644,0.6229992276017668
602.106642,0.6270054789688972
602.236845,0.622040547164664
602.367047,0.6218850564650201
602.49725,0.6227625328701254
602.627453,0.6232921060597859
602.757655,0.6225010275262863
602.887858,0.6254586865109317
603.01806,0.621760691890599
603.148263,0.6267860654508636
603.278466,0.620797709322456
603.408668,0.6243276302030933
603.538871,0.6266168560574878
603.669073,0.624902275919378
603.799276,0.6260531545907461
603.929479,0.6275637622443858
604.059681,0.6279215755559711
604.189884,0.6294870484840602
604.320086,0.6293674573063699
604.450289,0.6297262990172066
604.580492,0.6282795928792818
604.710694,0.6310059418021983
604.840897,0.6328764864302354
604.971099,0.6313530905273378
605.101302,0.632224959243314
605.231505,0.6347843144952023
605.361707,0.6365132781552434
605.49191,0.6372202001631269
605.622112,0.6413499674426872
605.752315,0.6417348928892391
605.882518,0.6428653408030821
606.01272,0.6399917457354177
606.142923,0.642730353255702
606.273125,0.6457260088999187
606.403328,0.6457001803761366
606.533531,0.6504700653485261
606.663733,0.6501644162509767
606.793936,0.6518896368617377
606.924138,0.6562719618237992
607.054341,0.6514269594894693
607.184544,0.6542210419472853
607.314746,0.6548297505219108
