nu,[0]HFE-449s1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
759.05823,0.9999307124004966
759.299284,0.999973092362017
759.540338,0.9999952071114859
759.781392,0.9999972286038403
760.022446,0.9999709374223249
760.2635,0.9999646136261126
760.504554,1.0
760.745608,0.9999813821733139
760.986662,0.9999801571968711
761.227716,0.9999500552472806
761.46877,0.9999709984205539
761.709824,0.9999951177119184
761.950878,1.0
762.191932,1.0
762.432986,0.9999795262095909
762.67404,0.9999904619454876
762.915094,0.9999517331648812
763.156148,0.9999751733081874
763.397202,0.9999812281761928
763.638256,0.9999665645589768
763.87931,0.9999939794181237
764.120364,0.9999959728081091
764.361418,0.9999920559315543
764.602472,0.9999599708011898
764.843526,0.9999701574452979
765.08458,0.9999494182792984
765.325634,1.0
765.566688,1.0
765.807742,1.0
766.048796,0.9999461184516628
766.28985,0.9999992642802706
766.530904,0.9999957830088916
766.771958,0.9999964398063375
767.013012,1.0
767.254066,0.9999821831587218
767.49512,0.9999975694029539
767.736174,0.9999716234026232
767.977228,1.0
768.218282,0.9999994478601524
768.459336,0.9999992329802941
768.70039,0.9999986149009592
768.941444,1.0
769.182498,0.999976246282124
769.423552,0.9999979438021139
769.664606,0.9999760932857701
769.90566,0.9999817121672244
770.146714,0.9999960215079142
770.387768,0.9999822311578678
770.628822,0.9999734683519704
770.869876,0.9999777852467513
771.11093,1.0
771.351984,1.0
771.593038,0.9999882790686907
771.834092,1.0
772.075146,0.9999850141122896
772.3162,0.9999835651350538
772.557254,0.999982447154053
772.798308,0.9999668695488255
773.039362,1.0
773.280416,0.9999945807146844
773.52147,0.999999612740075
773.762524,0.9999523831337189
774.003578,0.9999705984322346
774.244632,0.9999987912007307
774.485686,0.999998475501162
774.72674,1.0
774.967794,0.9999963474066708
775.208848,0.9999487033157199
775.449902,0.9999840671269296
775.690956,0.9999914234367789
775.93201,0.9999882090695136
776.173064,0.9999719443935658
776.414118,0.9999752333066996
776.655172,0.9999986944008523
776.896226,0.9999869820847338
777.13728,0.9999878820734227
777.378334,1.0
777.619388,1.0
777.860442,1.0
778.101496,0.9999827071495231
778.34255,1.0
778.583604,0.9999670145440321
778.824658,1.0
779.065712,0.9999766912716527
779.306766,1.0
779.54782,1.0
779.788874,0.9999216140723374
780.029928,0.9999902657473781
780.270982,1.0
780.512036,1.0
780.75309,0.999979906201883
780.994144,0.9999707614274554
781.235198,0.9999553499968411
781.476252,0.9999990838704197
781.717306,0.9999829821448053
781.95836,1.0
782.199414,0.9999597728091352
782.440468,0.9999570189237129
782.681522,0.9999997414800335
782.922576,1.0
783.16363,0.9999791652170471
783.404684,0.9999879080731079
783.645738,0.9999747233194607
783.886792,0.9999900937490672
784.127846,0.999977576251416
784.3689,0.9999952214114175
784.609954,0.9999802101958207
784.851008,0.999984807115413
785.092062,0.9999788272241463
785.333116,1.0
785.57417,0.999981743166658
785.815224,0.999993870418786
786.056278,0.9999947376138464
786.297332,0.9999994287401631
786.538386,0.999977431254678
786.77944,0.9999796132078135
787.020494,0.9999908337420104
787.261548,0.9999815511701817
787.502602,1.0
787.743656,1.0
787.98471,0.9999726263746646
788.225764,0.9999820671607953
788.466818,0.9999885310657687
788.707872,0.9999784682318118
788.948926,0.9999737373448696
789.18998,1.0
789.431034,0.9999929013251957
789.672088,0.9999798882022449
789.913142,0.9999895910541734
790.154196,0.9999975699029527
790.39525,1.0
790.636304,0.9999799552008997
790.877358,0.9999497732614049
791.118412,0.9999771912601233
791.359466,0.9999750523111988
791.60052,0.9999779382433641
791.841574,1.0
792.082628,0.9999543020441833
792.323682,1.0
792.564736,0.9999779492431216
792.80579,1.0
793.046844,0.999995714209184
793.287898,1.0
793.528952,0.9999911261393729
793.770006,0.9999543400424475
794.01106,0.9999458384667888
794.252114,0.9999911023395844
794.493168,0.9999886170647861
794.734222,1.0
794.975276,0.9999605117796803
795.21633,0.9999473243874089
795.457384,0.9999870020844737
795.698438,0.999979918201642
795.939492,0.9999900819491842
796.180546,1.0
796.4216,0.9999850881111834
796.662654,0.9999763292801559
796.903708,0.999989639053675
797.144762,0.9999887070637656
797.385816,0.999947139397171
797.62687,0.9999666335566721
797.867924,0.9999743383292663
798.108978,1.0
798.350032,0.9999727583710599
798.591086,0.999976800269118
798.83214,0.9999954884101773
799.073194,0.9999672885350316
799.314248,0.9999747673183494
799.555302,0.999991230538452
799.796356,0.9999719663929489
800.03741,0.9999658105844714
800.278464,0.9999538760637414
800.519518,0.9999922595299576
800.760572,0.9999817201670782
801.001626,0.9999449485153886
801.24268,0.9999696074618626
801.483734,0.9999726283746098
801.724788,0.9999613037487193
801.965842,0.9999647296220144
802.206896,0.9999838771299748
802.44795,0.999964188641242
802.689004,0.9999890000604997
802.930058,0.9999785032310589
803.171112,0.9999647006230377
803.412166,0.9999995921800832
803.65322,0.999995253211266
803.894274,0.9999659465798308
804.135328,0.9999954817102075
804.376382,0.9999277536098962
804.617436,0.9999791112181736
804.85849,0.9999868850860012
805.099544,0.9999665855582749
805.340598,1.0
805.581652,0.9999515731726166
805.822706,0.9999702184434793
806.06376,0.9999622187137308
806.304814,0.9999709334224411
806.545868,0.9999891670586767
806.786922,0.9999725813758974
807.027976,1.0
807.26903,0.999971100417601
807.510084,1.0
807.751138,0.9999495022750531
807.992192,0.9999579518840468
808.233246,0.9999627256947042
808.4743,0.9999970513043475
808.715354,0.9999555629873533
808.956408,0.9999677135212196
809.197462,0.9999657055880667
809.438516,0.999981911163605
809.67957,0.9999964734062184
809.920624,0.9999934678213348
810.161678,0.99997853623035
810.402732,0.9999642236399893
810.643786,0.9999707754270462
810.88484,0.9999847381164637
811.125894,0.9999781362390155
811.366948,0.9999879660724083
811.608002,0.9999928489255691
811.849056,0.9999621677156589
812.09011,0.9999905686444756
812.331164,0.9999614867416545
812.572218,0.999979239215508
812.813272,0.9999750803105006
813.054326,0.9999769812649352
813.29538,0.999988051071389
813.536434,0.9999996163600736
813.777488,0.9999845801188876
814.018542,0.9999610797574123
814.259596,0.9999924844282421
814.50065,0.9999971065041862
814.741704,0.9999866160895653
814.982758,0.999980026199479
815.223812,0.9999747193195618
815.464866,0.9999999829830002
815.70592,0.9999887570632023
815.946974,0.9999734753517847
816.188028,0.9999714234083186
816.429082,0.9999720103917163
816.670136,0.9999998870100064
816.91119,0.9999636066622536
817.152244,0.9999920959312373
817.393298,0.999968724489089
817.634352,1.0
817.875406,0.9999877520750065
818.11646,0.9999651436074982
818.357514,0.9999924645283919
818.598568,0.9999729883648207
818.839622,1.0
819.080676,0.9999908053422711
