nu,[0]Ethane-1-1-2-2-tetrafluoro-1-2-dimethoxy--HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
261.169486,0.978214801135741
261.444981,0.9781649134530298
261.720476,0.9778900877271725
261.995972,0.9770162446547982
262.271467,0.9772439159624802
262.546962,0.9757889067787268
262.822457,0.9791406301857112
263.097953,0.9794393136248268
263.373448,0.9791709840157289
263.648943,0.9783830685521193
263.924439,0.9766587221398658
264.199934,0.9756415737777246
264.475429,0.9746128146832311
264.750924,0.9745397214631598
265.02642,0.9730381392300994
265.301915,0.9731685350770828
265.57741,0.9716923859215054
265.852905,0.9711406213622712
266.128401,0.969269096769468
266.403896,0.9701398913466145
266.679391,0.9704853226310542
266.954886,0.9697014872025264
267.230382,0.9692429268571506
267.505877,0.9695618602417516
267.781372,0.9691896199621266
268.056867,0.9686848036861851
268.332363,0.96995364236795
268.607858,0.9721190525253922
268.883353,0.9717594350093008
269.158848,0.9717730397366239
269.434344,0.9729680830061291
269.709839,0.9704251544062854
269.985334,0.9705086145582994
270.26083,0.9692894516342255
270.536325,0.9681211931570128
270.81182,0.9664081678555697
271.087315,0.9653003331516985
271.362811,0.9657299873909291
271.638306,0.9653659758061778
271.913801,0.9646393288433118
272.189296,0.963053801601061
272.464792,0.9616699254797599
272.740287,0.9614391523915231
273.015782,0.9614391523915231
273.291277,0.96058289162756
273.566773,0.9586109206793881
273.842268,0.9566429979705242
274.117763,0.95566007427795
274.393258,0.9535999834751151
274.668754,0.9534693492260293
274.944249,0.9576594924974254
275.219744,0.9576594924974254
275.49524,0.9520335530608864
275.770735,0.9482908689509365
276.04623,0.9446271307375218
276.321725,0.9419773964214333
276.597221,0.939077752206556
276.872716,0.9373420643712541
277.148211,0.935834157838096
277.423706,0.9311024172203513
277.699202,0.9290952647004951
277.974697,0.9263306820856667
278.250192,0.924491890464826
278.525687,0.9218672926538313
278.801183,0.922909591482459
279.076678,0.921551146394634
279.352173,0.9181798431300046
279.627668,0.916546020180595
279.903164,0.9151969417330734
280.178659,0.9146324393869062
