nu,[0]Dimethylether-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
680.492146,0.999982126159739
680.611748,1.0
680.73135,0.9999469484072855
680.850952,1.0
680.970554,1.0
681.090156,0.9999714334080329
681.209758,0.9999574699044301
681.32936,0.9998771175506668
681.448962,0.9999592678295773
681.568564,0.9999787732252912
681.688166,0.9998870663774817
681.807768,0.9999679045150711
681.92737,0.9999082632080769
682.046972,0.9998776274881267
682.166574,0.9999588408470612
682.286176,0.9999234999262799
682.405778,0.9999785952290854
682.52538,0.9999806141879073
682.644982,0.9999490342987954
682.764584,0.9999830691433286
682.884186,0.9998942455923916
683.003788,0.9999798272034736
683.12339,0.9999558139762311
683.242992,0.9998889661647126
683.362594,0.9999706354311474
683.482196,0.9999194442447891
683.601798,0.9999851571101568
683.7214,0.9998978052222421
683.841002,0.9999760772861527
683.960604,1.0
684.080206,0.9999593268271759
684.199808,0.9999635916627996
684.31941,0.9999024467586269
684.439012,0.999901923809784
684.558614,1.0
684.678216,0.9999408137515751
684.797818,0.9998358334767986
684.91742,0.9998928657392848
685.037022,0.9999904668454408
685.156624,0.9999980414019181
685.276226,0.9999765642746209
685.395828,0.9998461918296896
685.51543,1.0
685.635032,0.9999977178026043
685.754634,0.9999949680126605
685.874236,0.999997563202969
685.993838,1.0
686.11344,0.9999945469148681
686.233042,0.9999999988512
686.352644,0.999937095978541
686.472246,1.0
686.591848,0.9998893361236986
686.71145,1.0
686.831052,0.9998994850519659
686.950654,0.9998444421003849
687.070256,0.999995681909323
687.189858,0.9999305554113871
687.30946,0.9999908146421856
687.429062,0.9999483903318247
687.548664,0.9999505112246099
687.668266,0.9998202961486717
687.787868,0.9999993356702207
687.90747,0.9999258957458559
688.027072,0.9998988551154888
688.146674,0.9999172774217012
688.266276,0.9999987857007373
688.385878,0.9999441315606994
688.50548,0.9998945155638744
688.625082,0.9998646091661663
688.744684,0.9999577688917584
688.864286,0.999898925108411
688.983888,0.999834053770599
689.10349,0.9999596358146556
689.223092,0.9999478153616657
689.342694,0.9998527508422216
689.462296,0.9999562299579362
689.581898,0.9999717993976445
689.7015,0.9998605497240938
689.821102,0.9998945155638744
689.940704,0.9998289346333487
690.060306,0.9997457723213344
690.179908,0.999739963815271
690.29951,0.9998904859970963
690.419112,0.999743492903572
690.538714,0.9999828621468547
690.658316,0.9998949355196591
690.777918,0.9997701064295776
690.89752,0.9998199262152306
691.017122,0.9998302444101109
691.136724,0.9999506412181848
691.256326,0.999747861792182
691.375928,0.9997462921892711
691.49553,0.9998250952976112
691.615132,0.9998387729984701
691.734734,0.9999211481089738
691.854336,0.999705143478731
691.973938,0.9998660489722402
692.09354,0.999730236392747
692.213142,0.9998791872984423
692.332744,0.999949200290349
692.452346,0.9997929014478664
692.571948,0.9997631980420106
692.69155,1.0
692.811152,0.9999885510655395
692.930754,0.9999573909077931
693.050356,0.9999625787001943
693.169958,0.9998779574477983
693.28956,0.9997717660493317
693.409162,0.9997639178717724
693.528764,1.0
693.648366,0.9999898630513792
693.767968,0.999945641477478
693.88757,0.9999987413007921
694.007172,1.0
694.126774,0.9999152245936379
694.246376,0.999957149918091
694.365978,0.9999125138271384
694.48558,0.9999461674490238
694.605182,0.9999944196155705
694.724784,0.9999965756058633
694.844386,0.9999492082899426
694.963988,0.9999159895290772
695.08359,0.9999804811904944
695.203192,0.9999952592112376
695.322794,0.999898075194686
695.442396,1.0
695.561998,0.999981390173165
695.6816,0.9998914958869971
695.801202,0.9999920255317962
695.920804,1.0
696.040406,0.9999263847097385
696.160008,0.9999639576495412
696.27961,0.9999992718002652
696.399212,1.0
696.518814,0.999990610144085
696.638416,0.9999908173421609
696.758018,0.9999458944637574
696.87762,0.9998969653084385
696.997222,0.9999844301212119
697.116824,0.9999491122948232
697.236426,0.9998832268185188
697.356028,0.9998865964306709
697.47563,0.9999040905996006
697.595232,0.9999533320889809
697.714834,0.9999849021139743
697.834436,0.999963434668528
697.954038,0.9998367433278211
698.07364,0.9999345721404957
698.193242,0.9999625757003066
698.312844,0.9999022867742483
698.432446,0.9999554199937181
698.552048,0.9998595498640439
698.67165,0.9999625717004563
698.791252,1.0
698.910854,1.0
699.030456,0.999968266503518
699.150058,0.9998372332479454
699.26966,0.9999443985458182
699.389262,0.9999699994500255
699.508864,0.9998725481226807
699.628466,0.9999839981280313
699.748068,0.9998595598626395
699.86767,0.99987294807178
699.987272,0.9998795872501972
700.106874,0.9999394198350523
700.226476,0.9999571319188625
700.346078,0.999973873341307
700.46568,0.9999800281994391
700.585282,0.9999735263504332
700.704884,0.9999815671698867
700.824486,0.9999876130767186
700.944088,0.9999181443503565
701.06369,0.9998930057242958
701.183292,0.9999803671927261
701.302894,0.9998237455346437
701.422496,0.9999893490567217
701.542098,0.9999579208853507
701.6617,0.9999956862093045
701.781302,0.999999804670019
701.900904,0.9999831221424327
702.020506,0.9998852865800876
702.140108,0.9999388978668113
702.25971,0.9999960756077004
702.379312,0.9997562897021806
702.498914,0.9999211481089738
702.618516,0.9999312233652212
702.738118,0.9998029194229289
702.85772,0.9998432422877743
702.977322,0.9997658574156544
703.096924,0.9999287555380072
703.216526,0.9998584100248068
703.336128,0.9999401667900779
703.45573,0.999887356344773
703.575332,0.9999906105440812
703.694934,0.9997899720589567
703.814536,0.9998969953053479
703.934138,0.9998647891418121
704.05374,0.9999519711534219
704.173342,1.0
704.292944,0.9999845771189338
704.412546,0.9999889690608412
704.532148,0.9999479783531728
704.65175,0.9999924321286365
704.771352,0.9998071685943659
704.890954,0.9999527201177288
705.010556,1.0
705.130158,0.9997536203564507
705.24976,0.9999991148003918
705.369362,0.999948881306605
