nu,[0]HCFO-1233zd-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
659.739004,0.6066398450577679
659.858006,0.6064700096792144
659.977008,0.5721008453971734
660.09601,0.5670317388575233
660.215012,0.5425581556272798
660.334014,0.5328315212503598
660.453016,0.5059588181814269
660.572018,0.5083017559402662
660.69102,0.48118185663908325
660.810022,0.4769326466763981
660.929024,0.4458913350649797
661.048026,0.44661426444247604
661.167028,0.42143488392950146
661.28603,0.42491760476259316
661.405032,0.39358036528302437
661.524034,0.3899253376924496
661.643036,0.37227591226318985
661.762038,0.37135009835831095
661.88104,0.3451762923997237
662.000042,0.3459019242605473
662.119044,0.32690031554102195
662.238046,0.32161503247474676
662.357048,0.30547113172722584
662.47605,0.30602147492461984
662.595052,0.2901375958726029
662.714054,0.2897896395730903
662.833056,0.28105637696589053
662.952058,0.27731534242415656
663.07106,0.2612179924883281
663.190062,0.2679111187321443
663.309064,0.25763794334626894
663.428066,0.25916250023234294
663.547068,0.24897569443318332
663.66607,0.25155339646230135
663.785072,0.24521988037629286
663.904074,0.24887612407081014
664.023076,0.24316866056549566
664.142078,0.2481802456079005
664.26108,0.24426538531801115
664.380082,0.24867710279068003
664.499084,0.24529345737640393
664.618086,0.2509754884993565
664.737088,0.2523848938867936
664.85609,0.25882580787948783
664.975092,0.2647948245132042
665.094094,0.27469332099268307
665.213096,0.2769827636004512
665.332098,0.2843071816011539
665.4511,0.2912713418641669
665.570102,0.30029198329606105
665.689104,0.3085103150663647
665.808106,0.32229113370076384
665.927108,0.33567897744448255
666.04611,0.3511295623925985
666.165112,0.3650941549128204
666.284114,0.3780268704660539
666.403116,0.38904899194132
666.522118,0.394778670093943
666.64112,0.40144690336773037
666.760122,0.4092209699522862
666.879124,0.41598752797484806
666.998126,0.4016275951268425
667.117128,0.38803877840895146
667.23613,0.35725695292866355
667.355132,0.3470799923839709
667.474134,0.3178422781186704
667.593136,0.30294621423658985
667.712138,0.2774262907493119
667.83114,0.3111127164968277
667.950142,0.31758810597858733
668.069144,0.2865047968601901
668.188146,0.22357686702670268
668.307148,0.16162119246533926
668.42615,0.11678741064160414
668.545152,0.09869707186539996
668.664154,0.0894120337639935
668.783156,0.1504386378291344
668.902158,0.29987186866830473
669.02116,0.3888661818788374
669.140162,0.44549021339524825
669.259164,0.46184774430402226
669.378166,0.4770471242483596
669.497168,0.472342935003826
669.61617,0.47082914511508844
669.735172,0.4548579984775183
669.854174,0.4416312593292189
669.973176,0.42725254513003574
670.092178,0.40285845782742047
670.21118,0.39121421678768425
670.330182,0.371416947392248
670.449184,0.3578290215862342
670.568186,0.33144281102515405
670.687188,0.32458754335749457
670.80619,0.302764501027462
670.925192,0.29434580363145335
671.044194,0.28100017131125016
671.163196,0.27149813741000095
671.282198,0.2544120709344793
671.4012,0.25079986713205676
671.520202,0.23825827610243483
671.639204,0.2395962653218127
671.758206,0.22725103306370184
671.877208,0.22752389798959005
671.99621,0.22020419588349685
672.115212,0.22275116111663013
672.234214,0.21549878661737712
672.353216,0.21864628322717988
672.472218,0.2143167967427348
672.59122,0.2206891783995987
672.710222,0.21448831877979593
672.829224,0.22368868341198284
672.948226,0.22255077525878725
673.067228,0.22923674236195785
673.18623,0.22456277264338298
673.305232,0.24168984670387655
673.424234,0.2366199527130642
673.543236,0.24627659617265069
673.662238,0.25730323162967317
673.78124,0.26748280368558397
673.900242,0.26098300205664476
674.019244,0.2857608519358442
674.138246,0.2843071816011539
674.257248,0.3040691914559916
674.37625,0.3045865487105362
674.495252,0.3267042341819875
674.614254,0.33383781091775794
674.733256,0.3506733905374382
674.852258,0.3543748598447579
674.97126,0.3727490030208079
675.090262,0.37726025429768106
675.209264,0.4043922322930078
675.328266,0.40891825845159047
675.447268,0.44374731008107987
675.56627,0.4448269272481824
675.685272,0.46690008264375654
675.804274,0.46666202431164283
675.923276,0.5042414793300269
676.042278,0.5222128581411746
676.16128,0.5339997009718008
676.280282,0.5450760242557692
676.399284,0.5689117235714017
676.518286,0.5790537345091736
676.637288,0.6091382655581206
676.75629,0.6149280560814051
676.875292,0.6317383333996898
676.994294,0.6380810283616428
677.113296,0.6658172802917233
677.232298,0.6813289839377746
677.3513,0.7023594282026405
677.470302,0.7176093060676079
677.589304,0.7326992217383569
677.708306,0.7287824602079855
677.827308,0.7651985012930209
677.94631,0.7721009293521334
678.065312,0.7832996197932782
678.184314,0.7846715942554315
678.303316,0.8047770471388993
678.422318,0.8065898341155412
678.54132,0.8219053800333808
678.660322,0.8297921759218664
678.779324,0.8486995858400226
678.898326,0.8530731320961776
679.017328,0.8717784137824924
679.13633,0.8727204430736295
679.255332,0.8830177293859184
679.374334,0.8876036284484909
679.493336,0.8978520313827426
679.612338,0.9054384295952912
679.73134,0.9128816813947915
679.850342,0.906443117810357
679.969344,0.9064648727062422
680.088346,0.9179007588806483
680.207348,0.9389275117857571
680.32635,0.9241304847950671
680.445352,0.9292801730559417
680.564354,0.9449455237267858
680.683356,0.9514168351566842
680.802358,0.9375951808978278
680.92136,0.9483667352550642
681.040362,0.9408542874552063
681.159364,0.952323967580533
681.278366,0.9650513177901083
681.397368,0.9590443107543135
681.51637,0.9586473485864998
681.635372,0.9663067003250835
681.754374,0.964719397230398
681.873376,0.9606847188108179
681.992378,0.9634236852739959
682.11138,0.9804888550588347
682.230382,0.9767309975594617
682.349384,0.982316226061393
682.468386,0.9743711406740054
682.587388,0.9674553548507624
682.70639,0.9851296717775646
682.825392,0.9882248758472488
682.944394,0.9690558810227708
683.063396,0.9793687965328917
683.182398,0.9786325880469837
683.3014,0.969369905997521
683.420402,0.9774833700538194
683.539404,0.9798576235145503
683.658406,0.9855740654627798
683.777408,0.9833236163924515
683.89641,0.986313523273894
684.015412,0.990085476184743
684.134414,0.9885253418780291
684.253416,0.9841184629492616
684.372418,0.9791954635963227
684.49142,0.9929071736714109
684.610422,0.9844196492780822
684.729424,0.9761197552937796
684.848426,0.9828812203116585
684.967428,0.9966647742630929
685.08643,0.9800643952867667
685.205432,0.9768150000373066
685.324434,0.9906745542004122
685.443436,0.9940820802803428
685.562438,0.9858411922285621
685.68144,0.9874316497948269
685.800442,0.989720202041255
685.919444,0.9796352210776441
686.038446,0.9846165528976435
686.157448,0.994367223908609
686.27645,0.9850804165253673
686.395452,0.9809762791346486
686.514454,0.9892393148881065
686.633456,0.9868877248208816
686.752458,0.9993600848330989
686.87146,0.9956694041903523
686.990462,0.9992879636183019
687.109464,0.9959580905936994
687.228466,0.9790182452561554
687.347468,0.9866272208495661
687.46647,0.996304246171229
687.585472,0.9985777124110665
687.704474,0.9975910062937722
687.823476,0.9938676798995387
687.942478,0.9909218574312999
688.06148,0.9989634376023399
688.180482,0.9926072617182262
688.299484,0.9787128392094562
688.418486,0.9923229204715724
688.537488,0.9933624266558341
688.65649,0.9864762784321655
688.775492,1.0
688.894494,0.9990649474343543
689.013496,0.9891601789083968
689.132498,0.9998770975531246
689.2515,0.9914198216506113
689.370502,0.9858786549056532
689.489504,0.9858214756018845
689.608506,0.9980811433638731
689.727508,1.0
689.84651,0.9894450980663118
689.965512,0.9976236280530408
690.084514,1.0
690.203516,1.0
690.322518,1.0
