nu,[0]Acrolein-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
562.529178,0.840523808452378
562.64838,0.851189922187676
562.767582,0.8423076090868767
562.886784,0.8492089583880098
563.005986,0.86051864149785
563.125188,0.8638380239787645
563.24439,0.8617155940988703
563.363592,0.8515900754797617
563.482794,0.8576064223036653
563.601996,0.8386515287273109
563.721198,0.8251170697396225
563.8404,0.8054775078261276
563.959602,0.8075502473506768
564.078804,0.7769882896217044
564.198006,0.7768484443160276
564.317208,0.8134994731149674
564.43641,0.8500160902253981
564.555612,0.857340605516482
564.674814,0.85628672484118
564.794016,0.8533461591804521
564.913218,0.8642268385662759
565.03242,0.8640885733336189
565.151622,0.8631385984849078
565.270824,0.8685935366684447
565.390026,0.8606821555730798
565.509228,0.8578122725460592
565.62843,0.8525188147329748
565.747632,0.847961538297575
565.866834,0.8334679748707969
565.986036,0.8302652922874965
566.105238,0.852842833442229
566.22444,0.8748524809832039
566.343642,0.8776564929487385
566.462844,0.879782993689768
566.582046,0.8852368877653667
566.701248,0.8798709763881986
566.82045,0.8847324465187535
566.939652,0.8815883987347353
567.058854,0.877173914598828
567.178056,0.8722493012541098
567.297258,0.870811276603629
567.41646,0.8723714247047274
567.535662,0.8740654679593032
567.654864,0.8624483637368316
567.774066,0.851700789385822
567.893268,0.8454299199535661
568.01247,0.8417266173018235
568.131672,0.8533973614860567
568.250874,0.8491749907090324
568.370076,0.8360390136005513
568.489278,0.8391380877024356
568.60848,0.836398587679286
568.727682,0.7981090793171923
568.846884,0.8365742498265786
568.966086,0.8571777262754517
569.085288,0.8620344878603947
569.20449,0.8645985360160838
569.323692,0.8632162844545876
569.442894,0.8667367339874607
569.562096,0.8652385757182185
569.681298,0.8667107322754687
569.8005,0.863578911440395
569.919702,0.8619482887216374
570.038904,0.8616380431852448
570.158106,0.8628883245828171
570.277308,0.8617328285830965
570.39651,0.853363226274306
570.515712,0.8452523983108008
570.634914,0.830315109699541
570.754116,0.840187666161937
570.873318,0.844475123705497
570.99252,0.8383245184022654
571.111722,0.8240121533255012
571.230924,0.8341433574234495
571.350126,0.8365073265635586
571.469328,0.8191893707006547
571.58853,0.7906340978266
571.707732,0.8272155310143775
571.826934,0.8512750454359863
571.946136,0.8627847841964145
572.065338,0.861853479624474
572.18454,0.8637430070221553
572.303742,0.8708374013337961
572.422944,0.8652385757182185
572.542146,0.8669621148365382
572.661348,0.8696451709582508
572.78055,0.8678381889154594
572.899752,0.8646417670236508
573.018954,0.8666933982341642
573.138156,0.8578122725460592
573.257358,0.8520415378467252
573.37656,0.8470801167164133
573.495762,0.8434033210371447
573.614964,0.851998936834867
573.734166,0.8444244567180995
573.853368,0.8235014241328494
573.97257,0.8261904194564366
574.091772,0.8471902442897236
574.210974,0.8370177516966005
574.330176,0.8244737293605908
574.449378,0.7898043677084255
574.56858,0.8354372821600723
574.687782,0.8526552286561548
574.806984,0.8671702107146054
574.926186,0.8714646300379937
575.045388,0.8707503219477046
575.16459,0.8728077194816846
575.283792,0.8736547537147703
575.402994,0.8769195710451921
575.522196,0.8754475829820209
575.641398,0.8787542495198444
575.7606,0.873375228919934
575.879802,0.8712032298609693
575.999004,0.8656713031789276
576.118206,0.8618707168664383
576.237408,0.8655933962675051
576.35661,0.8631472299140498
576.475812,0.8615604992508876
576.595014,0.842880573046724
576.714216,0.837578741500836
576.833418,0.8510197012259021
576.95262,0.862517362365839
577.071822,0.8564066133746593
577.191024,0.8460726909147573
577.310226,0.8073645321518527
577.429428,0.837118199853573
577.54863,0.8640626510652548
577.667832,0.8779461673850648
577.787034,0.8787103129057928
577.906236,0.8795806668696956
578.025438,0.8795718711070057
578.14464,0.8823645379768015
578.263842,0.8829735796032029
578.383044,0.885104112190619
578.502246,0.8871776809424153
