nu,[0]Cineole-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
538.98438,0.8425687649227568
539.119982,0.8910274891206313
539.255585,0.8128895772496695
539.391188,0.8135970989091716
539.526791,0.8486232063144272
539.662393,0.861793151992392
539.797996,0.8538924755249102
539.933599,0.8459627086139428
540.069201,0.9207543493174204
540.204804,0.8307220637989057
540.340407,0.8919189622720383
540.47601,0.8757277710362728
540.611612,0.8296511232417771
540.747215,0.8366244457874319
540.882818,0.8605874857429029
541.01842,0.8554394204684553
541.154023,0.8822674832157338
541.289626,0.8472071882640485
541.425229,0.8748349841085535
541.560831,0.8346273009007971
541.696434,0.8453876495143382
541.832037,0.912889897366896
541.967639,0.8503731719652091
542.103242,0.8667107322754687
542.238845,0.8947418840601962
542.374447,0.8601486980255526
542.51005,0.867881581909721
542.645653,0.8568177872229081
542.781256,0.8658964069799802
542.916858,0.8843963120586686
543.052461,0.8888471437859475
543.188064,0.8902081207978616
543.323666,0.8736984375445427
543.459269,0.8671355245999038
543.594872,0.9153058566494486
543.730475,0.8726419017681647
543.866077,0.8181169352236415
544.00168,0.8978969251066454
544.137283,0.8168334993960934
544.272885,0.8381652518745683
544.408488,0.885484788798466
544.544091,0.8464450448106097
544.679694,0.8826822463945571
544.815296,0.8368252597511326
544.950899,0.88188818975189
545.086502,0.8893272508608355
545.222104,0.8518115176856258
545.357707,0.9112992048729218
545.49331,0.8745813187464174
545.628913,0.8496251727418088
545.764515,0.9017571772357996
545.900118,0.8598562971791845
546.035721,0.8784291705908325
546.171323,0.9253863065033636
546.306926,0.8524932395521624
546.442529,0.8920170787541957
546.578132,0.8705587779474887
546.713734,0.8788245526718945
546.849337,0.9080325981309453
546.98494,0.8798973729134361
547.120542,0.8914017992656901
547.256145,0.8918297748352572
547.391748,0.8776564929487385
547.527351,0.8824263056563034
547.662953,0.8640626510652548
547.798556,0.8868583544594917
547.934159,0.9366552443883455
548.069761,0.8844670665937769
548.205364,0.8956728996638171
548.340967,0.9095584654703818
548.47657,0.8636911839964403
548.612172,0.8938028981358126
548.747775,0.8698104192388224
548.883378,0.9129309783365923
549.01898,0.8822498380425218
549.154583,0.8771826863818328
549.290186,0.9270813139030013
549.425789,0.8586361677341185
549.561391,0.8694451755692818
549.696994,0.9179870456073956
549.832597,0.88206458502878
549.968199,0.9186895743802794
550.103802,0.9059311221012022
550.239405,0.9036890039123788
550.375008,0.9165716838284494
550.51061,0.8965152280218059
550.646213,0.9111953226849635
550.781816,0.9075324099838644
550.917418,0.8726069967901982
551.053021,0.9279262697989403
551.188624,0.9228117682504847
551.324226,0.8846439776976164
551.459829,0.9462958698523343
551.595432,0.8871954246734709
551.731035,0.8986964090875893
551.866637,0.9182487092006847
552.00224,0.8804342740491112
552.137843,0.920315254225301
552.273445,0.8977802060932819
552.409048,0.9145620154004317
552.544651,0.9114432015227275
552.680254,0.8988222353924974
552.815856,0.950931736281482
552.951459,0.9149681710951614
553.087062,0.892695269413856
553.222664,0.95565051772499
553.358267,0.8946524143453505
553.49387,0.9020097045976064
553.629473,0.9364229826893782
553.765075,0.8852103310570864
553.900678,0.9289029618847302
554.036281,0.9103865403909046
554.171883,0.9244364226154503
554.307486,0.9158414672264074
554.443089,0.8769897274170931
554.578692,0.9333406800834029
554.714294,0.904692655630375
554.849897,0.9033908357415418
554.9855,0.9420028301544906
