nu,[0]Methylpivalate-PNNL(x-sec)-X=0.01-T=278.12K-P=1.0atm-L=15cm
586.414728,0.9327911042887935
586.533731,0.9293907639765645
586.652733,0.9292541535753704
586.771735,0.9288983173815321
586.890738,0.9287357743989161
587.00974,0.9220572168776413
587.128743,0.9213889676650153
587.247745,0.9203115729716467
587.366747,0.9156940286193103
587.48575,0.9150175807104481
587.604752,0.9135930932835526
587.723754,0.9081878849818731
587.842757,0.9056793082530047
587.961759,0.9055135841038165
588.080762,0.9043218076705933
588.199764,0.9021901245799229
588.318766,0.9037974530996694
588.437769,0.9018563759811266
588.556771,0.8992987374391437
588.675774,0.9049098079249595
588.794776,0.9026774388101965
588.913778,0.9107471248519106
589.032781,0.9071068770788483
589.151783,0.9129172844746215
589.270785,0.9148126397266161
589.389788,0.9195903314620516
589.50879,0.9186307801289553
589.627793,0.9265261584816213
589.746795,0.9271044912255642
589.865797,0.9261584006014735
589.9848,0.9310549322079512
590.103802,0.9325458124856516
590.222804,0.9373148818455359
590.341807,0.9354290293643963
590.460809,0.9344454754655643
590.579812,0.9360044951550481
590.698814,0.9350427769418843
590.817816,0.9384656730715984
590.936819,0.9375117386399634
591.055821,0.9361280559032386
591.174823,0.9399289421808895
591.293826,0.9359427208969409
591.412828,0.9357106358818897
591.531831,0.9387913771665466
591.650833,0.9367798278204637
591.769835,0.9342539337767878
591.888838,0.9360634652957828
592.00784,0.9348894425002338
592.126843,0.9331792261119197
592.245845,0.9343847384836325
592.364847,0.9345342520025524
592.48385,0.9339550203466788
592.602852,0.9328778578954726
592.721854,0.9312514055258532
592.840857,0.9301689896880398
592.959859,0.9342118932956858
593.078862,0.9309683481254781
593.197864,0.9254353532773364
593.316866,0.9315923059212425
593.435869,0.9270405232225911
593.554871,0.9298574352647739
593.673873,0.9273335143180844
593.792876,0.9303736493775115
593.911878,0.9306211616859236
594.030881,0.9320116167967782
594.149883,0.9313706133348975
594.268885,0.9363827173668332
594.387888,0.932248377814821
594.50689,0.9278696680228543
594.625893,0.9313156640897294
594.744895,0.9329151737561007
594.863897,0.9324199272984074
594.9829,0.933439619439185
595.101902,0.9374320535288442
595.220904,0.932282871642932
595.339907,0.9345809798833398
595.458909,0.9358772071994842
595.577912,0.938186051966637
595.696914,0.940896626850771
595.815916,0.9422345913561676
595.934919,0.9420028301544906
596.053921,0.942625699860982
596.172923,0.9436669332887246
596.291926,0.9453112884153703
596.410928,0.947416000292891
596.529931,0.9441275551347588
596.648933,0.9482899206605416
596.767935,0.9494304504662687
596.886938,0.9511818642185059
597.00594,0.9537478029282654
597.124942,0.9519059891117517
597.243945,0.9558588722476719
597.362947,0.9545426058375576
597.48195,0.9543450359673363
597.600952,0.9613853133064976
597.719954,0.9589349859345206
597.838957,0.9609201154018315
597.957959,0.9597081990962292
598.076962,0.9635990443419069
598.195964,0.9661559682372413
598.314966,0.9638496126659064
598.433969,0.9643200860630595
598.552971,0.9670036586793123
598.671973,0.9689231294607604
598.790976,0.9695521646716272
598.909978,0.9705590823184068
599.028981,0.9696597909350528
599.147983,0.9729904615293903
599.266985,0.9751724030253492
599.385988,0.9768003479221972
599.50499,0.9781874115047658
599.623992,0.9784319889285462
599.742995,0.9782930614502028
599.861997,0.9743068343008546
599.981,0.9804290470628385
600.100002,0.981440390668404
600.219004,0.9842365642507519
600.338007,0.9826453571234984
600.457009,0.9804633626800056
600.576012,0.9791817549557931
600.695014,0.9830109691959776
600.814016,0.9857633138506126
600.933019,0.9838724640846637
601.052021,0.9849966882484649
601.171023,0.98649798114902
601.290026,0.9879422839453248
601.409028,0.9845555085637577
601.528031,0.9897617711626862
601.647033,0.9905104130262531
601.766035,0.9877684214037028
601.885038,0.9874286875043209
602.00404,0.9928915851511545
602.123042,0.9919994759238245
602.242045,0.9874602857278899
602.361047,0.9921931331218525
602.48005,0.9910195671434523
602.599052,0.9925981297734254
602.718054,0.9896588412909314
602.837057,0.9921349923077941
602.956059,0.9926614595543035
603.075062,0.9898845092319134
603.194064,0.9914965605145627
603.313066,0.9943817417760582
603.432069,0.9928760961632406
603.551071,0.993925226504163
603.670073,0.9955443559663789
603.789076,0.9975310528759121
603.908078,0.992809377131363
604.027081,0.9974966386482368
604.146083,0.9940855595737126
604.265085,0.9954558560070149
604.384088,0.9946956181808542
604.50309,0.992572818843832
604.622092,0.9933354075652903
604.741095,0.995121339512457
604.860097,0.9976177420909988
604.9791,0.9958375869553547
605.098102,0.9950648182255923
605.217104,0.9934480581876778
605.336107,0.9981248602753459
605.455109,0.9939351658061245
605.574111,0.9943179045174342
605.693114,0.9986215509348899
605.812116,0.9956974824634522
605.931119,0.9972579662608984
606.050121,0.9951817452110597
606.169123,1.0010803831939121
606.288126,0.9976547543958044
606.407128,0.9965685010959678
606.526131,0.9945519945034679
606.645133,1.0003463299583768
606.764135,0.999430372299495
606.883138,0.9967132133481823
607.00214,0.9981061955149747
607.121142,0.997654255568552
607.240145,0.9939955989013529
607.359147,0.9988506609965937
607.47815,0.9959131738966929
607.597152,0.9944139602664285
607.716154,1.0001307285442316
607.835157,0.997431205014988
607.954159,0.9999351461031049
608.073161,0.9990597822819279
608.192164,0.9964119524816613
608.311166,0.9988173998233841
608.430169,0.9970243360902467
608.549171,0.9985097115843057
608.668173,0.9964342723593786
608.787176,0.9991581245761346
608.906178,0.9959130743053805
609.025181,0.9989022030204739
609.144183,1.0021944041883393
609.263185,1.0016253194021396
609.382188,0.9991900381962914
609.50119,0.9953195874281247
609.620192,0.9980934198374367
609.739195,0.997576441571403
609.858197,0.996484493912278
609.9772,0.9983076336696559
610.096202,0.9979875277432668
610.215204,1.0006674826674768
610.334207,0.9992705461808894
610.453209,0.9969919333258715
610.572211,0.99848095491871
610.691214,0.9955832825117061
610.810216,0.9987611679867151
610.929219,0.9995801481624604
611.048221,0.9994945377890868
611.167223,0.9986666896491194
611.286226,0.998119969475513
611.405228,0.9979064944460104
611.52423,0.9974877609676586
611.643233,0.9983192141053728
611.762235,0.9993424163029894
611.881238,1.0003059667982952
612.00024,0.9976717146707911
612.119242,0.9991834535556361
612.238245,0.9974921499234625
612.357247,0.9993032828202055
612.47625,0.9976735104814938
612.595252,1.0014152004523778
612.714254,0.996600192478193
612.833257,0.9962859143417528
612.952259,1.0006849044400061
613.071261,0.9999361030414976
613.190264,1.0006534033750436
613.309266,1.0005220862396036
613.428269,1.0010550561806053
613.547271,1.0004961130233787
613.666273,0.9960383680509394
613.785276,1.000630388611437
613.904278,0.9966239118450333
614.02328,0.9964578881314793
614.142283,1.0017198772953535
