nu,[0]Octane-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
611.682234,0.9964280944860414
611.800236,0.9963565535172089
611.918238,0.9999238638985001
612.036241,0.993595695538308
612.154243,0.9984101651285341
612.272245,0.994347933371584
612.390248,0.9934969370345503
612.50825,1.0004396065986716
612.626253,0.9943525073825977
612.744255,1.0012071279932009
612.862257,1.0015162483438838
612.98026,1.0001814964684914
613.098262,0.9992164371458291
613.216264,0.9937522985599188
613.334267,0.996653312684093
613.452269,0.9948037474712709
613.570271,0.9934237190084083
613.688274,0.9965283401946213
613.806276,0.9981426270559827
613.924278,0.9939195611465182
614.042281,0.9940066323137361
614.160283,0.9945192742810993
614.278286,1.0011698837807863
614.396288,0.997277313253109
614.51429,0.9979653726660732
614.632293,0.9989554459268057
614.750295,1.004100283253383
614.868297,0.9989037013749021
614.9863,0.9994965067952658
615.104302,0.9935574428403988
615.222304,0.9978925238528826
615.340307,0.9988861208244673
615.458309,0.9991359634946988
615.576312,0.9966432465364691
615.694314,0.9963604393153448
615.812316,0.9967256723412177
615.930319,0.9947063609515414
616.048321,0.994534589995854
616.166323,0.9980685676206941
616.284326,0.9968106966673043
616.402328,1.000634100957065
616.52033,0.9979823382216153
616.638333,0.9991540180446815
616.756335,0.9912613062947697
616.874337,1.0006763586274128
616.99234,0.9966470337880017
617.110342,1.0007342694439199
617.228345,0.9919106959436927
617.346347,1.0042481981187688
617.464349,0.9958278277948226
617.582352,1.00013674934934
617.700354,0.9984302333745383
617.818356,0.9930065686541313
617.936359,0.9973514137102816
618.054361,0.9913432869946556
618.172363,0.9956422227866458
618.290366,0.9979128810680121
618.408368,0.997693364381898
618.526371,0.9997668671796803
618.644373,1.0020135244232733
618.762375,0.9972828980217006
618.880378,0.9960669547623198
618.99838,0.9992126301384558
619.116382,0.9968691114856665
619.234385,0.9994221570155996
619.352387,0.9970232393640802
619.470389,1.000284770539434
619.588392,0.9968203657779571
619.706394,0.9952237427668498
619.824396,0.9968640274661622
619.942399,0.9996099960713116
620.060401,0.9984121619508611
620.178404,0.9933908372275057
620.296406,0.9984220462801918
620.414408,0.9975663661002243
