nu,[0]1-1-2-2-Tetrafluoro-3-methoxy-propane-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
625.787475,0.9999991979903217
626.269592,0.9999993195102316
626.751709,0.9999994167201701
627.233825,0.9999992466002838
627.715942,0.9999991736903414
628.198059,0.9999992709002657
628.680175,0.9999994896301302
629.162292,0.9999999027870047
629.644409,0.9999998784800074
630.126525,0.9999998784800074
630.608642,0.999999465330143
631.090759,0.9999994167201701
631.572875,0.9999995139301181
632.054992,0.9999994167201701
632.537109,0.9999994167201701
633.019226,0.9999996597500579
633.501342,0.9999998541800106
633.983459,0.9999997083600425
634.465576,0.9999991736903414
634.947692,0.9999987605007682
635.429809,0.9999988820006249
635.911926,0.9999993438102153
636.394042,0.9999995382401066
636.876159,0.999999465330143
637.358276,0.9999995139301181
637.840392,0.9999996354500664
638.322509,0.9999996597500579
638.804626,0.9999997083600425
639.286742,0.9999996840600499
639.768859,0.9999994167201701
640.250976,0.9999991493903617
640.733093,0.9999991007804043
641.215209,0.999998955000546
641.697326,0.9999986147009595
642.179443,0.9999984203012477
642.661559,0.999998566101028
643.143676,0.999998566101028
643.625793,0.9999982745014887
644.107909,0.9999980800018432
644.590026,0.9999981043017968
645.072143,0.9999982016016171
645.554259,0.9999982745014887
646.036376,0.9999982988014471
646.518493,0.9999983960012864
647.00061,0.9999984932011352
647.482726,0.999998323101406
647.964843,0.9999981286017511
648.44696,0.9999981773016611
648.929076,0.9999980314019377
649.411193,0.9999974482032559
649.89331,0.9999969621046144
650.375426,0.9999970836042527
650.857543,0.9999977398025542
651.33966,0.9999983474013655
651.821776,0.9999986633008934
652.303893,0.9999988820006249
652.78601,0.9999989307005717
653.268127,0.9999987119008296
653.750243,0.9999984203012477
654.23236,0.9999980314019377
654.714477,0.9999974482032559
655.196593,0.9999969378046886
655.67871,0.9999966705055428
656.160827,0.9999965975057885
656.642943,0.9999965975057885
657.12506,0.9999967677052238
657.607177,0.9999971322041121
658.089293,0.9999972780037046
658.57141,0.9999969864045409
659.053527,0.9999964760062093
659.535643,0.9999960386078464
660.01776,0.9999957712089413
660.499877,0.999995819808737
660.981994,0.9999959900080401
661.46411,0.999995868408535
661.946227,0.9999956011096751
662.428344,0.9999954310104379
662.91046,0.9999951880115776
663.392577,0.9999950664121702
663.874694,0.999994944912777
664.35681,0.9999944346154868
664.838927,0.9999936811199642
665.321044,0.9999932680226599
665.80316,0.9999930250243253
666.285277,0.9999926604269348
666.767394,0.9999923688291176
667.249511,0.9999922230302408
667.731627,0.9999919556323561
668.213744,0.9999913966370091
668.695861,0.9999907648426444
669.177977,0.9999902544474882
669.660094,0.9999897440525926
670.142211,0.9999889420611394
670.624327,0.9999879210729509
671.106444,0.9999868760861194
671.588561,0.999985734101759
672.070677,0.9999845431194588
672.552794,0.9999836441337586
673.034911,0.9999829881447032
673.517027,0.9999822591573706
673.999144,0.9999814081728302
674.481261,0.9999807761847799
674.963378,0.9999804361913738
675.445494,0.9999797802044228
675.927611,0.9999784672318334
676.409728,0.9999771792603971
676.891844,0.9999766452727259
677.373961,0.9999763772790209
677.856078,0.9999756972953155
678.338194,0.9999747983175677
678.820311,0.9999740683362314
679.302428,0.9999734123534577
679.784544,0.9999727323717685
680.266661,0.9999722943838076
680.748778,0.9999721733871674
681.230895,0.9999720763898713
681.713011,0.9999716874008092
682.195128,0.9999708364252653
682.677245,0.9999698154555625
683.159361,0.9999691834748389
683.641478,0.9999689164831025
684.123595,0.9999685764937287
684.605711,0.9999681385075881
685.087828,0.9999678715161308
685.569945,0.9999677505200256
686.052061,0.9999674585294851
686.534178,0.9999669965446261
687.016295,0.9999665835583417
687.498412,0.9999662185706053
687.980528,0.9999660975747002
688.462645,0.9999662185706053
688.944762,0.9999663405664915
689.426878,0.9999664135640369
689.908995,0.99996660755754
690.391112,0.999966923547038
690.873228,0.9999672155374223
691.355345,0.9999673615326463
691.837462,0.9999675075278918
692.319578,0.999967774519252
692.801695,0.9999683335013941
693.283812,0.9999692564725919
693.765928,0.9999701564453277
694.248045,0.9999704964352387
694.730162,0.9999704234373952
695.212279,0.999970301441011
695.694395,0.999970350439557
696.176512,0.9999705934323816
696.658629,0.999971006420322
697.140745,0.9999714684070337
697.622862,0.9999719543932853
698.104979,0.9999727073724506
698.587095,0.9999737773438199
699.069212,0.9999749683132979
699.551329,0.9999759882882857
700.033445,0.9999766692721657
700.515562,0.9999772762581881
700.997679,0.9999780302413387
701.479796,0.9999788322240405
701.961912,0.9999794642108623
