nu,[0]HFC-236fa-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
457.772214,1.0
457.892743,1.0
458.013273,1.0
458.133802,1.0
458.254332,1.0
458.374861,1.0
458.495391,1.0
458.61592,1.0
458.736449,1.0
458.856979,1.0
458.977508,1.0
459.098038,1.0
459.218567,1.0
459.339097,1.0
459.459626,1.0
459.580155,1.0
459.700685,1.0
459.821214,1.0
459.941744,1.0
460.062273,1.0
460.182803,1.0
460.303332,1.0
460.423862,1.0
460.544391,1.0
460.66492,1.0
460.78545,1.0
460.905979,1.0
461.026509,1.0
461.147038,1.0
461.267568,1.0
461.388097,1.0
461.508626,1.0
461.629156,1.0
461.749685,1.0
461.870215,1.0
461.990744,1.0
462.111274,1.0
462.231803,1.0
462.352332,1.0
462.472862,1.0
462.593391,1.0
462.713921,1.0
462.83445,1.0
462.95498,1.0
463.075509,1.0
463.196038,1.0
463.316568,1.0
463.437097,1.0
463.557627,1.0
463.678156,1.0
463.798686,1.0
463.919215,1.0
464.039745,1.0
464.160274,1.0
464.280803,1.0
464.401333,1.0
464.521862,1.0
464.642392,1.0
464.762921,1.0
464.883451,1.0
465.00398,1.0
465.124509,1.0
465.245039,1.0
465.365568,1.0
465.486098,1.0
465.606627,1.0
465.727157,1.0
465.847686,1.0
465.968215,1.0
466.088745,1.0
466.209274,1.0
466.329804,1.0
466.450333,1.0
466.570863,1.0
466.691392,1.0
466.811922,1.0
466.932451,1.0
467.05298,1.0
467.17351,1.0
467.294039,1.0
467.414569,1.0
467.535098,1.0
467.655628,1.0
467.776157,1.0
467.896686,1.0
468.017216,1.0
468.137745,1.0
468.258275,1.0
468.378804,1.0
468.499334,1.0
468.619863,1.0
468.740392,1.0
468.860922,1.0
468.981451,1.0
469.101981,1.0
469.22251,1.0
469.34304,1.0
469.463569,1.0
469.584098,1.0
469.704628,1.0
469.825157,1.0
469.945687,1.0
470.066216,1.0
470.186746,1.0
470.307275,1.0
470.427805,1.0
470.548334,1.0
470.668863,1.0
470.789393,1.0
470.909922,1.0
471.030452,1.0
471.150981,1.0
471.271511,1.0
471.39204,1.0
471.512569,1.0
471.633099,1.0
471.753628,1.0
471.874158,1.0
471.994687,1.0
472.115217,1.0
472.235746,1.0
472.356275,1.0
472.476805,1.0
472.597334,1.0
472.717864,1.0
472.838393,1.0
472.958923,1.0
473.079452,1.0
473.199982,1.0
473.320511,1.0
473.44104,1.0
473.56157,1.0
473.682099,1.0
473.802629,1.0
473.923158,1.0
474.043688,1.0
474.164217,1.0
474.284746,1.0
474.405276,1.0
474.525805,1.0
474.646335,1.0
474.766864,1.0
474.887394,1.0
475.007923,1.0
