nu,[0](Perfluoro-n-octyl)ethylene-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
683.58559,0.7829863626009762
683.645855,0.7837854161388556
683.70612,0.7853938242970244
683.766385,0.7888729482001152
683.82665,0.7937156542084409
683.886915,0.7980532136369617
683.94718,0.8010435210452161
684.007445,0.8029522751416831
684.06771,0.8040450331428862
684.127975,0.8040450331428862
684.18824,0.802406453195081
684.248505,0.8004989966101956
684.30877,0.7994110579407886
684.369035,0.7994110579407886
684.4293,0.8013159221479349
684.489565,0.8048655774831643
684.54983,0.8087139573769916
684.610095,0.8106409888533828
684.67036,0.8106409888533828
684.730625,0.8111924121884888
684.79089,0.8131253494123831
684.851155,0.8153400610051076
684.91142,0.8175608048134584
684.971685,0.8206324134982523
685.03195,0.8251088186101808
685.092215,0.828200503438642
685.15248,0.8290456989285708
685.212745,0.8279189631320372
685.27301,0.828482139485226
685.333275,0.831312085897262
685.39354,0.8347107678041628
685.453805,0.836984271656138
685.51407,0.8381233446596636
685.574335,0.8392639678563665
685.6346,0.8412722076301341
685.694865,0.8429901546438695
685.75513,0.8429901546438695
685.815394,0.8424171161938658
685.875659,0.8438504432742208
685.935924,0.8490306432304952
685.996189,0.8554137576707852
686.056454,0.8583271143466819
686.116719,0.85628672484118
686.176984,0.8530901937294353
686.237249,0.8519222603810441
686.297514,0.8527916644073089
686.357779,0.8522119631962615
686.418044,0.8487420218802068
686.478309,0.8458611991795971
686.538574,0.8461488408836368
686.598839,0.8493193627287269
686.659104,0.8527916644073089
686.719369,0.8530901937294353
686.779634,0.8498970963025355
686.839899,0.847300386180549
686.900164,0.8475885172913635
686.960429,0.851053742694776
687.020694,0.853960789655481
687.080959,0.8557046477969125
687.141224,0.85861899518249
687.201489,0.8653683712389969
687.261754,0.8730521398603955
687.322019,0.8775248543479381
687.382284,0.8772265466126485
687.442549,0.8757277710362728
687.502814,0.8763234684347387
687.563079,0.879914971036875
687.623344,0.8835123577974034
687.683609,0.8850156062047729
687.743874,0.883812803071857
687.804139,0.8817118297505276
687.864404,0.8805135166996415
687.924669,0.880812942194769
687.984934,0.8814120986855809
688.045199,0.8811124695118737
688.105463,0.8796158508000442
688.165728,0.8778232635251019
688.225993,0.8763234684347387
688.286258,0.8739431073592308
688.346523,0.870384683601914
688.406788,0.8671355245999038
688.467053,0.8674304008043818
688.527318,0.8715692120683945
688.587583,0.8772265466126485
688.647848,0.8811124695118737
688.708113,0.8811124695118737
688.768378,0.8793168322468069
688.828643,0.8781217741786358
688.888908,0.879914971036875
688.949173,0.8832120146569795
689.009438,0.8859187826647911
689.069703,0.8877279016553952
689.129968,0.8895496104673435
689.190233,0.8913661439068313
689.250498,0.8931863868569502
689.310763,0.8928827551057416
689.371028,0.8907602209661228
689.431293,0.8874261254736904
689.491558,0.8841133505150714
689.551823,0.8823115976927473
689.612088,0.8826116346393534
689.672353,0.883812803071857
689.732618,0.8835123577974034
689.792883,0.8811124695118737
689.853148,0.8796158508000442
689.913413,0.8805135166996415
689.973678,0.8829117736158655
690.033943,0.883812803071857
690.094208,0.8829117736158655
690.154473,0.8820116627413629
690.214738,0.8826116346393534
690.275003,0.8844140001617903
690.335268,0.8844140001617903
690.395532,0.8817118297505276
690.455797,0.876621469071244
690.516062,0.8724586662092004
690.576327,0.8715692120683945
690.636592,0.8742402985353699
690.696857,0.8778232635251019
690.757122,0.8778232635251019
690.817387,0.8733490280560814
690.877652,0.8683156312039567
690.937917,0.8662514972953823
690.998182,0.8677253772838153
691.058447,0.8706806647082755
691.118712,0.8724586662092004
691.178977,0.8733490280560814
691.239242,0.8748349841085535
691.299507,0.8781217741786358
691.359772,0.8817118297505276
691.420037,0.8820116627413629
691.480302,0.8790179153425962
691.540567,0.876621469071244
691.600832,0.8778232635251019
691.661097,0.8814120986855809
691.721362,0.8841133505150714
691.781627,0.8844140001617903
691.841892,0.8853165626705826
691.902157,0.8874261254736904
691.962422,0.8892472150099254
692.022687,0.8892472150099254
692.082952,0.8880297804584465
692.143217,0.8865214123078604
692.203482,0.8859187826647911
692.263747,0.8856176214789878
692.324012,0.8859187826647911
692.384277,0.8865214123078604
692.444542,0.8853165626705826
692.504807,0.8823115976927473
692.565072,0.8805135166996415
692.625337,0.880812942194769
692.685602,0.8829117736158655
692.745866,0.8847147520467684
692.806131,0.8865214123078604
692.866396,0.8886338460681888
692.926661,0.8892472150099254
692.986926,0.8880297804584465
693.047191,0.8853165626705826
693.107456,0.8835123577974034
693.167721,0.8829117736158655
693.227986,0.8832120146569795
693.288251,0.8829117736158655
693.348516,0.8820116627413629
693.408781,0.8793168322468069
693.469046,0.8742402985353699
693.529311,0.8694973438448486
693.589576,0.8665460728794744
693.649841,0.8656626465091792
693.710106,0.8656626465091792
693.770371,0.8668407486362933
693.830636,0.868610908712898
693.890901,0.8694973438448486
693.951166,0.8683156312039567
694.011431,0.8659570218499645
694.071696,0.8644775006937119
694.131961,0.8633026103992584
694.192226,0.859787511426877
694.252491,0.8548322740424092
694.312756,0.8504752228687766
694.373021,0.8478767463834117
694.433286,0.8449988606238621
694.493551,0.8409778138793752
694.553816,0.8358467467389599
694.614081,0.8304645798711989
694.674346,0.8256700834152421
694.734611,0.822308212355456
694.794876,0.8206324134982523
694.855141,0.8203534459048412
694.915406,0.8206324134982523
694.975671,0.8206324134982523
695.035935,0.8203534459048412
695.0962,0.8203534459048412
695.156465,0.819795795184359
695.21673,0.8178388227474656
695.276995,0.8158946807959486
695.33726,0.8153400610051076
695.397525,0.8158946807959486
695.45779,0.8172828813894812
695.518055,0.818681630706483
695.57832,0.8184033262664787
695.638585,0.8147858182275253
695.69885,0.8087139573769916
695.759115,0.8032253253311331
695.81938,0.8004989966101956
695.879645,0.7999548423259255
695.93991,0.7983245978623023
696.000175,0.794795841859274
696.06044,0.7920981247148983
696.120705,0.7907527018363524
696.18097,0.7888729482001152
696.241235,0.7843185714740997
696.3015,0.7792682037534296
696.361765,0.7768872877093201
696.42203,0.7782091193369685
696.482295,0.7800634628344406
696.54256,0.7803287295045828
696.602825,0.7784737554231284
696.66309,0.7760952666752523
696.723355,0.7729275194934021
696.78362,0.7682116483589417
696.843885,0.7619609281529103
696.90415,0.7560256309532468
696.964415,0.7511499350057759
697.02468,0.7470747738475805
697.084945,0.7425092132238323
697.14521,0.7364749911526306
697.205475,0.730730909398886
697.26574,0.7265194675343369
697.326004,0.7240534958720982
697.386269,0.7206079847737029
697.446534,0.7145087752658147
697.506799,0.7072507559095297
697.567064,0.7019732367295195
697.627329,0.6995905805354606
697.687594,0.6976902797370886
697.747859,0.6931977270984498
697.808124,0.6868564229092533
697.868389,0.6808045625482883
697.928654,0.6752718016823765
697.988919,0.6681851320869583
698.049184,0.6591527373094066
698.109449,0.6495795315139622
698.169714,0.6412345348377937
698.229979,0.635368584787662
698.290244,0.6308482100340402
698.350509,0.6272061528282723
698.410774,0.6223205284019417
698.471039,0.6155802254095305
698.531304,0.6080853673782322
698.591569,0.6017037887699119
698.651834,0.5962054240961681
698.712099,0.5899485200746477
698.772364,0.582963909121406
698.832629,0.5764538468384505
698.892894,0.5707922333938321
698.953159,0.5638483199008235
699.013424,0.5548985359816725
699.073689,0.545539535840903
699.133954,0.5372509366744421
699.194219,0.5292681900884563
699.254484,0.5205184213035341
699.314749,0.5119133021598021
699.375014,0.504135599737114
699.435279,0.4971517338415159
699.495544,0.4894269803739429
699.555809,0.48100866234753614
699.616073,0.47273514238342573
699.676338,0.46460392990347266
699.736603,0.4572294204230581
699.796868,0.4510486833326154
699.857133,0.4451072565067933
699.917398,0.43789330244725716
699.977663,0.4290464889819463
700.037928,0.42066015671068885
700.098193,0.41455069827686153
700.158458,0.4096467811444767
700.218723,0.40424667729085473
700.278988,0.39837560005065903
700.339253,0.3928568432552988
700.399518,0.38675262585924003
700.459783,0.3799711310761021
700.520048,0.37368951505586556
700.580313,0.3687634121711474
700.640578,0.3638913299543531
700.700843,0.35811539933933095
700.761108,0.3522197529583316
700.821373,0.34721885215102644
700.881638,0.34215206713408347
700.941903,0.33604842747993807
701.002168,0.3291637275094663
701.062433,0.3231624955709284
701.122698,0.3180330407085957
701.182963,0.31329814559030444
701.243228,0.308849863130135
701.303493,0.3044647384547273
701.363758,0.2993325848057847
701.424023,0.29349343732942673
701.484288,0.288257817397856
701.544553,0.28444937073627596
701.604818,0.2808877937197423
701.665083,0.27634643530222786
701.725348,0.27149813741000095
701.785613,0.2674560567425849
701.845878,0.26384327695822674
701.906143,0.25991516231554684
701.966407,0.2557128867570757
702.026672,0.25183025744403303
702.086937,0.2476596139467003
702.147202,0.24307141255216874
702.207467,0.23887855363166619
702.267732,0.23541626297206356
702.327997,0.23167957597612715
702.388262,0.22738742459690825
702.448527,0.22348745416365678
702.508792,0.22038042972434088
702.569057,0.21709939257630184
702.629322,0.2128005365789935
702.689587,0.20842000092076945
702.749852,0.20496828892088212
702.810117,0.20228048603297127
702.870382,0.19954809380521402
702.930647,0.19671486195201707
702.990912,0.19417411935554202
703.051177,0.19168536022501895
703.111442,0.18922849989764384
703.171707,0.18723327119282085
703.231972,0.18577853253380452
703.292237,0.18420610728188683
703.352502,0.18239146412449897
703.412767,0.18102864510310362
