nu,[0]2-3-Butanedione-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
618.14464,0.9897162431683646
618.263842,0.9901119118198713
618.383044,0.9892412933687147
618.502246,0.990484660090304
618.621448,0.9910530641709183
618.74065,0.9903494681612607
618.859852,0.9907487585034382
618.979054,0.9907331047967185
619.098256,0.9912672538804502
619.217458,0.9901033968940439
619.33666,0.9911179802726007
619.455862,0.9906441409584439
619.575064,0.9907867049075579
619.694266,0.9905729162052695
619.813468,0.9906049122271959
619.93267,0.9907974054617539
620.051872,0.990563109581942
620.171074,0.9913068062329442
620.290276,0.9906744551329617
620.409478,0.9908871757732224
620.52868,0.9913973166760922
620.647882,0.9916308182378991
620.767084,0.9907170550504242
620.886286,0.9918459262899999
621.005488,0.9906138277115256
621.12469,0.9916196128729635
621.243892,0.9904581154571133
621.363094,0.9919012728368412
621.482296,0.9915337423327367
621.601498,0.991866854459836
621.7207,0.9920037415307421
621.839902,0.9918903619828497
621.959104,0.9918653666606702
622.078306,0.9913265334346733
622.197508,0.9927365075974262
622.31671,0.991631611542871
622.435912,0.9923904007244672
622.555114,0.9914062392920939
622.674316,0.9933467316534837
622.793518,0.9911747729599653
622.91272,0.9918536627183969
623.031922,0.9919512659208073
623.151124,0.9927748279661978
623.270326,0.992522794434388
623.389528,0.9929391457971516
623.50873,0.9930975322218878
623.627932,0.9923189511878292
623.747134,0.9931691371352871
623.866336,0.9922093060017311
623.985538,0.993450839846135
624.10474,0.9920665373550479
624.223942,0.9933401755866899
624.343144,0.992207123143659
624.462346,0.9929155141266996
624.581548,0.992150866594665
624.70075,0.9936364337969535
624.819952,0.9933742477390466
624.939154,0.9928141426278103
625.058356,0.9941150843532727
625.177558,0.9928622952814202
625.29676,0.9944492625886304
625.415962,0.9931737057238257
625.535164,0.9937579629641641
625.654366,0.9927826709183183
625.773568,0.99398456561144
625.89277,0.9935555550830508
626.011972,0.9937702856393053
626.131174,0.993655809896329
626.250376,0.9944929198695284
626.369578,0.9941470953743635
626.48878,0.9937851923053895
626.607982,0.9941771190699994
626.727184,0.9940766128439368
626.846386,0.9940301905500859
626.965588,0.9933129584387554
627.08479,0.9946635894976134
627.203992,0.9939484846265821
627.323194,0.9944719362902967
627.442396,0.9940534511286925
627.561598,0.9946565274111984
627.6808,0.9941944179023706
627.800002,0.9941895463616581
627.919204,0.994836178602063
628.038406,0.9942064477276075
628.157608,0.9947078530122019
628.27681,0.9946722431084851
628.396012,0.9955673533066199
