nu,[0]Hexane-PNNL(x-sec)-X=0.01-T=278.08K-P=1.0atm-L=15cm
621.658364,1.000076953960804
621.777366,1.0007372216143693
621.896368,1.000018805176815
622.01537,1.0004185175540439
622.134372,1.000332875390721
622.253374,1.0004459494058842
622.372376,1.0000525363799873
622.491378,0.9998874463346391
622.61038,1.0008621414304546
622.729382,1.0004646979386491
622.848384,1.0003598747393825
622.967386,1.0003829132925857
623.086388,1.0008125399318606
623.20539,1.0008430251461145
623.324392,0.9998234355893306
623.443394,0.999853590718885
623.562396,1.0003431288552427
623.681398,1.0001057655927859
623.8004,1.0012764139237236
623.919402,1.000222324710476
624.038404,0.9996331473069109
624.157406,1.0005692819795144
624.276408,1.000653263283577
624.39541,1.0009318739249513
624.514412,1.0002212644753739
624.633414,1.0004671690895048
624.752416,1.0005427072122994
624.871418,1.0004344843609987
624.99042,1.0002008901757293
625.109422,1.0004786745281056
625.228424,1.0001258979244785
625.347426,1.0001166468027094
625.466428,1.0010678697673312
625.58543,1.000377211126231
625.704432,0.9998562303358488
625.823434,1.000608134839057
625.942436,0.9997612585032878
626.061438,0.9995193055706048
626.18044,1.0010806835180721
626.299442,1.0005961776432901
626.418444,1.000443158165579
626.537446,1.0004114446201275
626.656448,1.0004357449092431
626.77545,0.9996991852538313
626.894452,1.0000739037307462
627.013454,1.0003359064039254
627.132456,1.0009798197100048
627.251458,1.0003015154466472
627.37046,1.0005139020024119
627.489462,0.9999444135449842
627.608464,0.9999028017240585
627.727466,0.9999839891281753
627.846468,0.9995844863497173
627.96547,0.9999732163586881
628.084472,1.000768315002878
628.203474,1.0010047043776378
628.322476,1.0003497711556708
628.441478,1.000430832781795
628.56048,0.9997396838881203
628.679482,1.0004685597398364
628.798484,1.0009665267862642
628.917486,1.0002873312717242
629.036488,0.9999388578692563
629.15549,1.0002137228354717
629.274492,1.0006815421443758
629.393494,1.000096085615927
629.512496,0.9997575793886261
629.631498,1.0011605729441624
629.7505,1.0008875436339568
629.869502,0.9997459222832115
629.988504,1.0003531823542064
630.107506,0.9998852965789405
630.226508,1.0004060624210336
630.34551,1.0001881476975583
630.464512,1.000322031841124
630.583514,0.9993966021177655
630.702516,1.0006366225581766
630.821518,1.000465988538942
630.94052,1.0003225119958146
631.059522,1.000336976763918
631.178524,1.0004963831573657
631.297526,0.9999796212076504
631.416528,1.0004669790007608
631.53553,1.0006449078637125
631.654532,1.0006625493889478
631.773534,1.0005394654591797
631.892536,0.9997928614561512
632.011538,1.0005191046882291
632.13054,0.9998311542560474
632.249542,1.0005642691399688
632.368544,1.0000244522989525
632.487546,1.0001870774968127
632.606548,1.0003260231339937
632.72555,1.0001441603901104
632.844552,1.0003058667677036
632.963554,1.000162973278702
633.082556,1.0009084123567973
633.201558,0.9999695814626531
633.32056,1.0000810982882884
633.439562,1.0001069357172163
633.558564,1.0008465180943673
633.677566,1.0000374697019718
633.796568,0.999998075401852
633.91557,1.0009193123087579
634.034572,1.0004732419436524
634.153574,1.0001287282847746
634.272576,1.0001113762018687
634.391578,1.0002593136159645
634.51058,0.9998127775283148
634.629582,1.0003237323900236
634.748584,0.9998603197561937
634.867586,1.000464127673934
634.986588,1.000617580624434
635.10559,1.0000618949154112
635.224592,1.0003874450374473
635.343594,1.000666912287174
635.462596,1.0000640950540003
635.581598,1.0003177504719898
635.7006,1.000358144118296
635.819602,1.0003591244697578
635.938604,1.0002872812573589
636.057606,1.0003362465181915
636.176608,0.9999634296687109
636.29561,1.000714044808705
636.414612,1.0006998647911558
636.533614,1.0001182069858952
636.652616,1.0004023609254504
636.771618,0.9999446565315062
636.89062,1.000130208476388
637.009622,1.0004390863702113
637.128624,0.9999098710618568
637.247626,1.0001598327718966
637.366628,1.0000681433216507
637.48563,0.9993947432418143
637.604632,1.000647159317288
637.723634,1.0002551225382208
637.842636,1.0007065995239082
637.961638,1.000340638003953
638.08064,1.0003632359542085
638.199642,1.0004098739753924
638.318644,1.0001360392525
638.437646,1.0003450395124436
638.556648,0.9998729980654286
638.67565,1.0004541030735978
638.794652,1.0003452195745668
638.913654,1.0000581076881863
639.032656,1.0001436403152824
639.151658,1.0001316986715088
639.27066,1.000355903318563
639.389662,1.0004215488267443
639.508664,1.0001329088315962
639.627666,0.9997047735878963
639.746668,1.0002621943669359
639.86567,1.0002896419381284
639.984672,1.0004990244713037
640.103674,0.9997047435967535
640.222676,1.0003038361488552
640.341678,1.0006283273149594
640.46068,1.000455603755878
640.579682,1.0000723046138527
640.698684,1.0001933486894488
640.817686,0.9996279392317804
640.936688,1.0001893879316304
641.05569,1.0004781242649858
641.174692,1.0005588661075036
641.293694,1.0002052710652225
641.412696,0.9997416333824046
641.531698,1.0002358378053635
641.6507,1.000038044723682
641.769702,1.0005766361907635
641.888704,1.0000654551420944
642.007706,0.99983090429829
642.126708,1.0003405979903284
642.24571,1.000210252099875
642.364712,1.0005124112378083
642.483714,1.0001158067050788
642.602716,1.0000572086363517
642.721718,1.0003899560130856
642.84072,1.0001849370987572
642.959722,1.0001753053641897
643.078724,0.9998083983579396
643.197726,0.9999852871082356
643.316728,0.9995034533201271
643.43573,0.9995154474335315
643.554732,1.0001120562778356
643.673734,1.0009208937625207
643.792736,1.000400530190805
643.911738,1.0002644649646943
644.03074,1.0002522918202295
644.149742,1.000256322845088
644.268744,1.0001800562081735
644.387746,1.0005321815583845
644.506748,1.0001308985664699
644.62575,1.0006059935399396
644.744752,1.0005031465357759
644.863754,1.0001319487044646
644.982756,0.9998827268770304
645.101758,0.9996550794987581
645.22076,0.9999798152037157
645.339762,1.0001258579194434
645.458764,1.0002163233945318
645.577766,0.9997584691732677
645.696768,1.0001249078003298
645.81577,1.0002238750562809
645.934772,0.9997464321537619
646.053774,0.9995038731116657
646.172776,1.0001747152609337
