nu,[1]HFC-245fa-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
694.739215,0.9334974944896982
694.980269,0.9373101952828431
695.221323,0.9297951369036296
695.462377,0.947738176499842
695.70343,0.9089483564545173
695.944484,0.9051577871839379
696.185538,0.931293312782008
696.426592,0.9765913350129208
696.667646,1.0
696.9087,1.0
697.149753,0.984427524666778
697.390807,0.9874089391280553
697.631861,0.9921252694325117
697.872915,0.9719956012450437
698.113969,0.9874938599483631
698.355022,0.9746430281487926
698.596076,0.9786042081134413
698.83713,1.0
699.078184,0.9715825908854326
699.319238,0.9854666437442343
699.560291,0.9996393650444243
699.801345,0.9654982400047539
700.042399,0.9482908689509365
700.283453,0.9686257157153617
700.524507,0.9797077167663112
700.765561,0.9777766590559862
701.006614,0.9715631594279301
701.247668,0.9728951131363079
701.488722,0.9782020844259851
701.729776,0.9638457572751665
701.97083,0.9698576217104565
702.211883,0.9905089272617479
702.452937,0.9785132021539295
702.693991,0.971946030733439
702.935045,0.9783625227234117
703.176099,0.9753713584883337
703.417152,0.9787216476646471
703.658206,0.9840426887449588
703.89926,0.9856824845729224
704.140314,0.9957103270438235
704.381368,1.0
704.622422,0.9978592945851087
704.863475,1.0
705.104529,0.9989294734228557
705.345583,0.9849966882484649
705.586637,1.0
705.827691,1.0
706.068744,1.0
706.309798,1.0
706.550852,1.0
706.791906,1.0
707.03296,1.0
707.274013,1.0
707.515067,1.0
707.756121,1.0
707.997175,1.0
708.238229,1.0
708.479283,1.0
708.720336,1.0
708.96139,1.0
709.202444,1.0
709.443498,1.0
709.684552,1.0
709.925605,1.0
710.166659,1.0
710.407713,1.0
710.648767,1.0
710.889821,1.0
711.130874,1.0
711.371928,1.0
711.612982,1.0
711.854036,1.0
712.09509,1.0
712.336143,1.0
712.577197,1.0
712.818251,1.0
713.059305,1.0
713.300359,1.0
713.541413,1.0
713.782466,1.0
714.02352,1.0
714.264574,1.0
714.505628,1.0
714.746682,1.0
714.987735,1.0
715.228789,1.0
715.469843,1.0
715.710897,1.0
715.951951,1.0
716.193004,1.0
716.434058,1.0
716.675112,1.0
716.916166,1.0
717.15722,1.0
717.398274,1.0
717.639327,1.0
717.880381,1.0
718.121435,1.0
718.362489,1.0
718.603543,1.0
718.844596,1.0
719.08565,1.0
719.326704,1.0
719.567758,1.0
719.808812,1.0
720.049865,1.0
720.290919,1.0
720.531973,1.0
720.773027,1.0
721.014081,1.0
721.255135,1.0
721.496188,1.0
721.737242,1.0
721.978296,1.0
722.21935,1.0
722.460404,1.0
722.701457,1.0
722.942511,1.0
723.183565,1.0
723.424619,1.0
723.665673,1.0
723.906726,1.0
724.14778,1.0
724.388834,1.0
724.629888,1.0
724.870942,1.0
725.111996,1.0
725.353049,1.0
725.594103,1.0
725.835157,1.0
726.076211,1.0
726.317265,1.0
726.558318,1.0
726.799372,1.0
727.040426,1.0
727.28148,1.0
727.522534,1.0
727.763587,1.0
728.004641,1.0
728.245695,1.0
728.486749,1.0
728.727803,1.0
728.968857,1.0
729.20991,1.0
729.450964,1.0
729.692018,1.0
729.933072,1.0
730.174126,1.0
730.415179,1.0
730.656233,1.0
730.897287,1.0
731.138341,1.0
731.379395,1.0
731.620448,1.0
731.861502,1.0
732.102556,1.0
732.34361,1.0
732.584664,1.0
732.825717,1.0
733.066771,1.0
733.307825,1.0
733.548879,1.0
733.789933,1.0
734.030987,1.0
734.27204,1.0
734.513094,1.0
734.754148,1.0
734.995202,1.0
735.236256,1.0
735.477309,1.0
735.718363,1.0
735.959417,1.0
736.200471,1.0
736.441525,1.0
736.682578,1.0
736.923632,1.0
737.164686,1.0
737.40574,1.0
737.646794,1.0
737.887848,1.0
738.128901,1.0
738.369955,1.0
738.611009,1.0
738.852063,1.0
739.093117,1.0
739.33417,1.0
739.575224,1.0
739.816278,1.0
740.057332,1.0
740.298386,1.0
740.539439,1.0
740.780493,1.0
741.021547,1.0
741.262601,1.0
741.503655,1.0
741.744709,1.0
741.985762,1.0
742.226816,1.0
742.46787,1.0
742.708924,1.0
742.949978,1.0
743.191031,1.0
743.432085,1.0
743.673139,1.0
743.914193,1.0
744.155247,1.0
744.3963,1.0
744.637354,1.0
744.878408,1.0
745.119462,1.0
745.360516,1.0
745.60157,1.0
745.842623,1.0
746.083677,1.0
746.324731,1.0
746.565785,1.0
746.806839,1.0
747.047892,1.0
747.288946,1.0
747.53,1.0
747.771054,1.0
748.012108,1.0
748.253161,1.0
748.494215,1.0
748.735269,1.0
748.976323,1.0
749.217377,1.0
749.45843,1.0
749.699484,1.0
749.940538,1.0
750.181592,1.0
750.422646,1.0
750.6637,1.0
750.904753,1.0
751.145807,1.0
751.386861,1.0
751.627915,1.0
751.868969,1.0
752.110022,1.0
752.351076,1.0
752.59213,1.0
752.833184,1.0
753.074238,1.0
753.315291,1.0
753.556345,1.0
753.797399,1.0
754.038453,1.0
754.279507,1.0
754.520561,1.0
754.761614,1.0
755.002668,1.0
755.243722,1.0
755.484776,1.0
755.72583,1.0
755.966883,1.0
756.207937,1.0
756.448991,1.0
756.690045,1.0
756.931099,1.0
757.172152,1.0
757.413206,1.0
757.65426,1.0
757.895314,1.0
758.136368,1.0
758.377422,1.0
758.618475,1.0
758.859529,1.0
759.100583,1.0
759.341637,1.0
759.582691,1.0
759.823744,1.0
760.064798,1.0
760.305852,1.0
760.546906,1.0
760.78796,1.0
761.029013,1.0
761.270067,1.0
761.511121,1.0
761.752175,1.0
761.993229,1.0
762.234283,1.0
762.475336,1.0
762.71639,1.0
762.957444,1.0
763.198498,1.0
763.439552,1.0
763.680605,1.0
763.921659,1.0
764.162713,1.0
764.403767,1.0
764.644821,1.0
764.885874,1.0
765.126928,1.0
765.367982,1.0
765.609036,1.0
765.85009,1.0
766.091143,1.0
766.332197,1.0
766.573251,1.0
766.814305,1.0
767.055359,1.0
767.296413,1.0
767.537466,1.0
767.77852,1.0
768.019574,1.0
768.260628,1.0
768.501682,1.0
768.742735,1.0
768.983789,1.0
769.224843,1.0
769.465897,1.0
769.706951,1.0
769.948004,1.0
770.189058,1.0
770.430112,1.0
770.671166,1.0
770.91222,1.0
771.153274,1.0
771.394327,1.0
771.635381,1.0
771.876435,1.0
772.117489,1.0
772.358543,1.0
772.599596,1.0
772.84065,1.0
773.081704,1.0
773.322758,1.0
773.563812,1.0
773.804865,1.0
774.045919,1.0
774.286973,1.0
774.528027,1.0
774.769081,1.0
775.010135,1.0
775.251188,1.0
775.492242,1.0
775.733296,1.0
775.97435,1.0
776.215404,1.0
776.456457,1.0
776.697511,1.0
776.938565,1.0
777.179619,1.0
777.420673,1.0
777.661726,1.0
777.90278,1.0
778.143834,1.0
778.384888,1.0
778.625942,1.0
778.866996,1.0
779.108049,1.0
779.349103,1.0
779.590157,1.0
779.831211,1.0
780.072265,1.0
780.313318,1.0
780.554372,1.0
780.795426,1.0
781.03648,1.0
781.277534,1.0
781.518587,1.0
781.759641,1.0
782.000695,1.0
782.241749,1.0
782.482803,1.0
782.723857,1.0
782.96491,1.0
783.205964,1.0
783.447018,1.0
783.688072,1.0
783.929126,1.0
784.170179,1.0
784.411233,1.0
784.652287,1.0
784.893341,1.0
785.134395,1.0
785.375448,1.0
785.616502,1.0
785.857556,1.0
786.09861,1.0
786.339664,1.0
786.580717,1.0
786.821771,1.0
787.062825,1.0
787.303879,1.0
787.544933,1.0
787.785987,1.0
788.02704,1.0
788.268094,1.0
788.509148,1.0
788.750202,1.0
788.991256,1.0
789.232309,1.0
789.473363,1.0
789.714417,1.0
789.955471,1.0
790.196525,1.0
790.437578,1.0
790.678632,1.0
790.919686,1.0
791.16074,1.0
791.401794,1.0
791.642848,1.0
791.883901,1.0
792.124955,1.0
792.366009,1.0
792.607063,1.0
792.848117,1.0
793.08917,1.0
793.330224,1.0
793.571278,1.0
793.812332,1.0
794.053386,1.0
794.294439,1.0
794.535493,1.0
794.776547,1.0
795.017601,1.0
795.258655,1.0
795.499709,1.0
795.740762,1.0
795.981816,1.0
796.22287,1.0
796.463924,1.0
796.704978,1.0
796.946031,1.0
797.187085,1.0
797.428139,1.0
797.669193,1.0
797.910247,1.0
798.1513,1.0
798.392354,1.0
798.633408,1.0
798.874462,1.0
799.115516,1.0
799.35657,1.0
799.597623,1.0
799.838677,1.0
800.079731,1.0
800.320785,1.0
800.561839,1.0
800.802892,1.0
801.043946,1.0
801.285,1.0
801.526054,1.0
801.767108,1.0
802.008161,1.0
802.249215,1.0
802.490269,1.0
802.731323,1.0
802.972377,1.0
803.21343,1.0
803.454484,1.0
803.695538,1.0
803.936592,1.0
804.177646,1.0
804.4187,1.0
804.659753,1.0
804.900807,1.0
805.141861,1.0
805.382915,1.0
805.623969,1.0
805.865022,1.0
806.106076,1.0
806.34713,1.0
806.588184,1.0
806.829238,1.0
807.070291,1.0
807.311345,1.0
807.552399,1.0
807.793453,1.0
808.034507,1.0
808.275561,1.0
808.516614,1.0
808.757668,1.0
808.998722,1.0
809.239776,1.0
809.48083,1.0
809.721883,1.0
809.962937,1.0
810.203991,1.0
810.445045,1.0
810.686099,1.0
810.927152,1.0
811.168206,1.0
811.40926,1.0
811.650314,1.0
811.891368,1.0
812.132422,1.0
812.373475,1.0
812.614529,1.0
812.855583,1.0
813.096637,1.0
813.337691,1.0
813.578744,1.0
813.819798,1.0
814.060852,1.0
814.301906,1.0
814.54296,1.0
814.784013,1.0
815.025067,1.0
815.266121,1.0
815.507175,0.9927473284843327
815.748229,0.9913031384045466
815.989283,0.992781380301685
816.230336,0.9852400124797677
816.47139,0.9867130611517789
816.712444,0.9955738245154478
816.953498,0.99264190431617
817.194552,0.9884077143613217
817.435605,0.9962834236300804
817.676659,1.0
817.917713,1.0
818.158767,1.0
818.399821,0.9944456825777291
818.640874,0.994476411424079
818.881928,0.9971349122204521
819.122982,0.9997587391080909
819.364036,0.9968621334263094
819.60509,0.9909737830970698
819.846143,0.9925739106745332
820.087197,0.9893659456246063
820.328251,0.9886410061092544
820.569305,0.9956659193535361
820.810359,0.9924175925939739
821.051413,0.9856854416248118
821.292466,0.9860906416042114
821.53352,0.9897558326098749
821.774574,0.9917208624041384
822.015628,0.9932269412611522
822.256682,0.9919655501218825
822.497735,0.9894173939914248
822.738789,0.9907260706166459
822.979843,0.9904851553327578
823.220897,0.9928697417765592
823.461951,0.9960309973942872
823.703004,0.996338021457662
823.944058,0.994299211516544
824.185112,0.9862701264336075
824.426166,0.9846155682815829
824.66722,0.9901798358267889
824.908274,0.9921592006969475
825.149327,0.985966402010628
825.390381,0.9839383857481084
825.631435,0.9922340123210429
825.872489,0.9893797968448035
826.113543,0.9891087439164149
826.354596,0.9956522788238789
826.59565,0.9909330549115546
826.836704,0.9926861771323789
827.077758,0.9956727894720816
827.318812,0.9919348988599481
827.559865,0.9927916060025643
827.800919,0.9890948964909323
828.041973,0.980046754286421
828.283027,0.9805369001898286
828.524081,0.9894916030787801
828.765135,0.9863983498843875
829.006188,0.9779135573709125
829.247242,0.9819891692161016
829.488296,0.9826954733146638
829.72935,0.9801104593958432
829.970404,0.9848519043771675
