nu,[0]Trichloroethene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
671.412228,0.9936024520120096
671.530331,0.9952200604458139
671.648433,0.9943718974455442
671.766535,0.9947597781173625
671.884638,0.9949033323105309
672.00274,0.9941364580573528
672.120842,0.9939575295989468
672.238945,0.9949704905520269
672.357047,0.9937404729779282
672.47515,0.9941294991265027
672.593252,0.9945725819428334
672.711354,0.9945679074626833
672.829457,0.9949701920609245
672.947559,0.9946822893488739
673.065661,0.995043623570688
673.183764,0.9952998802953948
673.301866,0.9945671118086756
673.419968,0.9951132790622518
673.538071,0.9940607077453724
673.656173,0.9946130618706794
673.774275,0.9950907897562751
673.892378,0.994620123648488
674.01048,0.9949555661066023
674.128583,0.9942757463320424
674.246685,0.9950465092013805
674.364787,0.9948315028830116
674.48289,0.9950121806889833
674.600992,0.9952866428950158
674.719094,0.9954907971207737
674.837197,0.9956129513355882
674.955299,0.9954673038151838
675.073401,0.9956267904517935
675.191504,0.9950752664610368
675.309606,0.9952390693305027
675.427709,0.9948888068279154
675.545811,0.9959416574207787
675.663913,0.996124728321113
675.782016,0.9958968410545705
675.900118,0.9955920436831414
676.01822,0.9956309720930948
676.136323,0.9954379379628697
676.254425,0.9956153408095388
676.372527,0.9961818079033602
676.49063,0.9964503150803071
676.608732,0.9960101805639784
676.726835,0.9963098254906296
676.844937,0.9957953643367937
676.963039,0.9951419387373861
677.081142,0.9965183749610456
677.199244,0.9956962876271902
677.317346,0.9963550589834994
677.435449,0.9961149663466092
677.553551,0.9964222155776268
677.671653,0.9960309973942872
677.789756,0.9959376736621166
677.907858,0.9956392358644578
678.025961,0.995917655516059
678.144063,0.995716002608863
678.262165,0.9953335219998904
678.380268,0.9950729777905559
678.49837,0.9955823864871551
678.616472,0.9955803953243733
678.734575,0.9950501908802757
678.852677,0.9955126981592209
678.970779,0.9959477326834185
679.088882,0.9959655603073904
679.206984,0.9950281010112366
679.325087,0.9953858779200963
679.443189,0.9948443362921741
679.561291,0.996160091376659
679.679394,0.9955600856914677
679.797496,0.9955329072721154
679.915598,0.9955351970004354
680.033701,0.9952082173975608
680.151803,0.9955224542314676
680.269905,0.9951479096069311
680.388008,0.9960339854917616
680.50611,0.9950610369864674
680.624212,0.9962214567283212
680.742315,0.9956182280982138
680.860417,0.9958475453810164
680.97852,0.994915370713684
681.096622,0.9953983203213351
681.214724,0.9955932383943106
681.332827,0.9955649639478392
681.450929,0.9959685482085531
681.569031,0.9956703998602544
681.687134,0.9953167010055064
681.805236,0.995615440371078
681.923338,0.9954491864751227
682.041441,0.9957556328944042
682.159543,0.9956689063557747
682.277646,0.996150030210545
682.395748,0.9965192718279866
682.51385,0.995629279521881
682.631953,0.996051914264859
682.750055,0.995804226954975
682.868157,0.996223449173227
682.98626,0.9966026839817886
683.104362,0.996530931171674
683.222464,0.9960762182280741
683.340567,0.9961017181056578
683.458669,0.9957298431574908
683.576772,0.9964074686379638
683.694874,0.9967564716403398
683.812976,0.9961668652883116
683.931079,0.9961345900047387
684.049181,0.9966338781339832
684.167283,0.9966552063271861
684.285386,0.9960999251241789
684.403488,0.9965507623345238
684.52159,0.9968075068781787
684.639693,0.997000806593564
684.757795,0.9970697017295993
684.875898,0.9971952407075598
684.994,0.996175830830444
685.112102,0.9971152688561692
685.230205,0.9974065687684831
685.348307,0.9976584457252247
685.466409,0.9976871787022145
685.584512,0.9978309557835554
685.702614,0.9975216761280858
685.820716,0.9978410339271033
685.938819,0.9978131945506179
686.056921,0.9978562012260902
686.175024,0.998116276438458
686.293126,0.9973554031239152
686.411228,0.9981945318221017
686.529331,0.9984243426535391
686.647433,0.9982568211042928
686.765535,0.9971935454770916
686.883638,0.9981797586523525
687.00174,0.9985859007818805
687.119842,0.998219686641253
687.237945,0.9983006455406787
687.356047,0.9984655784304036
687.474149,0.9979509022730801
687.592252,0.998227572607927
687.710354,0.998304838412195
687.828457,0.9990977572659625
