nu,[1](Z)-HFC-1225ye-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
683.404696,1.0
683.464961,1.0
683.525226,1.0
683.585491,1.0
683.645756,1.0
683.706021,1.0
683.766286,1.0
683.826551,1.0
683.886816,1.0
683.947081,1.0
684.007346,1.0
684.067611,1.0
684.127876,1.0
684.188141,1.0
684.248406,1.0
684.308671,1.0
684.368936,1.0
684.429201,1.0
684.489466,1.0
684.549731,1.0
684.609996,1.0
684.67026,1.0
684.730525,1.0
684.79079,1.0
684.851055,1.0
684.91132,1.0
684.971585,1.0
685.03185,1.0
685.092115,1.0
685.15238,1.0
685.212645,1.0
685.27291,1.0
685.333175,1.0
685.39344,1.0
685.453705,1.0
685.51397,1.0
685.574235,1.0
685.6345,1.0
685.694765,1.0
685.75503,1.0
685.815295,1.0
685.87556,1.0
685.935825,1.0
685.99609,1.0
686.056355,1.0
686.11662,1.0
686.176885,1.0
686.23715,1.0
686.297415,1.0
686.35768,1.0
686.417945,1.0
686.47821,1.0
686.538475,1.0
686.59874,1.0
686.659005,1.0
686.71927,1.0
686.779535,1.0
686.8398,1.0
686.900065,1.0
686.96033,1.0
687.020595,1.0
687.080859,1.0
687.141124,1.0
687.201389,1.0
687.261654,1.0
687.321919,1.0
687.382184,1.0
687.442449,1.0
687.502714,1.0
687.562979,1.0
687.623244,1.0
687.683509,1.0
687.743774,1.0
687.804039,1.0
687.864304,1.0
687.924569,1.0
687.984834,1.0
688.045099,1.0
688.105364,1.0
688.165629,1.0
688.225894,1.0
688.286159,1.0
688.346424,1.0
688.406689,1.0
688.466954,1.0
688.527219,1.0
688.587484,1.0
688.647749,1.0
688.708014,1.0
688.768279,1.0
688.828544,1.0
688.888809,1.0
688.949074,1.0
689.009339,1.0
689.069604,1.0
689.129869,1.0
689.190134,1.0
689.250399,1.0
689.310664,1.0
689.370929,1.0
689.431194,1.0
689.491458,1.0
689.551723,1.0
689.611988,1.0
689.672253,1.0
689.732518,1.0
689.792783,1.0
689.853048,1.0
689.913313,1.0
689.973578,1.0
690.033843,1.0
690.094108,1.0
690.154373,1.0
690.214638,1.0
690.274903,1.0
690.335168,1.0
690.395433,1.0
690.455698,1.0
690.515963,1.0
690.576228,1.0
690.636493,1.0
690.696758,1.0
690.757023,1.0
690.817288,1.0
690.877553,1.0
690.937818,1.0
690.998083,1.0
691.058348,1.0
691.118613,1.0
691.178878,1.0
691.239143,1.0
691.299408,1.0
691.359673,1.0
691.419938,1.0
691.480203,1.0
691.540468,1.0
691.600733,1.0
691.660998,1.0
691.721263,1.0
691.781528,1.0
691.841792,1.0
691.902057,1.0
691.962322,1.0
692.022587,1.0
692.082852,1.0
692.143117,1.0
692.203382,1.0
692.263647,1.0
692.323912,1.0
692.384177,1.0
692.444442,1.0
692.504707,1.0
692.564972,1.0
692.625237,1.0
692.685502,1.0
692.745767,1.0
