nu,[0]1-3-Dichlorobenzene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
634.56858,0.9392458621695937
634.687782,1.0
634.806984,0.9154724574755742
634.926186,0.9852301601289047
635.045388,0.9556199373977107
635.16459,1.0
635.283792,0.9941275108694927
635.402994,0.9815169460044955
635.522196,0.9964964517979521
635.641398,0.9472047500800997
635.7606,0.9822700582837194
635.879802,0.9880381189947922
635.999004,0.9960418541913283
636.118206,0.9924853770303602
636.237408,0.9596957229707359
636.35661,0.9975685607486439
636.475812,0.9507425196936369
636.595014,0.9574995767155178
636.714216,0.9916857561069944
636.833418,0.945491860115506
636.95262,0.9777287491734942
637.071822,0.9795979956465308
637.191024,0.9965624220466522
637.310226,0.9792209230093472
637.429428,0.987675575535915
637.54863,0.9679314599976111
637.667832,0.9361589486388107
637.787034,0.9997359248739758
637.906236,0.9974311052718725
638.025438,0.9987859375708228
638.14464,0.9753186898570411
638.263842,1.0
638.383044,0.9696316712088537
638.502246,0.9778754194858685
638.621448,0.9987105320791293
638.74065,0.9933300435685722
638.859852,1.0
638.979054,0.9736747143105177
639.098256,0.9814551123846768
639.217458,0.9123259057016979
639.33666,0.9558359319100231
639.455862,0.9296510298259966
639.575064,0.966852817874447
639.694266,0.9973277767618756
639.813468,0.9744870977390542
639.93267,0.9355412875832785
640.051872,0.978341977326162
640.171074,0.9819479265370968
640.290276,0.991129972872717
640.409478,1.0
640.52868,0.9979062948647316
640.647882,0.9365175661870161
640.767084,1.0
640.886286,0.9491712913301231
641.005488,0.9915036001651331
641.12469,0.9841440503619333
641.243892,1.0
641.363094,0.9553657762992877
641.482296,0.997413949604401
641.601498,0.9760729026699975
641.7207,0.9290924774188819
641.839902,0.9638274443797513
641.959104,0.9856972699210809
642.078306,0.9878346041050327
642.197508,0.9897350479556297
642.31671,1.0
642.435912,0.9704203022926436
642.555114,0.9755762079820602
642.674316,0.9593474166447203
642.793518,0.9647753525781267
642.91272,0.9938524738403629
643.031922,0.9971535588176559
643.151124,0.9522801616855676
643.270326,0.9676604771281839
643.389528,0.945256461950625
643.50873,0.952508736352235
643.627932,0.9695201699781083
643.747134,0.9589196430974888
643.866336,0.9639113010151231
643.985538,0.9537430342011726
644.10474,0.9327668520353627
644.223942,0.999080313171408
644.343144,0.9704290361146665
644.462346,0.9830787992929636
644.581548,1.0
644.70075,0.9875471860565923
644.819952,0.9605579167970519
644.939154,0.9231108077051735
645.058356,0.9860955720697455
645.177558,0.9582764238411645
645.29676,0.972467133448964
645.415962,0.991914465211499
645.535164,0.9699371532961872
645.654366,0.9991611220550045
645.773568,0.9890335745083509
645.89277,0.9428255576935342
646.011972,0.9865551996912483
646.131174,0.9487518503226464
646.250376,0.9420131922426136
646.369578,0.9843143220107188
646.48878,0.9644136296481982
646.607982,0.9313668878598951
646.727184,0.9527097369004174
646.846386,0.9883325982294794
646.965588,0.9729826776368337
647.08479,0.934757632381673
647.203992,0.968715802095875
647.323194,0.951986904559684
647.442396,0.985998939438759
647.561598,0.9866025554773633
647.6808,0.9862148968529698
647.800002,0.9813844501604556
647.919204,0.9956175311656981
648.038406,0.9983308945085081
648.157608,0.9582639663286285
648.27681,0.9933500097031069
648.396012,0.9736717932907563
648.515214,0.9827416610873136
648.634416,0.9930021994348415
648.753618,0.9652124948180865
648.87282,0.9382883198197981
648.992022,0.9524496826412651
649.111224,0.9642622285936372
649.230426,0.9180953744700545
649.349628,0.9467937524115103
649.46883,0.999042518678048
649.588032,0.9880677605829836
649.707234,0.9209136535992755
649.826436,0.935227933741637
649.945638,0.9496308014276001
650.06484,0.9715408137322398
650.184042,0.9326539940743108
650.303244,0.9372680172730676
650.422446,0.9807565650570178
650.541648,0.989032585475271
650.66085,0.9263473561880107
650.780052,0.9845013594998997
650.899254,0.960356220813344
651.018456,0.9689919254451806
651.137658,0.9354973181760512
651.25686,0.9245131540228367
651.376062,0.9448037925283324
651.495264,0.9450929467271821
651.614466,0.9219115433458868
651.733668,0.9364211098452857
651.85287,0.9993538888197806
651.972072,0.9305588121568231
652.091274,0.9595210742426715
652.210476,0.9371096323620505
652.329678,0.9594366401032948
652.44888,0.9353373618113021
652.568082,0.9494522876177557
652.687284,0.9831181232314088
652.806486,0.9281805564325432
652.925688,0.9352868549574617
653.04489,0.9411055290892223
653.164092,0.9631260333448377
653.283294,0.9240029635873311
653.402496,0.9406708387559819
653.521698,0.9520811559286013
653.6409,0.9229511233485357
653.760102,0.9691450382649952
653.879304,0.9226687435111095
653.998506,0.9406802455114032
654.117708,0.9767183001390268
654.23691,0.9304527344987786
654.356112,0.9591517297324685
654.475314,0.9016850395471668
654.594516,0.9929087623241597
654.713718,0.9389293896426585
654.83292,0.9132889174315794
654.952122,0.9505314782807285
655.071324,0.8753075225738751
655.190526,0.9117713801438831
655.309728,0.9509688233423899
655.42893,0.9464974523403856
655.548132,0.9010901237648693
655.667334,0.9282631681782337
655.786536,0.9338420186259588
655.905738,0.8993886718095312
656.02494,0.9415771410882372
656.144142,0.8969097815175392
656.263344,0.9318149830912196
656.382546,0.9158927557846384
656.501748,0.9326428022935327
656.62095,0.8749574695801117
656.740152,0.9438877771888428
656.859354,0.9095948485366571
