nu,[0]Ethylamine-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
624.448489,0.9783380639660794
624.576492,0.9785357082163978
624.704494,0.9784936320855877
624.832497,0.9786482462936581
624.960499,0.9785513649129824
625.088502,0.9784319889285462
625.216504,0.9783145841343033
625.344507,0.978071014128578
625.472509,0.9786159514343985
625.600512,0.9783429556686285
625.728515,0.9779908155936043
625.856517,0.9779380055154473
625.98452,0.9783556742097225
626.112522,0.9784359026643293
626.240525,0.9783928524317242
626.368527,0.9785983365058075
626.49653,0.9783116491949533
626.624532,0.9782030626285586
626.752535,0.9778460836633236
626.880538,0.9778891098375736
627.00854,0.9785239658583534
627.136543,0.978346869048278
627.264545,0.9786531395471226
627.392548,0.9784398164157675
627.52055,0.9779086678153495
627.648553,0.9779448511054454
627.776556,0.9781277438925448
627.904558,0.9785513649129824
628.032561,0.9779037782842342
628.160563,0.9786071439304694
628.288566,0.9779712559728894
628.416568,0.9780397163568929
628.544571,0.9782412132919343
628.672573,0.97817762967956
628.800576,0.97833512895629
628.928579,0.9779497408419253
629.056581,0.9779331158376439
629.184584,0.9782676261612653
629.312586,0.9778451058177288
629.440589,0.977882264637763
629.568591,0.9776016526975515
629.696594,0.9782734957846311
629.824596,0.9776133839877715
629.952599,0.9779477849443995
630.080602,0.9777962147847239
630.208604,0.9777747035046236
630.336607,0.978340020644164
630.464609,0.9781404596358675
630.592612,0.9781297001499888
630.720614,0.977694529266125
630.848617,0.9770299229779714
630.97662,0.977923336555382
631.104622,0.9773582601896547
631.232625,0.9778871540613098
631.360627,0.9775322454441966
631.48863,0.9777385265098725
631.616632,0.977626093044372
631.744635,0.9774237453868169
631.872637,0.9778235934620376
632.00064,0.9774423166144054
632.128643,0.9781160064300429
632.256645,0.9782333873935315
632.384648,0.977375852796671
632.51265,0.977508784951833
632.640653,0.9770592343153286
632.768655,0.9772185079509706
632.896658,0.9776671542025581
633.02466,0.9780886195652808
633.152663,0.9775684148064071
633.280666,0.9773113481190642
633.408668,0.9774022423009532
633.536671,0.977482392570938
