nu,[0]2-Pentanone-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
529.568191,0.8894072939152965
529.687794,0.9071014344539137
529.807396,0.8827087272591599
529.926999,0.9354776729386453
530.046601,0.8938922828947897
530.166203,0.901639956422277
530.285806,0.8987952711299015
530.405408,0.8984448093186562
530.525011,0.9116410061584848
530.644613,0.9046293293609262
530.764215,0.9050021134328686
530.883818,0.9012883854000777
531.00342,0.921917996749277
531.123022,0.9370402888149986
531.242625,0.9098695876644353
531.362227,0.922142972186371
531.48183,0.9072683564742082
531.601432,0.8945003363619066
531.721034,0.8974032175798522
531.840637,0.8802405998137676
531.960239,0.9044665107357571
532.079842,0.9196639016313362
532.199444,0.9284321274496695
532.319046,0.9348931820654829
532.438649,0.9086284629376072
532.558251,0.9102463516584938
532.677854,0.9094938891118212
532.797456,0.92549088106435
532.917058,0.9076177220400068
533.036661,0.9374339283948261
533.156263,0.9221485050608027
533.275866,0.9223181959968213
533.395468,0.9118999489723729
533.51507,0.9450438031716959
533.634673,0.9474737944316121
533.754275,0.9129108940759966
533.873877,0.9487433115944178
533.99348,0.9054502003713858
534.113082,0.9081515581930144
534.232685,0.926077828325566
534.352287,0.9184911588618607
534.471889,0.9274559304212595
534.591492,0.9200162003665622
534.711094,0.9414848710497163
534.830697,0.9182229985967771
534.950299,0.9332174872445381
535.069901,0.9202204666357605
535.189504,0.9341969460249715
535.309106,0.9079980935478076
535.428709,0.9332846813225776
535.548311,0.9299457759172386
535.667913,0.9210665379548233
535.787516,0.9192666926291533
535.907118,0.9302257317270254
536.026721,0.9589685492463829
536.146323,0.9197016086242911
536.265925,0.9312365056225643
536.385528,0.9322362586646841
536.50513,0.9356498166672034
536.624732,0.9374948635805439
536.744335,0.9545674242679476
536.863937,0.9336730085164638
536.98354,0.9400849833363492
537.103142,0.9380359542064634
537.222744,0.9290265141947073
537.342347,0.9262260126325265
537.461949,0.935391612951555
537.581552,0.9233933228349417
537.701154,0.9429424753114307
537.820756,0.9287534205462675
537.940359,0.9419557311904667
538.059961,0.9463356151135126
538.179564,0.9349745213105284
538.299166,0.9297458590672478
538.418768,0.9486038565778083
538.538371,0.9417033208790002
538.657973,0.9584038830813869
538.777576,0.9242016455820514
538.897178,0.9503451923676013
539.01678,0.9270145664513374
539.136383,0.9547020277640929
539.255985,0.940252333357093
539.375588,0.930678861986639
539.49519,0.9269181619495475
539.614792,0.9392815541905003
539.734395,0.9407009407044508
539.853997,0.9388223577931706
539.973599,0.9649094656727792
540.093202,0.9420781933953923
540.212804,0.9594788562442076
540.332407,0.939253376166547
540.452009,0.9513340654925582
540.571611,0.9352232576136587
540.691214,0.9517870082995685
540.810816,0.9497827545117512
540.930419,0.9433923661625919
541.050021,0.9613295545753446
541.169623,0.937235213466533
541.289226,0.949257669847797
541.408828,0.9431490023274067
541.528431,0.9591814638969673
541.648033,0.9779360496413921
541.767635,0.9630586168821073
541.887238,0.957750474470788
542.00684,0.9568486983270839
542.126443,0.9480860602433798
542.246045,0.9577246155570742
542.365647,0.9669601444937482
542.48525,0.956411518375176
542.604852,0.9653051596654305
542.724454,0.9444608909920387
542.844057,0.9582888815156491
542.963659,0.9552817078100411
543.083262,0.9580838296363384
543.202864,0.9539299861565691
543.322466,0.9591594029769993
543.442069,0.9647155383605268
543.561671,0.9660951023285386
543.681274,0.9499347319103407
543.800876,0.9548786639775751
543.920478,0.9591373425644265
544.040081,0.9648892027867612
544.159683,0.957165467668664
544.279286,0.9674118203393279
544.398888,0.9711911219875868
544.51849,0.9597072393885099
544.638093,0.9627235307917936
544.757695,0.9564086491449247
544.877298,0.9596698115360216
544.9969,0.9644647449251125
545.116502,0.9588812870788903
545.236105,0.9619036396667752
545.355707,0.9672792939982031
545.47531,0.9718760531384498
545.594912,0.9747658409073806
545.714514,0.9620767979056892
545.834117,0.9620104168968048
545.953719,0.9782392568114641
546.073321,0.955489026433893
546.192924,0.9724914454311987
