nu,[0]Syringol-PNNL(x-sec)-X=0.01-T=323.15K-P=1.0atm-L=15cm
653.172663,0.9997119914824182
653.291066,0.9865354687845642
653.409468,0.980962545562876
653.527871,0.9991979518127317
653.646273,1.0003030159000459
653.764675,1.0222345843177787
653.883078,1.0321118056507372
654.00148,0.979646976770831
654.119882,1.0051088056708681
654.238285,0.9894411402938351
654.356687,0.9885085370900583
654.47509,0.9975782372106139
654.593492,0.9844403223077832
654.711894,1.0291312502692402
654.830297,1.0223245449194072
654.948699,0.9846382147000862
655.067101,0.9841519235458288
655.185504,0.9871443489890313
655.303906,1.0127242733365736
655.422308,1.0096046312428844
655.540711,1.0154034284722513
655.659113,1.0071455081791332
655.777516,1.001525963098609
655.895918,0.9874316497948269
656.01432,0.9997307162633756
656.132723,0.9732999216977156
656.251125,0.996011176574657
656.369527,1.027324654221899
656.48793,1.0148309024061202
656.606332,0.9872322087457924
656.724734,0.9826433918347495
656.843137,0.9881991823344939
656.961539,1.0050936286424894
657.079942,1.038998221111866
657.198344,1.0218022705294247
657.316746,1.0232685860823432
657.435149,1.0109970276256135
657.553551,0.9974614276383704
657.671953,0.991282321257221
657.790356,1.0051284054836764
657.908758,1.008563962699654
658.027161,1.0045419836807623
658.145563,1.0033956522089729
658.263965,0.9970965232653238
658.382368,0.9966328815006034
658.50077,0.9966214202883682
658.619172,0.995202843287697
658.737575,0.9968449875450693
658.855977,1.0071492346244073
658.974379,1.0125774389626891
659.092782,1.0210494796935419
659.211184,0.9945877990197475
659.329587,0.9884759168465713
659.447989,0.9715719035357134
659.566391,0.9986493129998968
659.684794,0.998884322831068
659.803196,1.0221875626084078
659.921598,1.0024862856947239
660.040001,0.9910093596944792
660.158403,1.0281550679844915
660.276806,0.9936673363705772
660.395208,1.0064296822290986
660.51361,1.0277408049716974
660.632013,1.038834072361023
660.750415,1.0052409861694913
660.868817,0.9995307401368662
660.98722,1.0025381155754851
661.105622,0.9947398831207508
661.224024,0.9729038692317286
661.342427,0.9920009639241545
661.460829,1.0034729166488356
