nu,[0]Isopentane-PNNL(x-sec)-X=0.01-T=278.14K-P=1.0atm-L=15cm
742.462914,0.994846922890811
742.703968,0.994833194098004
742.945022,0.9945449332093745
743.186076,0.994423904455752
743.42713,0.9941571363107334
743.668184,0.9939666740502836
743.909238,0.9939760173809332
744.150292,0.9936565054556393
744.391346,0.9933793139606288
744.6324,0.9932797823399875
744.873454,0.992957018862633
745.114508,0.9926905449611676
745.355562,0.9924393267772401
745.596616,0.9921615818818866
745.83767,0.9918925441440465
746.078724,0.9919288480755201
746.319778,0.9915366177847589
746.560832,0.9913694588028985
746.801886,0.9909344422188026
747.04294,0.990733005723413
747.283994,0.990388389660162
747.525048,0.9900062725148373
747.766102,0.9897142637378576
748.007156,0.9895598803549315
748.24821,0.9893125213060122
748.489264,0.9888011789258919
748.730318,0.9886795638603639
748.971372,0.9881764540146769
749.212426,0.9879669828111579
749.45348,0.9877160710646646
749.694534,0.9875580491353858
749.935588,0.987053535886391
750.176642,0.9867130611517789
750.417696,0.9863510038999057
750.65875,0.9861793937557427
750.899804,0.9855040921882126
751.140858,0.9854193424805741
751.381912,0.9851375528464631
751.622966,0.9844570579355149
751.86402,0.9845043130084085
752.105074,0.984007263845816
752.346128,0.9836757092679842
752.587182,0.9832459368951371
752.828236,0.9828684429388476
753.06929,0.9827161101362892
753.310344,0.9822749696462892
753.551398,0.9819439987532462
753.792452,0.9816553496511099
754.033506,0.9812598222493251
754.27456,0.981016499986615
754.515614,0.9803290484000566
754.756668,0.9801232009146351
754.997722,0.979742007136476
755.238776,0.9793991574361757
755.47983,0.9792023179885583
755.720884,0.979041741976001
755.961938,0.9785239658583534
756.202992,0.9783850253202132
756.444046,0.978198171625473
756.6851,0.9777717701849131
756.926154,0.9774491587345691
757.167208,0.9772751882681452
757.408262,0.9770465326278437
757.649316,0.9768345365326717
757.89037,0.9768814257157566
758.131424,0.9769117095093501
758.372478,0.9767397881779974
758.613532,0.9764429044110103
758.854586,0.9762085862332578
759.09564,0.9764682922565656
759.336694,0.9765259055853852
759.577748,0.9762339679864612
759.818802,0.9759333342242974
760.059856,0.9753703831174628
760.30091,0.9760465490574007
760.541964,0.9764546217961675
760.783018,0.976291567489741
761.024072,0.9763218329974461
761.265126,0.9759079602874702
761.50618,0.9762329917529813
761.747234,0.9754503667681633
761.988288,0.9754776797608129
762.229342,0.9745640852607427
762.470396,0.9734235386372807
762.71145,0.972508950434761
762.952504,0.9714757226782944
763.193558,0.9696607605953286
763.434612,0.966978516911031
763.675666,0.9632714763565438
763.91672,0.9616795422270984
764.157774,0.9646181070115183
764.398828,0.9682722318438566
764.639882,0.971063904283548
764.880936,0.9734225652142288
765.12199,0.9753459991626856
765.363044,0.9758386732820076
765.604098,0.9757732942811186
765.845152,0.9759021048572747
766.086206,0.9754532931236531
766.32726,0.9755186506837462
766.568314,0.9750212630165336
766.809368,0.9747716895199718
767.050422,0.9739619907224267
767.291476,0.9735033626401883
767.53253,0.9732035697749664
767.773584,0.9730624654876571
768.014638,0.972693744690242
768.255692,0.9725245107024498
768.496746,0.9722716871981469
768.7378,0.9727919917198472
768.978854,0.9724885279612386
769.219908,0.972608151406869
769.460962,0.9725128404783429
769.702016,0.9725138129916696
769.94307,0.9728377140179236
770.184124,0.9728853842338212
770.425178,0.972908733763236
770.666232,0.9730517618594068
770.907286,0.973134474774414
771.14834,0.9733641616124415
771.389394,0.9732609904794772
771.630448,0.973577351707298
771.871502,0.9736581619810696
772.112556,0.9738684948591906
772.35361,0.9741392679364753
772.594664,0.9742152537627831
772.835718,0.9745582378937732
773.076772,0.9746059924174063
773.317826,0.9748691715629448
773.55888,0.9751090188791596
773.799934,0.9753840383984133
774.040988,0.9756952355399674
774.282042,0.9759304064286863
774.523096,0.9762339679864612
774.76415,0.976680208868106
775.005204,0.9771305622428713
775.246258,0.9774618656562274
775.487312,0.9782069754486348
775.728366,0.9782656696279695
775.96942,0.9786139942044528
776.210474,0.9787784151664533
776.451528,0.9791749007074982
776.692582,0.9795372624535491
776.933636,0.9795509760712185
777.17469,0.9799036779051251
777.415744,0.9801359425990678
777.656798,0.9802065149275082
777.897852,0.9808301245578439
778.138906,0.9808821099320457
778.37996,0.9812117416960181
778.621014,0.9816582946215764
778.862068,0.9819960431643449
779.103122,0.9825117264420219
779.344176,0.9828075069844194
779.58523,0.9830699516235845
779.826284,0.9832813343860163
780.067338,0.9835999691544024
780.308392,0.9838331099731877
780.549446,0.9843546797252487
780.7905,0.9846244298615745
781.031554,0.9847721346036324
781.272608,0.9850932226540218
781.513662,0.9852459239375769
781.754716,0.9853779557373176
781.99577,0.9855119762524863
782.236824,0.9856824845729224
782.477878,0.9859880935100779
782.718932,0.9860985303608992
782.959986,0.9862484287295015
783.20104,0.9864220237288697
783.442094,0.9865344822495887
783.683148,0.9866726067455928
783.924202,0.9870407042738302
784.165256,0.9869814836082115
784.40631,0.9872509663359551
784.647364,0.9872944063341469
784.888418,0.9876281682460734
785.129472,0.9876074282723107
785.370526,0.9878405311304383
785.61158,0.9878326284378001
785.852634,0.9881191414424247
786.093688,0.9880657844494386
786.334742,0.9880746770815154
786.575796,0.9884986520541127
786.81685,0.9885381927910043
787.057904,0.988728999074427
787.298958,0.9887764592054166
787.540012,0.9888931417117354
787.781066,0.9889307203651103
