nu,[0]Iodoethane-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
732.097592,0.9651034319683391
732.338646,0.9623779750752018
732.5797,0.9584470122265241
732.820754,0.9663840079533734
733.061808,0.9719751895517411
733.302862,0.9718274605506177
733.543916,0.9715816193033275
733.78497,0.9702737798897173
734.026024,0.9654210032350655
734.267078,0.954239109547369
734.508132,0.9618132249742036
734.749186,0.9690568500791364
734.99024,0.9705484062272199
735.231294,0.9711474193704137
735.472348,0.9693563349138349
735.713402,0.966539608304146
735.954456,0.9612920634537978
736.19551,0.9530441967123326
736.436564,0.9661008989165424
736.677618,0.9668006092319278
736.918672,0.965395902615291
737.159726,0.9686993340672181
737.40078,0.9681240975249489
737.641834,0.966942739367794
737.882888,0.9621730103960241
738.123942,0.9637117920257058
738.364996,0.9651043970722536
738.60605,0.9647415860317045
738.847104,0.9643875908317233
739.088158,0.9628390645473753
739.329212,0.9611171242182026
739.570266,0.9596323851431912
739.81132,0.9555559130067461
740.052374,0.9512636693764001
740.293428,0.9466801439778633
740.534482,0.9422044403316632
740.775536,0.9380378302802478
741.01659,0.9322651584366468
741.257644,0.9289652004681457
741.498698,0.9252234528449613
741.739752,0.9205840255182339
741.980806,0.9083368400089884
742.22186,0.9410641213569192
742.462914,0.951080093203881
742.703968,0.9557307957401083
742.945022,0.957880737392994
743.186076,0.9604378545614983
743.42713,0.9609374121195787
743.668184,0.9596045562075435
743.909238,0.9631241070946972
744.150292,0.9650156115519195
744.391346,0.965637281762081
744.6324,0.9644117008228678
744.873454,0.9628294362048717
745.114508,0.9618247668021541
745.355562,0.9655049985160887
745.596616,0.9668750557449927
745.83767,0.9667126343794042
746.078724,0.9682199465550525
746.319778,0.9676082248732426
746.560832,0.9623491041690153
746.801886,0.9587901976834327
747.04294,0.9640751798656033
747.283994,0.9668837576596528
747.525048,0.968564694217469
747.766102,0.9682693270315182
748.007156,0.9635315947695655
748.24821,0.9538250596291568
748.489264,0.9568238205843393
748.730318,0.9655339641005258
748.971372,0.9679740499188224
749.212426,0.9674553548507624
749.45348,0.9661405098654168
749.694534,0.9638929868743887
749.935588,0.9586176309793188
750.176642,0.9552377658621544
750.417696,0.9646412581238988
750.65875,0.9661115260848797
750.899804,0.9644184517284017
751.140858,0.9586425553617399
751.381912,0.9566965714784548
751.622966,0.9523068259033921
751.86402,0.9459202649545083
752.105074,0.9587738983886164
752.346128,0.9639681734596036
752.587182,0.9651912603767803
752.828236,0.9649731517991327
753.06929,0.9624241703266826
753.310344,0.958613796516464
753.551398,0.9559104900204406
753.792452,0.959992314770207
754.033506,0.964921044655841
754.27456,0.9667319688254356
754.515614,0.9666797667085889
754.756668,0.9640173370901121
754.997722,0.9602275417014481
755.238776,0.9569472588187897
755.47983,0.9547048918744723
755.720884,0.9600547162986947
755.961938,0.9622163091557067
756.202992,0.9651053621771333
756.444046,0.9647454450057665
756.6851,0.9624135837190355
756.926154,0.9588966293022211
757.167208,0.9558779896162899
757.408262,0.9613055216368933
757.649316,0.9691091805619511
757.89037,0.9699245441951537
758.131424,0.9696937296216591
758.372478,0.967995345582172
758.613532,0.9637079371862474
758.854586,0.9605194952488161
759.09564,0.965627625437545
759.336694,0.9707192377794516
759.577748,0.970602758459817
759.818802,0.9716826690462306
760.059856,0.9701486226449274
760.30091,0.9671806365418311
760.541964,0.9642747640840894
760.783018,0.9640790361740355
761.024072,0.970547435679299
761.265126,0.9719431148997205
761.50618,0.9725206206121871
761.747234,0.9721287737645236
761.988288,0.9695773733556201
762.229342,0.966604368627349
762.470396,0.9656102442967178
762.71145,0.9709745705137703
762.952504,0.9719538063327872
763.193558,0.9729719748862449
763.434612,0.9732152482878746
763.675666,0.9719431148997205
763.91672,0.9697596710372561
764.157774,0.9682693270315182
764.398828,0.972360167947495
764.639882,0.9749042674848438
764.880936,0.9733554013744081
765.12199,0.9735754045545417
765.363044,0.9728075565162327
765.604098,0.9720062932554633
765.845152,0.9705416124121548
