nu,[0]1-1-1-3-3-3-Hexafluoropropan-2-ol-HITRAN(x-sec)-X=0.01-T=300.4K-P=0.0atm-L=15cm
604.019244,0.9999967648052333
604.138246,0.9999967043054309
604.257248,0.9999966768055218
604.37625,0.9999967360053268
604.495252,0.99999668640549
604.614254,0.9999967608052462
604.733256,0.9999965467059626
604.852258,0.9999965557059316
604.97126,0.9999965908058113
605.090262,0.9999966595055795
605.209264,0.9999967529052718
605.328266,0.9999966388056488
605.447268,0.9999966527056022
605.56627,0.9999966069057565
605.685272,0.9999965028061152
605.804274,0.9999966939054652
605.923276,0.9999967448052982
606.042278,0.9999965420059789
606.16128,0.99999631490679
606.280282,0.9999965017061191
606.399284,0.9999964399063371
606.518286,0.999996625405694
606.637288,0.9999965049061078
606.75629,0.9999964862061734
606.875292,0.9999965114060851
606.994294,0.9999962544070148
607.113296,0.9999964887061646
607.232298,0.9999965704058811
607.3513,0.9999967041054315
607.470302,0.9999963934065038
607.589304,0.9999964895061618
607.708306,0.999996402506471
607.827308,0.9999964151064258
607.94631,0.9999964968061362
608.065312,0.9999964715062252
608.184314,0.9999963152067889
608.303316,0.9999964929061499
608.422318,0.9999963651066063
608.54132,0.9999964264063853
608.660322,0.9999963062068221
608.779324,0.9999962443070526
608.898326,0.9999962955068616
609.017328,0.9999964151064258
609.13633,0.9999963185067767
609.255332,0.9999963696065899
609.374334,0.9999963190067749
609.493336,0.9999963597066259
609.612338,0.9999963823065439
609.73134,0.9999963456066773
609.850342,0.9999964249063906
609.969344,0.9999963021068372
610.088346,0.9999962159071597
610.207348,0.9999964743062153
610.32635,0.9999963856065319
610.445352,0.9999963404066964
610.564354,0.9999963609066215
610.683356,0.9999963006068427
610.802358,0.9999964188064124
610.92136,0.9999965426059768
611.040362,0.9999965056061054
611.159364,0.999996393906502
611.278366,0.9999963522066532
611.397368,0.999996707905419
611.51637,0.9999967434053028
611.635372,0.9999967356053282
611.754374,0.9999968084050932
611.873376,0.9999967528052721
611.992378,0.9999967219053729
612.11138,0.9999967943051382
612.230382,0.9999967262053588
612.349384,0.9999966859054916
612.468386,0.9999965867058253
612.587388,0.9999969584046257
612.70639,0.9999971400040898
612.825392,0.9999967722052093
612.944394,0.9999966286056832
613.063396,0.999996854204948
613.182398,0.9999968410049896
613.3014,0.9999966150057291
613.420402,0.9999967321053396
613.539404,0.9999968240050435
613.658406,0.9999968994048068
613.777408,0.9999967637052368
613.89641,0.9999967642052352
614.015412,0.9999968043051063
614.134414,0.9999970648043077
614.253416,0.9999970768042725
614.372418,0.999996966504601
614.49142,0.9999973514035075
614.610422,0.9999968197050572
614.729424,0.9999968574049379
614.848426,0.9999968343050109
614.967428,0.999997223303855
615.08643,0.9999972074038993
615.205432,0.9999970017044949
615.324434,0.9999970413043769
615.443436,0.9999968782048728
615.562438,0.9999972662037369
615.68144,0.9999969722045838
615.800442,0.9999977297025772
615.919444,0.9999975953028913
616.038446,0.9999971081041815
616.157448,0.9999974826031687
616.27645,0.9999973656034701
616.395452,0.9999972447037958
616.514454,0.9999973668034668
616.633456,0.9999972745037141
616.752458,0.9999972680037319
616.87146,0.9999974160033386
616.990462,0.9999975358030362
617.109464,0.9999980783018465
617.228466,0.9999973310035618
617.347468,0.9999982025016155
617.46647,0.9999974169033362
617.585472,0.9999982961014516
617.704474,0.9999973420035325
617.823476,0.9999978420023284
617.942478,0.9999973181035963
618.06148,0.9999974752031873
618.180482,0.9999988553006551
618.299484,0.9999991569703554
618.418486,0.9999994386801575
618.537488,0.9999989042006003
618.65649,0.9999977285025798
618.775492,0.9999991840003329
618.894494,0.999997732402571
619.013496,0.9999975874029103
619.132498,0.9999995960200816
619.2515,0.9999977042026353
619.370502,0.9999994316601615
619.489504,0.9999996598600579
619.608506,0.9999999084240042
619.727508,0.9999990740904287
619.84651,0.9999983688013304
619.965512,0.9999978583022935
620.084514,0.9999988705006378
620.203516,0.9999979949020102
620.322518,0.9999978317023508
620.44152,0.9999980912018217
620.560522,0.9999983096014288
620.679524,0.999997881502244
620.798526,0.9999981230017616
620.917528,0.9999980772018486
621.03653,0.9999979818020366
621.155532,0.9999979834020334
621.274534,0.999998305301436
621.393536,0.9999978920022218
621.512538,0.9999998899600061
621.63154,0.9999986609008966
621.750542,0.9999982692014978
621.869544,0.9999982369015542
621.988546,0.9999980333019339
622.107548,0.9999981934016319
622.22655,0.999998529601081
622.345552,0.9999982838014727
622.464554,0.9999984875011438
622.583556,0.999998653900906
622.702558,0.9999983222014075
622.82156,0.9999989892005109
622.940562,0.9999980466019078
623.059564,0.9999981778016602
623.178566,0.9999981453017199
623.297568,0.9999983780013154
623.41657,0.9999983355013853
623.535572,0.999998606400971
623.654574,0.9999986025009765
623.773576,0.9999986185009543
623.892578,0.9999997104900419
624.01158,0.9999987791007453
624.130582,0.9999985099011102
624.249584,0.9999982573015185
624.368586,0.9999985151011025
624.487588,0.9999985001011249
624.60659,0.9999993156402341
624.725592,0.9999985347010736
624.844594,0.9999991783203376
624.963596,0.999998390601295
625.082598,0.9999996884700485
625.2016,0.9999986365009296
625.320602,0.9999985367010706
625.439604,0.9999986951008514
625.558606,0.9999983251014026
625.677608,0.999998296501451
625.79661,0.9999985352010728
625.915612,0.9999984641011795
626.034614,0.9999994395101571
626.153616,0.999998478801157
626.272618,0.9999984715011682
626.39162,0.9999988039007153
626.510622,0.9999986388009264
626.629624,0.9999986228009483
626.748626,0.9999995110701195
626.867628,0.9999984858011464
626.98663,0.9999994376501581
627.105632,0.9999988191006972
627.224634,0.999998945500556
627.343636,0.9999990066704934
627.462638,0.9999986419009222
627.58164,0.9999987974007232
627.700642,0.999998846800665
627.819644,0.9999992276402982
627.938646,0.9999987554007745
628.057648,0.999998595000987
628.17665,0.9999986805008705
628.295652,0.9999993529102094
