nu,[0]1-1-1-Trichloroethane-PNNL(x-sec)-X=0.01-T=278.06K-P=1.0atm-L=15cm
545.840917,0.9771432650227484
545.960919,0.9761558723928877
546.080922,0.9748993929756927
546.200924,0.9741568026011097
546.320926,0.9737769555230901
546.440929,0.9734663702152685
546.560931,0.9706901166391375
546.680934,0.9663965710271366
546.800936,0.9706493485103753
546.920938,0.9706629376963786
547.040941,0.9695172614219613
547.160943,0.9690142125157662
547.280946,0.967939203480265
547.400948,0.958770063300693
547.52095,0.9435074670522753
547.640953,0.9309534527510714
547.760955,0.9565215120243028
547.880958,0.9487120035817204
548.00096,0.945473895940824
548.120962,0.9563283141925119
548.240965,0.9488505256461078
548.360967,0.9441842044875304
548.48097,0.9422110357858295
548.600972,0.9194606783660736
548.720974,0.934770719080133
548.840977,0.9485346110237717
548.960979,0.9433027481447298
549.080982,0.9539690980877906
549.200984,0.9571549389064279
549.320986,0.9590462288448531
549.440989,0.9651343157723004
549.560991,0.9691072423455281
549.680994,0.9664951485047473
549.800996,0.9700758642267038
549.920998,0.9703834270217911
550.041001,0.9762476353576843
550.161003,0.9757049925411078
550.281006,0.976958602396827
550.401008,0.9777258159916464
550.52101,0.9752318903562789
550.641013,0.9802761120607371
550.761015,0.9787333923948873
550.881018,0.9784388379764404
551.00102,0.9790936325634142
551.121022,0.9805869088469483
551.241025,0.9794912252840958
551.361027,0.9787510097545061
551.48103,0.9792365906694562
551.601032,0.9811371724373169
551.721034,0.9770670508204692
551.841037,0.9803917914669109
551.961039,0.9763647921031915
552.081042,0.9788459532071354
552.201044,0.9812431409741381
552.321046,0.9803310090601141
552.441049,0.9786746701530284
552.561051,0.9794324575736277
552.681054,0.9778891098375736
552.801056,0.9797322097653915
552.921058,0.9802221983572141
553.041061,0.9781561100084243
553.161063,0.9804672845412999
553.281066,0.9767905799675578
553.401068,0.9767896031774662
553.52107,0.976909755687885
553.641073,0.9775547289444011
553.761075,0.9790936325634142
553.881078,0.9784632992531545
554.00108,0.9773787849286276
554.121082,0.9778040371857317
554.241085,0.9767964407286199
554.361087,0.9761012091946175
554.48109,0.9780426504804433
554.601092,0.9772888702165543
554.721094,0.9756542572006258
554.841097,0.9749715382001133
554.961099,0.9756649894564824
555.081102,0.9775117174825867
555.201104,0.9764077530991789
555.321106,0.9769195248342876
555.441109,0.9748740459209885
555.561111,0.974076925018322
555.681114,0.9775977422987615
555.801116,0.9754211036961086
555.921118,0.975673770480902
556.041121,0.9749803129834436
556.161123,0.9763872487516603
556.281126,0.9759430936064364
556.401128,0.9757918341498382
556.52113,0.9763784613059651
556.641133,0.9754728023846075
556.761135,0.9769644641660266
556.881138,0.9794275604235827
557.00114,0.9774511136348414
557.121142,0.9765483659395068
557.241145,0.9753733092330014
557.361147,0.9768247682361479
557.48115,0.976447786637738
557.601152,0.9762456828643662
