nu,[0]1-2-Dichloroethane-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
629.681298,0.9979512016583958
629.8005,0.9980968133608331
629.919702,0.9984704709237244
630.038904,0.9976086638108521
630.158106,0.9979039996828928
630.277308,0.9977551235125787
630.39651,0.9979453137636752
630.515712,0.9984196500701562
630.634914,0.9973686680389883
630.754116,0.9968328261104062
630.873318,0.9976648307597095
630.99252,0.9970477664374503
631.111722,0.9964288916288359
631.230924,0.9980095835113453
631.350126,0.9975529988004797
631.469328,0.9965020321937073
631.58853,0.9969704982297332
631.707732,0.9970449747076127
631.826934,0.9980901261345858
631.946136,0.9968599403320282
632.065338,0.9975813297079426
632.18454,0.9974435732386131
632.303742,0.997476090429128
632.422944,0.9975765413290522
632.542146,0.9974980351445084
632.661348,0.9973104234095346
632.78055,0.9963689084150726
632.899752,0.9975460159539281
633.018954,0.9972541766878267
633.138156,0.9977141166196997
633.257358,0.996621121301987
633.37656,0.9962190657996941
633.495762,0.9961723442211378
633.614964,0.9969994107934119
633.734166,0.996834520727651
633.853368,0.9966099592079362
633.97257,0.9970612266731536
634.091772,0.9957885929513389
634.210974,0.996334932814583
634.330176,0.9967731176124096
634.449378,0.996331943814268
634.56858,0.9971332170925422
634.687782,0.9968035196561256
634.806984,0.996437759885435
634.926186,0.9967365367102569
635.045388,0.9964384573921111
635.16459,0.9961689572409252
635.283792,0.9967532820247339
635.402994,0.9963259658405391
635.522196,0.996476123477685
635.641398,0.9965624220466522
635.7606,0.9954829327745407
635.879802,0.995109497638976
635.999004,0.9950321806348139
636.118206,0.9961633787103846
636.237408,0.9969348073247675
636.35661,0.9969077907575652
636.475812,0.9960033081174424
636.595014,0.9962999620721813
636.714216,0.9949161666462989
636.833418,0.995188014875804
636.95262,0.9957914807424458
637.071822,0.9957165004669887
637.191024,0.9961409652865155
637.310226,0.9949996436144903
637.429428,0.9953918502532807
637.54863,0.9950446186148091
637.667832,0.9942879759989346
637.787034,0.9952821641152
