nu,[0]Ethylene-PNNL(x-sec)-X=0.01-T=278.18K-P=1.0atm-L=15cm
623.111382,0.9910127291320302
623.232384,0.9922976165597267
623.353386,0.9926245332348419
623.474388,0.9911405780201642
623.59539,0.9908386234911502
623.716392,0.9925011576733108
623.837394,0.992195415168683
623.958396,0.9916579892945606
624.079398,0.9917616229692071
624.2004,0.9927670843527397
624.321402,0.9928927766217716
624.442404,0.9920991768810441
624.563406,0.9916650300912794
624.684408,0.9914505561414645
624.80541,0.9921055263360944
624.926412,0.9912355338358495
625.047414,0.9928971453595998
625.168416,0.9926234413484559
625.289418,0.9913673769292211
625.41042,0.9917978229290907
625.531422,0.9924403192170632
625.652424,0.9924267228778251
625.773426,0.9914486723871975
625.894428,0.9927443502468145
626.01543,0.9922512773430625
626.136432,0.9926059713296248
626.257434,0.9918252961092876
626.378436,0.9932063816762605
626.499438,0.9930148106428554
626.62044,0.9925644812671716
626.741442,0.9924166001768775
626.862444,0.9927360112292964
626.983446,0.9928603095588153
627.104448,0.99147177341039
627.22545,0.9924286084903898
627.346452,0.9926579852452752
627.467454,0.9931757913907977
627.588456,0.9929372592145668
627.709458,0.9935891378283578
627.83046,0.9922403626390427
627.951462,0.9921913471758202
628.072464,0.9933236862766368
628.193466,0.9941409316814797
628.314468,0.9928691460548928
628.43547,0.9927646024381312
628.556472,0.9940578249734999
628.677474,0.9924178903192964
628.798476,0.9931112370623957
628.919478,0.9927189363167479
629.04048,0.9936255038562966
629.161482,0.9932269412611522
629.282484,0.9931433150734099
629.403486,0.992909854524399
629.524488,0.9927777070173734
629.64549,0.9924240433292907
629.766492,0.9917916738016509
629.887494,0.9938076521045304
630.008496,0.9932759085563903
630.129498,0.9941405340251865
630.2505,0.9922583223521414
630.371502,0.9929314009020195
630.492504,0.992979857136706
630.613506,0.9940984827699876
630.734508,0.9935588338217926
630.85551,0.9930462897112933
630.976512,0.993074691241319
631.097514,0.9932016142970701
631.218516,0.9947351083807713
631.339518,0.9928366797646435
631.46052,0.9935143233830785
631.581522,0.9931392431941655
631.702524,0.9935710546706066
631.823526,0.9935188935594775
631.944528,0.9928177167651573
632.06553,0.9934591848682388
632.186532,0.993833988356265
632.307534,0.9945764607834667
632.428536,0.9930057742491941
632.549538,0.9939567344332412
632.67054,0.9936237153319993
632.791542,0.9935777116189737
632.912544,0.9922920597086332
633.033546,0.993530815857734
633.154548,0.9933994797653845
633.27555,0.9936919796260943
633.396552,0.9943105465921651
633.517554,0.9931900932251666
633.638556,0.9931920796073395
633.759558,0.9927322388396213
633.88056,0.993644283555787
634.001562,0.9933562678278811
634.122564,0.9936205357411976
634.243566,0.9926701950135836
634.364568,0.9939177720929183
634.48557,0.9929106488526003
634.606572,0.992580858716226
634.727574,0.9930310962192912
634.848576,0.9937187102998722
634.969578,0.9952939085140284
635.09058,0.9931768838847691
635.211582,0.9938231556248304
635.332584,0.9932618041386303
635.453586,0.9932306162076334
635.574588,0.9930588021733721
635.69559,0.9942278233960212
635.816592,0.9936946625980613
635.937594,0.9940326756286686
636.058596,0.9943551921379921
636.179598,0.9939477888628865
636.3006,0.993971544498919
636.421602,0.9935643977668409
636.542604,0.994151867291874
636.663606,0.994111207312004
636.784608,0.9938462125895007
636.90561,0.9937320262198067
637.026612,0.9946525487930459
637.147614,0.9940085209281316
637.268616,0.9936017564905366
637.389618,0.9942513868746619
637.51062,0.9949086053121655
637.631622,0.9948726897597934
637.752624,0.9940484808738625
637.873626,0.9947596786413897
637.994628,0.9945843179685427
638.11563,0.9946140564842386
638.236632,0.9939462979423214
638.357634,0.9950403399321482
638.478636,0.9940276060749503
638.599638,0.9942161909985372
638.72064,0.994730035244655
638.841642,0.9950800428337792
638.962644,0.994937955548936
639.083646,0.9940622982437771
639.204648,0.9951025318968727
639.32565,0.9948614477619164
639.446652,0.9949610383772646
639.567654,0.9940393356699064
639.688656,0.9949790473350398
639.809658,0.9943038847338201
639.93066,0.9949355677007082
640.051662,0.995519368116643
640.172664,0.9952723108705489
640.293666,0.9954723807113793
640.414668,0.9941434170369156
640.53567,0.9953354131353788
640.656672,0.9946175376395283
640.777674,0.9957317350459901
640.898676,0.9945349878097696
641.019678,0.9952246384686214
641.14068,0.9950035241206675
641.261682,0.9951488052404528
641.382684,0.9948637359458777
641.503686,0.9954552587336806
641.624688,0.9955869661766662
641.74569,0.9949688986005156
641.866692,0.9954540641880868
641.987694,0.9952266289198888
642.108696,0.9949504918461545
642.229698,0.9942617271428547
642.3507,0.9962225525725263
642.471702,0.9957209812013225
642.592704,0.9956654215207009
642.713706,0.995105119166819
642.834708,0.9948192665307798
642.95571,0.9955057295947238
643.076712,0.9953567135411334
643.197714,0.9960167542528633
643.318716,0.9958726410553641
643.439718,0.9968391061769929
643.56072,0.9952257332163258
643.681722,0.9956530753460205
643.802724,0.9948319008156923
643.923726,0.9952250365585564
644.044728,0.9957200850528426
644.16573,0.996385248999163
644.286732,0.9959151657250325
644.407734,0.994930493542252
644.528736,0.9965386044893864
644.649738,0.9952549932830033
644.77074,0.9962576202235639
644.891742,0.9953224738591135
645.012744,0.9964317812768115
645.133746,0.9957712663805632
645.254748,0.9956199206506402
645.37575,0.9956131504581984
645.496752,0.9957919786383107
645.617754,0.9957799296282658
645.738756,0.9955793001865407
645.859758,0.9963186926875355
645.98076,0.9959029160438297
646.101762,0.9962510449449689
646.222764,0.9952172738335459
646.343766,0.9964388559675738
646.464768,0.9955656608435579
646.58577,0.9967676353753389
646.706772,0.9955939353098214
646.827774,0.9961954556876156
646.948776,0.9956736855779953
647.069778,0.9949420348029163
647.19078,0.9964149417220026
647.311782,0.9966341771241914
647.432784,0.9971836733098587
647.553786,0.995723868796355
647.674788,0.9968966254528345
647.79579,0.995507720608174
647.916792,0.9956527766501427
648.037794,0.9958552134366377
648.158796,0.9963763812099087
648.279798,0.9961886815815489
648.4008,0.9960177502701155
648.521802,0.9965307318655078
648.642804,0.9954563537350674
648.763806,0.996039862109612
648.884808,0.9955051322914653
649.00581,0.996513292730293
649.126812,0.9958733381664568
649.247814,0.9968341219939225
649.368816,0.9963590444117062
649.489818,0.9961749342725997
649.61082,0.9958252386458362
649.731822,0.9958231474150309
649.852824,0.9963929211951182
649.973826,0.9965779685416986
650.094828,0.9967586645069895
650.21583,0.9956890190708209
650.336832,0.9963921240811001
650.457834,0.9962893017196202
650.578836,0.997101409050258
650.699838,0.9964458310639783
650.82084,0.9967517868959321
650.941842,0.9963861457462907
651.062844,0.9966738439538056
651.183846,0.9965886319830113
651.304848,0.9966330808271996
651.42585,0.996822658467435
651.546852,0.996437859529216
651.667854,0.9972762162486678
651.788856,0.9965674048712195
651.909858,0.9965666076176146
652.03086,0.9961303066352108
652.151862,0.9966710532709495
652.272864,0.9966244101571139
652.393866,0.9965749788122775
652.514868,0.9966876978165208
652.63587,0.9972078054467505
652.756872,0.9968623327987559
652.877874,0.9956876251071699
652.998876,0.9960892669120016
653.119878,0.9962352046792846
653.24088,0.9976078657242403
653.361882,0.9973413405118728
653.482884,0.9964606782174722
653.603886,0.9962018313589341
653.724888,0.9964461299977725
653.84589,0.9964792125584558
653.966892,0.9966985617716354
654.087894,0.9970283241955672
654.208896,0.9968337232603535
654.329898,0.9973709619895629
654.4509,0.996021236338342
654.571902,0.9964788139668506
654.692904,0.9963305489505231
654.813906,0.9974803795855385
654.934908,0.9973246850505598
655.05591,0.9965642158606264
655.176912,0.9960166546511928
655.297914,0.9967253733235608
655.418916,0.9971147702986595
655.539918,0.997053150509926
655.66092,0.9971305248364907
655.781922,0.996863628720631
655.902924,0.9974045739573404
656.023926,0.996338021457662
656.144928,0.9970331099430092
656.26593,0.9960443442990764
656.386932,0.9961889804381983
656.507934,0.9964683509942346
656.628936,0.9973359548831753
656.749938,0.996656900642477
656.87094,0.9961937621567805
656.991942,0.9973171054117561
657.112944,0.9963312463821514
657.233946,0.9968288387870764
657.354948,0.9959139706275506
657.47595,0.9974612281461048
657.596952,0.9969030056116539
657.717954,0.9972798064495086
657.838956,0.996826745448713
657.959958,0.9964722372283816
658.08096,0.996804416779697
658.201962,0.9966341771241914
658.322964,0.9973313671483347
658.443966,0.9964324787793025
658.564968,0.9967045419809466
658.68597,0.9957695735708493
658.806972,0.9972402152270835
658.927974,0.9961787197445424
659.048976,0.9968714042872596
659.169978,0.996552655782771
659.29098,0.996510004241853
659.411982,0.9960279097029813
659.532984,0.9965158836682223
659.653986,0.9972972589988308
659.774988,0.9971846704940306
659.89599,0.9977005477999819
660.016992,0.9966709536038492
660.137994,0.9980065894870858
660.258996,0.9964863872346151
660.379998,0.9970840596366808
660.501,0.9963691076888742
660.622002,0.9966478311059476
660.743004,0.9972010244567288
660.864006,0.9971278325877081
660.985008,0.9969954228037448
661.10601,0.9953440725911417
661.227012,0.9962154794175128
