nu,[0]HFE-245fa2-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
493.42713,0.9776182720669117
493.668184,0.9904269165178622
493.909238,0.979663630910996
494.150292,0.9797282908443904
494.391346,0.975504993518237
494.6324,0.9948786590138397
494.873454,0.9810655520379054
495.114508,0.9796802853342836
495.355562,0.9753772107340413
495.596616,0.9794637999137448
495.83767,0.9736854247912826
496.078724,0.9813020173288696
496.319778,0.9773621696305143
496.560832,0.9827760576473881
496.801886,0.974644002792308
497.04294,0.9783507824435809
497.283994,0.9839570807550396
497.525048,0.972939867340851
497.766102,0.9794784919809337
498.007156,0.9709376741811256
498.24821,0.9684814012354159
498.489264,0.9794647793780344
498.730318,0.9689279740885193
498.971372,0.9771139511645078
499.212426,0.9750056628011273
499.45348,0.9789379690514137
499.694534,0.9736786090171643
499.935588,0.9730420313904405
500.176642,0.9731724277590085
500.417696,0.9710405990295095
500.65875,0.9695860995912483
500.899804,0.9726334395475499
501.140858,0.9718741093882873
501.381912,0.9658999708268134
501.622966,0.9616237664311629
501.86402,0.9611171242182026
502.105074,0.9842483751603882
502.346128,0.9589723851282517
502.587182,0.9667938416513497
502.828236,0.9647589515365421
503.06929,0.9706444952757659
503.310344,0.964974116772767
503.551398,0.9592303833990629
503.792452,0.9683584119074466
504.033506,0.9606453315447911
504.27456,0.9567338833723196
504.515614,0.9590855505463252
504.756668,0.9635508655941686
504.997722,0.9630875090739944
505.238776,0.9637156468805836
505.47983,0.9569290769936
505.720884,0.958515064380215
505.961938,0.9608893664501245
506.202992,0.9525020688144169
506.444046,0.9649364835160661
506.6851,0.957390427985368
506.926154,0.9556916115807638
507.167208,0.9549560122819214
507.408262,0.9582409682694144
507.649316,0.9655523094201237
507.89037,0.9571893971044724
508.131424,0.9546772058340575
508.372478,0.9722366860474323
508.613532,0.9543478990067388
508.854586,0.9542343383637492
509.09564,0.9542572402626917
509.336694,0.9591287103671884
509.577748,0.9625810582524644
509.818802,0.9465097568872454
510.059856,0.9599395166448563
510.30091,0.9472056972853234
510.541964,0.9516747040586697
510.783018,0.9564478627034122
511.024072,0.9549961212767202
511.265126,0.9574631924229086
511.50618,0.9495766740145647
511.747234,0.9497039258145629
511.988288,0.9545464240156173
512.229342,0.9588381383918245
512.470396,0.946757774932495
512.71145,0.944970092629797
512.952504,0.9592553237132538
513.193558,0.9510468059831486
513.434612,0.9525049263249096
513.675666,0.9431291964063208
513.91672,0.9481600138402315
514.157774,0.9490763789466883
514.398828,0.945341538860604
514.639882,0.9507434704366319
514.880936,0.9453150696680864
515.12199,0.9439113746782398
515.363044,0.944971037600362
515.604098,0.9451458734141323
515.845152,0.9386740355784028
516.086206,0.9377911587696096
516.32726,0.9393210048442342
516.568314,0.9325915083500029
516.809368,0.9278659565516052
517.050422,0.9298248908240706
517.291476,0.9353485859269884
517.53253,0.9169759810820098
517.773584,0.9199481216866773
518.014638,0.9269839754753983
518.255692,0.908973807364809
518.496746,0.9022262129066677
518.7378,0.905251928489068
518.978854,0.9022713253451147
519.219908,0.8938922828947897
519.460962,0.890038997322149
519.702016,0.8799589678853389
519.94307,0.8792904531375281
520.184124,0.8770511188466873
520.425178,0.8645380162367797
520.666232,0.8683503645238666
520.907286,0.8544391416237382
521.14834,0.855901482501029
521.389394,0.8422149603456514
521.630448,0.8488269003262463
521.871502,0.8401120526746403
522.112556,0.8339932251314249
522.35361,0.834577224765042
522.594664,0.8338097668030521
522.835718,0.8346022624573485
523.076772,0.8362313246886067
523.317826,0.828341309492402
523.55888,0.8324434394801393
523.799934,0.8319358038266718
524.040988,0.8376625035630194
524.282042,0.8476987109610448
524.523096,0.8384838151934778
524.76415,0.8433864531394034
525.005204,0.8471817724296401
525.246258,0.849047624013167
525.487312,0.8524165186130968
525.728366,0.8576921872340708
525.96942,0.825843492340059
526.210474,0.8409946336038494
526.451528,0.8404901881724499
526.692582,0.8327098640064238
526.933636,0.8294188534465583
527.17469,0.8288964841324983
527.415744,0.8253398814266764
527.656798,0.8282667621292295
527.897852,0.8345605333874611
528.138906,0.8237155623398846
528.37996,0.8235014241328494
528.621014,0.8172583632708131
528.862068,0.8138167997841605
529.103122,0.8332513013661067
529.344176,0.8168825108763869
529.58523,0.7946130598363847
529.826284,0.8063882118608442
530.067338,0.8181578420930659
530.308392,0.8212727564820792
530.549446,0.8145984390387657
530.7905,0.8189845989555141
531.031554,0.8212481186689538
531.272608,0.8214534563647635
531.513662,0.8302486871477026
531.754716,0.8180187670816209
531.99577,0.8216424123888372
532.236824,0.8175853320055089
532.477878,0.8313453390457565
532.718932,0.8315615169358163
532.959986,0.8310627296767961
533.20104,0.831312085897262
533.442094,0.8366160795848051
533.683148,0.8376206214849019
533.924202,0.8413984079260641
534.165256,0.8409273567242722
534.40631,0.8495996843689542
534.647364,0.8507304037108497
534.888418,0.8554736387296348
535.129472,0.8584558730704966
535.370526,0.8638725781908033
535.61158,0.8593233515051645
