nu,[0]Isopentylacetate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
583.024398,0.9828094726013991
583.265452,0.9792454038384315
583.506506,0.9855898347739813
583.74756,0.9817525383414862
583.988614,0.9828802374309297
584.229668,0.9809664694209059
584.470722,0.982330960915295
584.711776,0.9881171652061181
584.95283,0.9806722236191567
585.193884,0.9826787676336161
585.434938,0.9790906952869224
585.675992,0.9800585149180361
585.917046,0.9790838416760431
586.1581,0.9828330603117928
586.399154,0.9768335596986235
586.640208,0.9803006192698774
586.881262,0.9790348887077936
587.122316,0.9798360668839567
587.36337,0.978950695327732
587.604424,0.9777336378294617
587.845478,0.9758942976716647
588.086532,0.9716311712294754
588.327586,0.9748535737809824
588.56864,0.9738645993930021
588.809694,0.9774432940572108
589.050748,0.974271759886163
589.291802,0.9776221825478209
589.532856,0.9732785093349751
589.77391,0.9762730181261783
590.014964,0.9731743741058103
590.256018,0.9680882775960132
590.497072,0.9707415645786777
590.738126,0.9668972941270152
590.97918,0.9670790879063909
591.220234,0.9636452982061192
591.461288,0.9670452407306431
591.702342,0.9681773458146273
591.943396,0.9693447027076093
592.18445,0.9643413013383202
592.425504,0.9659859397497773
592.666558,0.9639247958678011
592.907612,0.9618978682622514
593.148666,0.9612516900349806
593.38972,0.9542906398505901
593.630774,0.9558818131358954
593.871828,0.9533997485039931
594.112882,0.9547965479435132
594.353936,0.9550906705728396
594.59499,0.9558483578579064
594.836044,0.9521697035935053
595.077098,0.9490061498931534
595.318152,0.9482425073498513
595.559206,0.9478196854878573
595.80026,0.9454880781556294
596.041314,0.9401301084985445
596.282368,0.9419227633168162
596.523422,0.9351671459015701
596.764476,0.9398105185950173
597.00553,0.9368622680726297
597.246584,0.9393238228114758
597.487638,0.9342333804163325
597.728692,0.9328144243579004
597.969746,0.9310633117400489
598.2108,0.9262537998297113
598.451854,0.9266178891119022
598.692908,0.9218294968696513
598.933962,0.9200493215459531
599.175016,0.9185508627275414
599.41607,0.9184535014963287
599.657124,0.9177997953502673
599.898178,0.9174556849517432
600.139232,0.9130816243759743
600.380286,0.9139476361806208
600.62134,0.9109812169425426
600.862394,0.908048034816325
601.103448,0.9058876384509573
601.344502,0.9002254923355447
601.585556,0.9009549703830616
601.82661,0.8994786151738053
602.067664,0.9008288455161546
602.308718,0.8983280190849745
602.549772,0.8996675255178838
602.790826,0.8951267058010869
603.03188,0.89376714673492
603.272934,0.8930256277760673
603.513988,0.8890782740889692
603.755042,0.8879232232783502
603.996096,0.8843786243093055
604.23715,0.8846174387763713
604.478204,0.8800997725842761
604.719258,0.8811829613290698
604.960312,0.8794487396644529
605.201366,0.8800029669337003
605.44242,0.8772528638038027
605.683474,0.8796950197891673
605.924528,0.8776038351389117
606.165582,0.8765075156873952
606.406636,0.8760430897878156
606.64769,0.8748087394527021
606.888744,0.8765688733609869
607.129798,0.8733664952113135
607.370852,0.8783501155230108
607.611906,0.8745375907736884
607.85296,0.8776126112211434
608.094014,0.8762533653614243
608.335068,0.8790618673371541
608.576122,0.8787894003928379
608.817176,0.8799765672406896
609.05823,0.8786751651962355
609.299284,0.8753775499767398
609.540338,0.8793256254590953
609.781392,0.8789827553291875
610.022446,0.8807072509833052
610.2635,0.8803110218785977
610.504554,0.8844936010037889
610.745608,0.885750474085906
610.986662,0.8877900447834952
611.227716,0.8877367789787983
611.46877,0.8904930329800348
611.709824,0.8909383908267082
611.950878,0.889896602474469
612.191932,0.8914552849782014
612.432986,0.8897631279949341
612.67404,0.8953147021482307
612.915094,0.8934543829704144
613.156148,0.8979238624184563
613.397202,0.8997934877886095
613.638256,0.9018473574624594
613.87931,0.9030385820095451
614.120364,0.9034450408178223
