nu,[0]Crotonaldehyde-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
556.401128,0.9230434230757799
556.52113,0.9268986968725305
556.641133,0.929295041657659
556.761135,0.9367067618435039
556.881138,0.9219336694884397
557.00114,0.939485400404274
557.121142,0.9511885225148595
557.241145,0.932572856706353
557.361147,0.9458578362771903
557.48115,0.9284729793620128
557.601152,0.9324106031457552
557.721154,0.9361898423938599
557.841157,0.9458304067976676
557.961159,0.9379862396183386
558.081162,0.9322250718967008
558.201164,0.9449653677911459
558.321166,0.9391848131726667
558.441169,0.9370871420007592
558.561171,0.9410293026285794
558.681174,0.9309180771920067
558.801176,0.9277620413838294
558.921178,0.9375033010722847
559.041181,0.9265317176552497
559.161183,0.9376776929042218
559.281186,0.9432650167894361
559.401188,0.9309590384885451
559.52119,0.9426549217106139
559.641193,0.9381400819763646
559.761195,0.9322474455669093
559.881198,0.9329879439776554
560.0012,0.9240972166964438
560.121202,0.93522606328764
560.241205,0.9429971675610587
560.361207,0.9415573681758906
560.48121,0.948602907974426
560.601212,0.9387397450606983
560.721214,0.941751348973071
560.841217,0.9473439994129368
560.961219,0.9332137543820549
561.081222,0.9473411573852015
561.201224,0.9484701128631843
561.321226,0.9565071643092306
561.441229,0.937169609297763
561.561231,0.9344165081048214
561.681234,0.9479410141724699
561.801236,0.9407291621559916
561.921238,0.9456516617427226
562.041241,0.9292262763689234
562.161243,0.9466801439778633
562.281246,0.9303838835439425
562.401248,0.9378230442110572
562.52125,0.9462816755207442
562.641253,0.9483714771005951
562.761255,0.9417711259590571
562.881258,0.9397964215429665
563.00126,0.9583645893277081
563.121262,0.9372099084573886
563.241265,0.9416110384754657
563.361267,0.9516509124884641
563.48127,0.9414340322393399
563.601272,0.9503461427132688
563.721274,0.9344604267127815
563.841277,0.950294825407142
563.961279,0.9429717069812539
564.081282,0.9468448806545906
564.201284,0.9394064869450517
564.321286,0.9507558301820858
564.441289,0.9497713571870811
564.561291,0.9582246783114189
564.681294,0.9497105737653114
564.801296,0.9568400867275512
564.921298,0.963435246427586
565.041301,0.9511447688491658
565.161303,0.954554060417555
565.281306,0.959919358126672
565.401308,0.943386705825376
565.52131,0.9420009461507143
565.641313,0.9577370660580045
565.761315,0.957490959258106
565.881318,0.9522030301163418
566.00132,0.9532977401884454
566.121322,0.9533063199067158
566.241325,0.9532729547694123
566.361327,0.9577782496372856
566.48133,0.9472293777237598
566.601332,0.9552941265529642
566.721334,0.950489655815785
566.841337,0.9559802740332976
566.961339,0.9549168598880474
567.081342,0.9425022239821468
567.201344,0.964425202681192
567.321346,0.9577179115082295
567.441349,0.9564909038256518
567.561351,0.9595258718600368
567.681354,0.959320555293115
567.801356,0.9556572073020276
567.921358,0.9623760503211765
568.041361,0.9590625327693264
568.161363,0.9569702258286044
568.281366,0.9570046773768583
568.401368,0.9543326295625105
568.52137,0.9509887938973702
568.641373,0.9603379742184918
568.761375,0.9657415762203105
568.881378,0.9505942154285981
569.00138,0.9667426029355802
569.121382,0.9529002979032626
569.241385,0.9621441456386858
569.361387,0.965272339847942
569.48139,0.9611786376825624
569.601392,0.9620046448516196
569.721394,0.9595172361660508
569.841397,0.953681042918688
569.961399,0.9657116386954818
570.081402,0.9616497306233716
570.201404,0.9577045035513243
570.321406,0.9624896173954399
570.441409,0.9651854692465913
570.561411,0.9631934545268857
570.681414,0.9612401550839099
