nu,[0]Methyl2-methylbutyrate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
579.561991,0.9770953861758036
579.681594,0.9788860867139482
579.801196,0.9722366860474323
579.920798,0.9755918173262623
580.040401,0.9751636265132163
580.160003,0.9756981626300647
580.279606,0.9744071930731757
580.399208,0.9780113536163804
580.51881,0.9764204464824761
580.638413,0.9768599345607945
580.758015,0.974271759886163
580.877618,0.9757449972658931
580.99722,0.9750553893579467
581.116822,0.97469078682725
581.236425,0.9807173355790103
581.356027,0.9797508248542199
581.47563,0.979029014516084
581.595232,0.974759017570376
581.714834,0.9771325165059501
581.834437,0.976142206306337
581.954039,0.9767729978953575
582.073641,0.9758786834878157
582.193244,0.9816406249313009
582.312846,0.9805369001898286
582.432449,0.9774892349716344
582.552051,0.9751392477272895
582.671653,0.9778363052513791
582.791256,0.9795029792493228
582.910858,0.9768521197125773
583.030461,0.9820667494248475
583.150063,0.9818968665724874
583.269665,0.9793139534159074
583.389268,0.977032854072137
583.50887,0.9770523949246264
583.628473,0.9785327726136765
583.748075,0.9790652392597747
583.867677,0.9807702957450433
583.98728,0.9815866361816339
584.106882,0.9808281628995564
584.226485,0.977305484268567
584.346087,0.9787930969527939
584.465689,0.977466752977774
584.585292,0.9825834524160184
584.704894,0.9798458652936176
584.824496,0.9814325391766847
584.944099,0.9803300287295952
585.063701,0.9776084959330716
585.183304,0.9787940757463802
585.302906,0.9815571890242579
585.422508,0.9815728940649223
585.542111,0.9791915468223019
585.661713,0.983658986923067
585.781316,0.9824115153567771
585.900918,0.9819410529256687
586.02052,0.9790319516075332
586.140123,0.9804878745704699
586.259725,0.9835055480896472
586.379328,0.9814786675900353
586.49893,0.9827102138573173
586.618532,0.9850991332310894
586.738135,0.9807801034970394
586.857737,0.9788860867139482
586.97734,0.979052511494395
587.096942,0.9826532183178002
587.216544,0.9859269641433102
587.336147,0.9826089999178973
587.455749,0.9856568571614813
587.575352,0.9842050691846197
587.694954,0.9811106820912824
587.814556,0.9796352210776441
587.934159,0.9835507903854241
588.053761,0.984756378375529
588.173363,0.9829854112430333
588.292966,0.9829932751577789
588.412568,0.9831132076530816
588.532171,0.9824576897830893
588.651773,0.9801418234323658
588.771375,0.9830375108504567
588.890978,0.9837081711020074
589.01058,0.984782967156692
589.130183,0.9854893097376984
589.249785,0.9834691590575692
589.369387,0.9843064475276407
589.48899,0.9800741959797229
589.608592,0.9819606919431167
589.728195,0.9851533151734069
589.847797,0.9862563187484914
589.967399,0.9846126144393088
590.087002,0.9830286635526718
590.206604,0.9839905358645189
590.326207,0.9828831860760648
590.445809,0.9825343244716065
590.565411,0.9865867699627601
590.685014,0.9869568093795503
590.804616,0.9859624581529077
590.924218,0.982739695605957
591.043821,0.985786972454047
591.163423,0.9855898347739813
591.283026,0.9817564653594936
591.402628,0.9846067067813452
591.52223,0.9883612602904259
591.641833,0.9888763306712205
591.761435,0.9840928762018541
591.881038,0.9845722461496724
592.00064,0.9862898520333914
592.120242,0.9830561887406022
592.239845,0.9832616689559835
592.359447,0.988675609150018
592.47905,0.9886627564506417
592.598652,0.9854301821529594
592.718254,0.9828939978505764
592.837857,0.9867456232200682
592.957459,0.9852449386921456
593.077062,0.9839059163171273
593.196664,0.986271112704227
593.316266,0.9894272882148357
593.435869,0.9870634064711027
593.555471,0.984853874082946
593.675074,0.98345735749847
593.794676,0.9858155606907756
593.914278,0.9835252183973114
594.033881,0.9865443476437381
594.153483,0.9894460875119045
594.273085,0.9905835153921785
594.392688,0.9834504733210621
594.51229,0.9851720332642164
594.631893,0.9866045286844475
594.751495,0.9849188765836944
594.871097,0.9864170916310813
594.9907,0.9889673114786952
595.110302,0.9898013624253527
595.229905,0.9854222987430359
595.349507,0.9837908060589996
595.469109,0.9860511987674092
595.588712,0.9862947834949802
595.708314,0.9857278270100809
595.827917,0.9888456759801199
595.947519,0.9900797337056344
596.067121,0.987773360258157
596.186724,0.9840279282153319
596.306326,0.9854538327611373
596.425929,0.9864299151366251
596.545531,0.9870782125332449
596.665133,0.9874109139479083
596.784736,0.990879446883394
596.904338,0.9890751147908202
597.02394,0.9851690777525499
597.143543,0.985648971938165
597.263145,0.9867387160248808
597.382748,0.988341493262891
597.50235,0.9870604452853251
597.621952,0.9889732453003656
597.741555,0.9889089641285818
597.861157,0.9870219506786087
597.98076,0.9846598769790939
598.100362,0.9872213492512235
598.219964,0.9883316098973753
598.339567,0.9894124469168225
598.459169,0.9884116680000864
598.578772,0.9904544507688657
598.698374,0.9879561152341187
598.817976,0.9854420073860966
598.937579,0.9866696467322126
599.057181,0.9884077143613217
599.176784,0.9887616276697654
599.296386,0.9876597728531282
599.415988,0.9887784367603126
599.535591,0.9880717128619305
599.655193,0.986170518181139
599.774795,0.9846313222567069
599.894398,0.9876331063992599
600.014,0.9892848209432226
600.133603,0.9892264548606032
600.253205,0.990087753383957
600.372807,0.9897103048887205
600.49241,0.9866430070113886
600.612012,0.9845417248831239
600.731615,0.9858964008811548
600.851217,0.9900419133821796
600.970819,0.990550925730625
601.090422,0.9890088489780587
601.210024,0.9878158354258576
601.329627,0.9896637895975086
601.449229,0.9860511987674092
601.568831,0.9871838355527167
601.688434,0.9875886639094356
601.808036,0.991203814806274
601.927639,0.9897756279244796
602.047241,0.9876548345666097
602.166843,0.9889524770802813
602.286446,0.9866775401209599
602.406048,0.9857899298194004
602.525651,0.9884808592385115
602.645253,0.9906260123365418
602.764855,0.9911961825662841
602.884458,0.9895400893552351
603.00406,0.9880025502627494
603.123662,0.986665700061519
603.243265,0.9854725565618353
603.362867,0.9869173318967301
603.48247,0.991879054497176
603.602072,0.991305021882299
603.721674,0.9870525488333486
603.841277,0.9868857510474057
603.960879,0.9883948651445551
604.080482,0.9870486006310497
604.200084,0.9888783084258596
604.319686,0.9891878757811606
604.439289,0.9922408587593481
604.558891,0.9882199347352224
604.678494,0.9878760940296873
604.798096,0.9887339427317815
604.917698,0.9880885102238264
605.037301,0.9859969674428521
605.156903,0.9900379532224464
605.276506,0.9925020509247546
605.396108,0.9897944338400657
605.51571,0.9876261929917122
605.635313,0.9877980549008452
605.754915,0.9892482180820048
605.874517,0.9863549493118122
605.99412,0.9892017245083624
606.113722,0.9910634702827241
606.233325,0.9914751444201503
606.352927,0.9876350816674481
606.472529,0.9872707115527334
606.592132,0.988825899264368
606.711734,0.9888753417953843
606.831337,0.9888446871349383
606.950939,0.9909747740713485
607.070541,0.9907407334709958
607.190144,0.9883869580172625
607.309746,0.9869193057333677
607.429349,0.9877911403386619
607.548951,0.9884956865626047
607.668553,0.9874434990457197
607.788156,0.9898053216387208
607.907758,0.9928799683875664
608.027361,0.9899795427063334
608.146963,0.9870594582253733
608.266565,0.988058868013155
608.386168,0.9894520242062397
608.50577,0.988693405471149
608.625373,0.9903572919529632
608.744975,0.990481490544463
608.864577,0.9905016965729708
608.98418,0.9861360028170251
609.103782,0.9858747113989206
609.223384,0.9887665714902633
609.342987,0.9892135950002794
609.462589,0.9900478536514806
609.582192,0.9897370274277051
609.701794,0.9933593472370845
609.821396,0.9890948964909323
609.940999,0.9876410074957155
610.060601,0.9878909122822345
610.180204,0.9908519008176628
610.299806,0.9887260328918791
610.419408,0.9899815226673988
610.539011,0.9916114816254761
610.658613,0.990958026739182
610.778216,0.987614341548505
610.897818,0.9870268858006999
611.01742,0.9897686995193336
611.137023,0.9903605601374191
611.256625,0.9888357875728022
611.376228,0.9905709350614182
611.49583,0.9904212711005275
611.615432,0.9885134796451001
611.735035,0.9873743804199666
611.854637,0.9890395087276007
611.974239,0.991559720857103
612.093842,0.9907827417686647
612.213444,0.9903837348456693
612.333047,0.9908632956800425
612.452649,0.9885431354943249
612.572251,0.9872736733693107
612.691854,0.9883237032761226
612.811456,0.9913149349820832
612.931059,0.9909340458451049
613.050661,0.9900624074618996
613.170263,0.9910324504815667
613.289866,0.9898053216387208
613.409468,0.987017015581193
613.529071,0.988468997539371
613.648673,0.9915759825698708
613.768275,0.9918991898463553
613.887878,0.9900151826113853
614.00748,0.9908587377193657
614.127083,0.9903781887122833
614.246685,0.989173038074307
614.366287,0.9880687486512383
614.48589,0.9897964134309131
614.605492,0.9932219751388611
614.725095,0.9910441447334783
614.844697,0.9906806964016891
