nu,[0]Acrylonitrile-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
586.714216,0.9995999800293314
586.833418,1.0
586.95262,1.0
587.071822,0.9997340253775231
587.191024,0.9999811301780374
587.310226,1.0
587.429428,0.9999550190116749
587.54863,1.0
587.667832,0.9991194778873077
587.787034,0.9980926213630201
587.906236,1.0
588.025438,1.0
588.14464,0.9999805101899288
588.263842,0.9999518151609267
588.383044,1.0
588.502246,1.0
588.621448,1.0
588.74065,1.0
588.859852,0.9991245534271472
588.979054,0.9999355790751169
589.098256,0.9995990504017822
589.217458,1.0
589.33666,1.0
589.455862,0.9998548105410098
589.575064,1.0
589.694266,1.0
589.813468,1.0
589.93267,1.0
590.051872,1.0
590.171074,0.9996788915663523
590.290276,1.0
590.409478,0.9994265444884994
590.52868,1.0
590.647882,1.0
590.767084,1.0
590.886286,0.9999489723019572
591.005488,1.0
591.12469,1.0
591.243892,0.9999147696323142
591.363094,1.0
591.482296,1.0
591.601498,0.9999478223613003
591.7207,0.9998948255312222
591.839902,1.0
591.959104,1.0
592.078306,0.999666855504955
592.197508,0.9998306543405953
592.31671,1.0
592.435912,1.0
592.555114,0.9995051824625971
592.674316,0.9999120398687192
592.793518,1.0
592.91272,1.0
593.031922,0.9989958045420597
593.151124,0.9999651226082303
593.270326,0.9996333472335603
593.389528,0.9996726535895314
593.50873,0.9999590358390541
593.627932,1.0
593.747134,1.0
593.866336,0.9995272417853978
593.985538,0.9999888470621945
594.10474,0.9996195124037719
594.223942,1.0
594.343144,1.0
594.462346,1.0
594.581548,0.9994737585136475
594.70075,0.999808788283291
594.819952,0.9998881262583338
594.939154,1.0
595.058356,1.0
595.177558,0.9999776372500501
595.29676,1.0
595.415962,1.0
595.535164,0.999999671500054
595.654366,0.9993422664016381
595.773568,0.9995028536182351
595.89277,0.9999783722338835
596.011972,0.9999441675586888
596.131174,1.0
596.250376,0.9996806410059433
596.369578,1.0
596.48878,0.9996001299693397
596.607982,0.9999357770623811
596.727184,1.0
596.846386,0.9998588099682508
596.965588,1.0
597.08479,1.0
597.203992,0.9998596798457939
597.323194,1.0
597.442396,1.0
597.561598,0.9998234655840341
597.6808,1.0
597.800002,0.9995335888035348
597.919204,1.0
598.038406,1.0
598.157608,0.999499705189205
598.27681,0.9994791057125593
598.396012,0.9999427336397806
598.515214,0.9999098590629384
598.634416,0.9997283469043858
598.753618,1.0
598.87282,0.9995441939111721
598.992022,1.0
599.111224,1.0
599.230426,0.998549453061677
599.349628,1.0
599.46883,0.999915129601696
599.588032,0.9999751683083116
599.707234,0.9998330539370451
599.826436,1.0
599.945638,1.0
600.06484,0.9998705983731129
600.184042,0.9999435785917475
600.303244,1.0
600.422446,1.0
600.541648,0.9999868290867372
600.66085,0.9994641336276969
600.780052,0.9990176628093916
600.899254,1.0
601.018456,0.9998408226700557
601.137658,0.9996157538414713
601.25686,0.9999976123028506
601.376062,1.0
601.495264,0.9997844932249219
601.614466,0.9999616137367715
601.733668,1.0
601.85287,0.9999553649961714
601.972072,0.9999247788292541
602.091274,0.9997784445470351
602.210476,0.9999599948002293
602.329678,0.9991469040933987
602.44888,1.0
602.568082,1.0
602.687284,0.9997641978057086
602.806486,0.9989235797563488
602.925688,0.9997144307826533
603.04489,0.9997094622142793
603.164092,0.9988329814963581
603.283294,0.9984680745974699
603.402496,1.0
603.521698,0.9999895940541422
603.6409,0.9999686794904974
603.760102,1.0
603.879304,0.9994449540950008
603.998506,0.9997169500661932
604.117708,0.9991904678481002
604.23691,0.999509180491323
604.356112,0.9998405127194487
604.475314,1.0
604.594516,0.9996677152188205
604.713718,0.9990836301235538
604.83292,0.999887826291941
604.952122,1.0
605.071324,1.0
605.190526,0.9999119718747028
605.309728,0.999875747719954
605.42893,0.9999545620323357
605.548132,0.9998904859970963
605.667334,0.9993164037584478
605.786536,0.9994800352285599
605.905738,0.9992681479344565
606.02494,0.998981019513562
606.144142,1.0
606.263344,0.9993744257532121
606.382546,0.9999990102104899
606.501748,0.999608326724012
606.62095,0.9991629305382721
606.740152,0.9985541462551353
606.859354,0.9993580961085089
606.978556,0.9994000000719891
607.097758,0.9999671675389971
607.21696,0.9993197115012185
607.336162,0.9999972541037699
607.455364,0.9993965421539711
607.574566,0.9988772307775527
607.693768,0.9998847666398737
607.81297,0.9994282834921997
607.932172,0.9986791730607611
608.051374,0.9989923080628627
