nu,[0]Dibromomethane-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
633.285066,0.9115352619350539
633.416268,0.9081906095496148
633.547471,0.9085575926814741
633.678674,0.9033276005962958
633.809876,0.8986784353391456
633.941079,0.8992537736263764
634.072281,0.8973942435925465
634.203484,0.8908849361269155
634.334687,0.8883584122703522
634.465889,0.8841045094257718
634.597092,0.8828234868529156
634.728295,0.8789475967221512
634.859497,0.8756314462794176
634.9907,0.8699582995795658
635.121902,0.8667020652114814
635.253105,0.862681256234113
635.384308,0.8567321097281321
635.51551,0.8538924755249102
635.646713,0.8478004409100349
635.777916,0.8440192302410097
635.909118,0.8372102879203077
636.040321,0.8314617355407874
636.171523,0.8240368740609101
636.302726,0.8205421488974115
636.433929,0.8143215226479465
636.565131,0.8091588723939631
636.696334,0.802061492592052
636.827537,0.7951376775606822
636.958739,0.7875093778281865
637.089942,0.7824228153212694
637.221144,0.7768872877093201
637.352347,0.7692725122614107
637.48355,0.7603168687714422
637.614752,0.7542435141891185
637.745955,0.7459923004084033
637.877158,0.7409663991432064
638.00836,0.7335349751400655
638.139563,0.7265848572289071
638.270765,0.7173940555649774
638.401968,0.7079442013831043
638.533171,0.7023594282026405
638.664373,0.6913147912344098
638.795576,0.6863826554460175
638.926779,0.6757919612053881
639.057981,0.667390464700647
639.189184,0.6597132553225273
639.320386,0.6496704790145507
639.451589,0.6390324777476682
639.582792,0.6321996707507175
639.713994,0.6211516648845217
639.845197,0.6127428042579178
639.9764,0.6019866560192303
640.107602,0.5931903123628371
640.238805,0.5837923058948693
640.370007,0.5767248438257679
640.50121,0.5668106395965272
640.632413,0.5553648465749271
640.763615,0.544661923855419
640.894818,0.5344751722590035
641.026021,0.5239337677885545
641.157223,0.5123639841366886
641.288426,0.5036468252992953
641.419628,0.4952661421461342
641.550831,0.48178852790108095
641.682034,0.4727587797314737
641.813236,0.45952588766636093
641.944439,0.4484895040940697
642.075642,0.4408899416947167
642.206844,0.43074457412371614
642.338047,0.42059285646977795
642.469249,0.4103683943126065
642.600452,0.39783019916350254
642.731655,0.3887689774844233
642.862857,0.38021819259759737
642.99406,0.36894783998034303
643.125263,0.3593709992551132
643.256465,0.35060326287233096
643.387668,0.33996928625379597
643.51887,0.3286046245448707
643.650073,0.32010698850150915
643.781276,0.3109882962959281
643.912478,0.2996919995132463
644.043681,0.29156275889025945
644.174883,0.28277606056791976
644.306086,0.27521573443818304
644.437289,0.26710858977128576
644.568491,0.25836034047164796
644.699694,0.24825471085081083
644.830897,0.2413999928349357
644.962099,0.23328369288938433
645.093302,0.2248548940856164
645.224504,0.21720796941453757
645.355707,0.21271543338613522
645.48691,0.20533756408888662
645.618112,0.19857269981245074
645.749315,0.1900819469628886
645.880518,0.18317743604882025
646.01172,0.17677102994179963
646.142923,0.16943261209061283
646.274125,0.16505112575755762
646.405328,0.15958158225982164
646.536531,0.15416990584993437
646.667733,0.14812481737572492
646.798936,0.14334513860410647
646.930139,0.13844252796724424
647.061341,0.13269526768973872
647.192544,0.12707218095488781
647.323746,0.12458089687409996
647.454949,0.11993564160852804
647.586152,0.1157757671989308
647.717354,0.11299632307031046
647.848557,0.11018439483042866
647.97976,0.1065650161306318
648.110962,0.10160119318092219
648.242165,0.10086220505906641
648.373367,0.09691703264906296
648.50457,0.09372409240525054
648.635773,0.09123652214036297
648.766975,0.09067260565062223
648.898178,0.08707373417642188
649.029381,0.08386893468883629
649.160583,0.08315906994312262
