nu,[0]HCFE-235da2-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
461.393291,0.9999981408017283
461.634353,0.9999983522013576
461.875416,0.9999987630007651
462.116478,0.9999989914005086
462.35754,0.9999988918006141
462.598603,0.9999986269009427
462.839665,0.9999984008012788
463.080727,0.999998325501402
463.32179,0.9999984810011536
463.562852,0.9999988869006194
463.803914,0.9999993243702282
464.044977,0.9999994167201701
464.286039,0.9999990521704492
464.527101,0.9999986463009163
464.768164,0.9999986803008708
465.009226,0.9999990667504355
465.250288,0.9999992368802911
465.491351,0.9999988796006276
465.732413,0.9999983911012943
465.973475,0.9999982890014638
466.214538,0.9999985248010881
466.4556,0.9999986366009295
466.696662,0.9999984956011316
466.937725,0.9999984810011536
467.178787,0.9999987897007324
467.419849,0.9999989817005185
467.660911,0.9999985710010211
467.901974,0.999997873502261
468.143036,0.9999977252025873
468.384098,0.9999983765013178
468.625161,0.9999990764804264
468.866223,0.9999989914005086
469.107285,0.9999983109014265
469.348348,0.9999979488021037
469.58941,0.9999983474013655
469.830472,0.999998979300521
470.071535,0.9999991761203394
470.312597,0.9999990351604655
470.553659,0.9999991129303935
470.794722,0.999999482340134
471.035784,0.9999995528201
471.276846,0.9999989234005795
471.517909,0.9999980217019568
471.758971,0.9999976086028594
472.000033,0.9999978978022096
472.241096,0.999998383801306
472.482158,0.9999985297010809
472.72322,0.999998383801306
472.964282,0.999998327901398
473.205345,0.9999985345010739
473.446407,0.9999987897007324
473.687469,0.9999988189006975
473.928532,0.9999986099009662
474.169594,0.9999983741013218
474.410656,0.9999983206014101
474.651719,0.9999984738011647
474.892781,0.9999986852008643
475.133843,0.9999987897007324
475.374906,0.9999987703007561
475.615968,0.9999987921007295
475.85703,0.999998959800541
476.098093,0.9999991153603913
476.339155,0.9999989817005185
476.580217,0.9999985855010004
476.82128,0.999998386301302
477.062342,0.9999987508007803
477.303404,0.9999994264401645
477.544467,0.999999720510039
477.785529,0.9999992903402518
478.026591,0.9999986001009799
478.267653,0.9999983547013535
478.508716,0.9999986973008486
478.749778,0.9999991348003743
478.99084,0.9999992004203196
479.231903,0.9999989695005309
479.472965,0.9999987703007561
479.714027,0.9999986925008548
479.95509,0.999998605000973
480.196152,0.9999985151011025
480.437214,0.9999986220009495
480.678277,0.999998937900564
480.919339,0.9999991226503848
481.160401,0.9999988893006169
481.401464,0.9999984738011647
481.642526,0.9999984008012788
481.883588,0.9999988286006861
482.124651,0.9999993146502348
482.365713,0.9999993462402137
482.606775,0.9999989574005435
482.847838,0.9999986317009362
483.0889,0.9999987071008358
483.329962,0.9999990132904868
483.571024,0.9999991518203597
483.812087,0.9999989695005309
484.053149,0.9999986390009261
484.294211,0.9999983814013099
484.535274,0.9999982550015225
484.776336,0.9999981894016391
485.017398,0.9999981554017012
485.258461,0.9999982161015911
485.499523,0.9999984373012211
485.740585,0.9999987897007324
485.981648,0.9999991518203597
486.22271,0.999999375410195
486.463772,0.9999993608202042
486.704835,0.9999991153603913
486.945897,0.9999987751007502
487.186959,0.9999984908011389
487.428022,0.9999983571013495
487.669084,0.9999983814013099
487.910146,0.9999984981011278
488.151209,0.9999986390009261
488.392271,0.9999987873007353
488.633333,0.9999989768005235
488.874395,0.999999232020295
489.115458,0.9999994458901535
489.35652,0.9999994240101658
489.597582,0.9999990594604423
489.838645,0.9999985321010774
490.079707,0.9999981991016216
490.320769,0.9999982040016128
490.561832,0.9999983182014143
490.802894,0.9999982429015437
491.043956,0.999998024101952
491.285019,0.9999979998020004
491.526081,0.999998325501402
491.767143,0.9999987144008264
492.008206,0.9999987605007682
492.249268,0.9999984640011796
492.49033,0.9999982113015997
492.731393,0.9999982429015437
492.972455,0.9999983741013218
493.213517,0.999998301201443
493.45458,0.9999980752018525
493.695642,0.999998024101952
493.936704,0.9999982647015057
494.177766,0.9999985272010846
494.418829,0.9999985224010917
494.659891,0.9999983304013937
494.900953,0.9999982696014972
495.142016,0.9999984349012248
495.383078,0.9999986026009764
495.62414,0.9999985491010526
495.865203,0.9999983693013296
496.106265,0.9999982720014929
496.347327,0.9999982963014513
496.58839,0.9999982647015057
496.829452,0.9999980800018432
497.070514,0.9999978589022922
497.311577,0.999997756802516
497.552639,0.9999977957024294
497.793701,0.9999978832022404
498.034764,0.9999979512020988
498.275826,0.9999979901020198
498.516888,0.9999979464021086
498.757951,0.9999977447025432
498.999013,0.9999974117033497
499.240075,0.999997115204161
499.481137,0.9999970156044533
499.7222,0.9999971395040912
499.963262,0.9999973509035088
500.204324,0.999997474903188
500.445387,0.9999974117033497
500.686449,0.9999972003039191
500.927511,0.9999970083044751
501.168574,0.999997001004497
501.409636,0.9999971492040636
501.650698,0.9999972027039125
501.891761,0.9999969402046812
502.132823,0.999996480906192
502.373885,0.9999962330070952
502.614948,0.9999964371063471
502.85601,0.9999968503049603
503.097072,0.9999969815045556
503.338135,0.999996634005665
503.579197,0.99999610900757
503.820259,0.9999958466086254
504.061322,0.999995948608207
504.302384,0.9999961698073352
504.543446,0.9999962257071227
504.784508,0.9999960823076742
505.025571,0.9999958927084349
505.266633,0.9999958053087977
505.507695,0.9999958757085049
505.748758,0.9999960288078852
505.98982,0.9999960750077028
506.230882,0.9999958296086962
506.471945,0.9999953022110346
506.713007,0.9999947869135882
506.954069,0.9999945974145941
507.195132,0.9999947238139191
507.436194,0.9999948599132102
507.677256,0.9999947408138296
507.918319,0.9999944394154601
508.159381,0.9999942110167562
508.400443,0.9999941624170388
508.641506,0.9999942061167846
508.882568,0.9999942669164342
509.12363,0.9999943981156906
509.364693,0.9999946144145023
509.605755,0.9999947383138427
509.846817,0.9999945706147392
510.087879,0.9999941696169967
510.328942,0.9999938318190233
510.570004,0.9999937395195969
510.811066,0.999993792919264
511.052129,0.9999937857193087
511.293191,0.9999936860199332
511.534253,0.9999936228203343
511.775316,0.999993639820226
512.016378,0.9999935961205049
512.25744,0.9999933652220102
512.498503,0.9999930055244615
512.739565,0.9999926969266676
512.980627,0.9999925608276707
513.22169,0.9999925681276165
513.462752,0.9999926094273104
513.703814,0.9999925535277251
513.944877,0.9999923153295273
514.185939,0.9999918681330638
514.427001,0.9999912994378501
514.668064,0.9999907332429366
514.909126,0.9999902325477019
515.150188,0.9999897930520912
515.39125,0.9999894260559046
515.632313,0.9999891510588502
515.873375,0.9999888890617269
516.114437,0.9999884460667472
516.3555,0.9999877240753497
516.596562,0.9999868880859619
516.837624,0.9999862150950126
517.078687,0.9999857241019016
517.319749,0.9999851361104687
517.560811,0.9999842301243458
517.801874,0.9999831341422302
518.042936,0.9999821541592389
518.283998,0.9999813761734256
518.525061,0.9999805891883923
518.766123,0.9999796122078338
519.007185,0.9999785432301997
519.248248,0.999977588251147
519.48931,0.9999767782696286
519.730372,0.9999759452893192
519.971435,0.9999749683132979
520.212497,0.9999738983406542
520.453559,0.9999729023671475
520.694621,0.9999720763898713
520.935684,0.9999714924063492
521.176746,0.9999711284167921
521.417808,0.9999708364252653
521.658871,0.9999705204345309
521.899933,0.9999702284431816
522.140995,0.9999701074467913
522.382058,0.9999702044438964
522.62312,0.9999703264402687
522.864182,0.9999702284431816
523.105245,0.9999697674570125
523.346307,0.9999690384793177
523.587369,0.9999679685130191
523.828432,0.999966170572228
524.069494,0.9999634726671393
524.310556,0.9999605317788908
524.551619,0.9999587338514709
524.792681,0.9999590008404885
525.033743,0.9999610667579183
525.274806,0.9999638126547777
525.515868,0.9999661215738869
525.75693,0.9999676045247448
525.997992,0.9999683814998753
526.239055,0.9999684544975699
526.480117,0.9999678715161308
526.721179,0.9999670205438342
526.962242,0.9999667055542724
527.203304,0.9999673125342469
527.444366,0.9999684304983272
527.685429,0.9999691354763192
527.926491,0.9999689894808361
528.167553,0.9999684794967815
528.408616,0.9999682845029471
528.649678,0.9999685034960253
528.89074,0.9999686244922216
529.131803,0.9999683575006344
529.372865,0.9999680175114507
529.613927,0.9999680905091186
529.85499,0.9999686974899338
530.096052,0.99996942646738
530.337114,0.9999698644540846
530.578177,0.9999701804446118
530.819239,0.9999708364252653
531.060301,0.9999721003892014
531.301364,0.9999737523444757
531.542426,0.9999752843054378
531.783488,0.9999764062783363
