nu,[0]1-Butanol-2-2-3-4-4-4-hexafluoro--HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
653.268161,0.9999894280558834
653.750277,0.9999891360590131
654.232394,0.999988699063856
654.714511,0.9999883100683278
655.196627,0.9999883100683278
655.678744,0.9999886260646836
656.160861,0.999988820062496
656.642977,0.999988820062496
657.125094,0.9999887960627646
657.607211,0.999988820062496
658.089327,0.9999889180614051
658.571444,0.9999888690619494
659.053561,0.9999886260646836
659.535677,0.9999885050660673
660.017794,0.999988699063856
660.499911,0.9999888930616825
660.982028,0.9999888930616825
661.464144,0.9999887960627646
661.946261,0.9999887960627646
662.428378,0.9999889180614051
662.910494,0.9999889420611394
663.392611,0.9999888450622167
663.874728,0.999988820062496
664.356844,0.9999888450622167
664.838961,0.999988820062496
665.321078,0.9999889180614051
665.803194,0.9999890390600715
666.285311,0.9999891610587417
666.767428,0.9999892820574375
667.249544,0.9999893790564026
667.731661,0.9999895010551143
668.213778,0.9999896230538409
668.695895,0.999989720052839
669.178011,0.9999898410516025
669.660128,0.9999897930520912
670.142245,0.9999898900511058
670.624361,0.9999900357496435
671.106478,0.9999901086489197
671.588595,0.9999900114498859
672.070711,0.9999897930520912
672.552828,0.9999898410516025
673.034945,0.9999899870501299
673.517061,0.9999898410516025
673.999178,0.9999895740543505
674.481295,0.9999894280558834
674.963411,0.9999892820574375
675.445528,0.9999894040561375
675.927645,0.9999897930520912
676.409762,0.9999900114498859
676.891878,0.9999899140508636
677.373995,0.9999898900511058
677.856112,0.9999901086489197
678.338228,0.9999902301477254
678.820345,0.9999900114498859
679.302462,0.9999895740543505
679.784578,0.9999893310569136
680.266695,0.9999895250548626
680.748812,0.9999898410516025
681.230928,0.9999899140508636
681.713045,0.9999898410516025
682.195162,0.9999896950530963
682.677278,0.9999892340579531
683.159395,0.9999884070671986
683.641512,0.999987897073241
684.123628,0.999987775074725
684.605745,0.9999874110792412
685.087862,0.9999867060883648
685.569979,0.9999859040993482
686.052095,0.9999850531117058
686.534212,0.999984106126309
687.016329,0.9999831821414218
687.498445,0.9999824041548087
687.980562,0.999981724167005
688.462679,0.9999809711810502
688.944795,0.9999800711985812
689.426912,0.9999793672128588
689.909029,0.9999788562235328
690.391145,0.9999783702339268
690.873262,0.9999775682515955
691.355379,0.9999763772790209
691.837495,0.9999749683132979
692.319612,0.9999747253194101
692.801729,0.9999754543012506
693.283846,0.9999762562818866
693.765962,0.9999763532795881
694.248079,0.9999754543012506
694.730196,0.9999744823255814
695.212312,0.999973995338127
695.694429,0.9999735093508835
696.176546,0.9999735093508835
