nu,[0]Peroxynitricacid-HITRAN(x-sec)-X=0.01-T=220.0K-P=0.0001atm-L=15cm
811.277535,0.9998639792516609
811.3378,0.9998210560123856
811.398065,0.9998415525541227
811.45833,0.9998350536051527
811.518595,0.9997178398146747
811.57886,0.9998587299795493
811.639125,0.999862669430706
811.69939,0.9997549600271994
811.759655,0.9998022395571748
811.81992,0.9998653490662508
811.880185,0.9998154270356858
811.94045,0.9998431223065924
812.000715,0.9998536807057122
812.06098,0.9997608585988644
812.121245,0.9997839833349603
812.18151,0.9998519109662636
812.241775,0.9998319341246519
812.30204,0.9998542306253879
812.362305,0.9997869327020615
812.42257,0.9997367046683013
812.482835,0.9998275548703709
812.5431,0.9998367133327193
812.603365,0.9998330639353757
812.66363,0.9997855729927576
812.723895,0.9997992401549552
812.78416,0.9998165468295912
812.844425,0.9998045191088797
812.90469,0.9998236455522741
812.964955,0.9998428523489858
813.02522,0.9998622994815868
813.085485,0.9997848531474042
813.14575,0.9998587899710748
813.206015,0.9998749978134245
813.26628,0.9998281047756773
813.326545,0.9998857365285678
813.38681,0.99988984606739
813.447075,0.9998632893457533
813.50734,0.9998277348393471
813.567605,0.9998700984379386
813.62787,0.9998420424766035
813.688135,0.9998734780045828
813.7484,0.9998695985030144
813.808665,0.9998226957202621
813.86893,0.9998582900418048
813.929195,0.9998598698191511
813.98946,0.9998232256264312
814.049725,0.9998085383311252
814.10999,0.9998634993170661
814.170255,0.9998371532609699
814.23052,0.999887826291941
814.290785,0.9997602187521196
814.35105,0.9998682286826028
814.411315,0.9998770775555829
814.47158,0.9998208760446117
814.531845,0.9998540606501831
814.59211,0.9998203561378913
814.652375,0.9998324640357173
814.71264,0.9998871763650651
814.772905,0.9998491713757808
814.83317,0.9998479515605359
814.893435,0.9998702284210599
814.9537,0.9999029137131786
815.013965,0.9998375132024099
815.07423,0.9998600497939438
815.134495,0.9998500112494375
815.19476,0.9998761276728103
815.255025,0.9998463318081663
815.31529,0.9998187564266013
815.375555,0.9998750678046767
815.43582,0.9998539106720853
815.496085,0.9998791573020671
815.55635,0.9998614296017646
815.616615,0.99986882860372
815.67688,0.9998324440390682
815.737145,0.9998467117498446
815.79741,0.9999043305766112
815.857675,0.99988216694286
815.91794,0.999871558249348
815.978205,0.999894425573372
816.03847,0.9999050675063744
816.098735,0.9998778774575648
816.159,0.9998578101099408
816.219265,0.9998563903128584
816.27953,0.9998686986207808
816.339795,0.9998918958436754
816.40006,0.9998635293129715
816.460325,0.9998844866721782
816.52059,0.9999089541449254
816.580855,0.9998951654955207
816.64112,0.9998715782467794
816.701385,0.999889736079513
816.76165,0.9998722481609612
816.821915,0.999891295908718
816.88218,0.999871558249348
816.942445,0.9998698184743503
817.00271,0.9998696085017105
817.062975,0.9999192612595476
817.12324,0.9998943455818212
817.183505,0.9999123058453572
817.24377,0.9998955254578451
817.304035,0.9998810270778394
817.3643,0.9999070053242729
817.424565,0.9998980251997834
817.48483,0.9998769775678801
817.545095,0.9999015788436798
817.60536,0.99989199583287
817.665625,0.9998984351580578
817.72589,0.9998987651245959
817.786155,0.9999249538161058
817.84642,0.9999059144263253
817.906685,0.9998996050399114
817.96695,0.9999044045695343
818.027215,0.9998919158415136
818.08748,0.9999192292621317
818.147745,0.9998992150791414
818.20801,0.9999165504821047
