nu,[0]HFE-347mcc3-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
872.35361,0.9999953879106357
872.594664,0.9999798432031509
872.835718,0.9999951490117661
873.076772,0.9999983242014041
873.317826,0.9999997009500448
873.55888,1.0
873.799934,0.9999979468021079
874.040988,0.9999967065054236
874.282042,1.0
874.523096,0.9999833751381946
874.76415,0.9999956554094378
875.005204,0.9999923368293623
875.246258,0.9999965397059868
875.487312,0.9999988104007076
875.728366,0.9999917691338738
875.96942,0.9999994075001756
876.210474,1.0
876.451528,1.0
876.692582,0.9999864880912867
876.933636,1.0
877.17469,1.0
877.415744,1.0
877.656798,0.9999797902042207
877.897852,1.0
878.138906,1.0
878.37996,1.0
878.621014,0.9999918759330004
878.862068,0.9999968738048866
879.103122,1.0
879.344176,1.0
879.58523,0.9999929012251965
879.826284,1.0
880.067338,0.9999895530545697
880.308392,1.0
880.549446,1.0
880.7905,1.0
881.031554,0.9999921331309439
881.272608,1.0
881.513662,0.9999911905388035
881.754716,1.0
881.99577,0.9999880930708881
882.236824,0.9999898050519689
882.477878,0.9999950528122373
882.718932,0.9999885310657687
882.959986,0.9999996322100676
883.20104,0.9999979413021192
883.442094,1.0
883.683148,0.999979501210103
883.924202,1.0
884.165256,0.999969807455804
884.40631,0.9999908844415469
884.647364,1.0
884.888418,1.0
885.129472,1.0
885.370526,0.9999997642100278
885.61158,1.0
885.852634,0.9999916561348102
886.093688,0.9999951130119413
886.334742,1.0
886.575796,0.9999941030173872
886.81685,0.9999895240548731
887.057904,0.9999912569382208
887.298958,0.999984601118564
887.540012,0.9999972142038803
887.781066,1.0
888.02212,0.9999917356341501
888.263174,0.9999819531628461
888.504228,0.9999901504485071
888.745282,0.9999846371180103
888.986336,0.9999926250271952
889.22739,0.9999928029258991
889.468444,1.0
889.709498,0.9999947636137099
889.950552,0.9999948639131897
890.191606,0.9999928458255912
890.43266,0.9999896120539551
890.673714,1.0
890.914768,1.0
891.155822,1.0
891.396876,0.9999972160038754
891.63793,1.0
891.878984,0.9999911460391966
892.120038,0.9999949340128321
892.361092,1.0
892.602146,0.9999900756492467
892.8432,0.9999778942443358
893.084254,1.0
893.325308,0.9999981647016841
893.566362,0.9999990661204361
893.807416,1.0
894.04847,0.9999859900981396
894.289524,0.9999794822104927
894.530578,0.9999967572052578
894.771632,1.0
895.012686,1.0
895.25374,0.9999939677181943
895.494794,1.0
895.735848,1.0
895.976902,0.9999893220570096
896.217956,1.0
896.45901,0.9999770582631656
896.700064,1.0
896.941118,0.9999874800783749
897.182172,0.9999985674010262
897.423226,1.0
897.66428,1.0
897.905334,1.0
898.146388,1.0
898.387442,0.9999982443015413
898.628496,0.9999977262025851
898.86955,1.0
899.110604,1.0
899.351658,0.9999901568484442
899.592712,1.0
899.833766,0.9999977062026307
900.07482,1.0
900.315874,1.0
900.556928,1.0
900.797982,0.9999984353012241
901.039036,0.9999730053643617
901.28009,1.0
901.521144,1.0
901.762198,0.9999901779482366
902.003252,1.0
902.244306,0.9999868470865003
902.48536,1.0
902.726414,0.9999992394202892
902.967468,0.9999940093179442
903.208522,0.9999953620107555
903.449576,0.9999984813011532
903.69063,0.9999982815014766
903.931684,0.9999758672911985
904.172738,0.9999982599015139
904.413792,0.9999598088076876
904.654846,1.0
904.8959,0.9999920139318889
905.136954,0.9999895600544966
905.378008,1.0
905.619062,0.9999990965504081
905.860116,0.9999969881045357
906.10117,1.0
906.342224,1.0
906.583278,0.9999915921353463
906.824332,0.9999999346820021
907.065386,0.9999823021566087
907.30644,1.0
907.547494,0.9999875540774511
907.788548,0.9999867710875028
908.029602,1.0
908.270656,0.9999916086352078
908.51171,0.9999944230155514
908.752764,0.9999921679306708
908.993818,0.9999895390547161
909.234872,1.0
909.475926,0.9999946676142172
909.71698,0.9999940283178306
909.958034,0.9999819931621251
910.199088,0.9999931467234838
910.440142,0.9999943433159991
910.681196,0.9999982284015693
910.92225,1.0
911.163304,1.0
911.404358,0.9999976680027192
911.645412,0.9999915794354531
911.886466,1.0
912.12752,0.9999845101199695
912.368574,1.0
912.609628,1.0
912.850682,0.9999920517315877
913.091736,0.9999921548307735
913.33279,0.999995334610883
913.573844,0.9999979898020205
913.814898,0.999995393710609
914.055952,1.0
914.297006,1.0
914.53806,0.9999873360801881
914.779114,1.0
915.020168,1.0
915.261222,0.9999957930088494
915.502276,1.0
915.74333,1.0
915.984384,1.0
916.225438,1.0
916.466492,0.9999938689187952
916.707546,0.9999942149167337
916.9486,1.0
917.189654,0.9999857441016163
917.430708,0.99999684090499
917.671762,0.9999930641240533
917.912816,0.999988699063856
918.15387,0.9999974404032758
918.394924,0.9999993713201977
918.635978,0.9999941506171077
918.877032,0.9999842211244878
919.118086,1.0
919.35914,0.9999990675604348
919.600194,0.9999874120792286
919.841248,1.0
920.082302,0.9999954042105607
920.323356,0.9999970632043124
920.56441,0.9999695444637793
920.805464,1.0
921.046518,0.9999944054156498
921.287572,0.9999876310764958
921.528626,0.9999852161092828
921.76968,0.99999510921196
922.010734,0.9999910331402025
922.251788,1.0
922.492842,0.9999962095071839
922.733896,0.9999979115021809
922.97495,0.9999967294053485
923.216004,0.9999873200803908
923.457058,0.9999935105210568
