nu,[0]1-Penten-3-ol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
609.131183,0.9760738787433881
609.266185,0.9779634322341366
609.401188,0.9768130464092601
609.536191,0.9774423166144054
609.671193,0.9768589577013483
609.806196,0.9781932806468423
609.941199,0.9788518263004738
610.076202,0.977448181285899
610.211204,0.978671734133422
610.346207,0.977720927374788
610.48121,0.9790397838944752
610.616212,0.9784378595380916
610.751215,0.9794745740748017
610.886218,0.979993833190572
611.02122,0.9758757558561567
611.156223,0.9777639480420403
611.291226,0.9796724479233506
611.426229,0.9801869109932496
611.561231,0.9812127229082503
611.696234,0.9810734005937158
611.831237,0.9815414842348722
611.966239,0.9811597388517957
612.101242,0.9828360088153966
612.236245,0.9808448371200562
612.371247,0.981880174467639
612.50625,0.9818517003554561
612.641253,0.981223516307566
612.776256,0.9816985434367509
612.911258,0.9807604880911241
613.046261,0.9823899025411811
613.181264,0.9820205933723003
613.316266,0.9840358004702466
613.451269,0.9846559383474631
613.586272,0.9826846637239102
613.721274,0.9837071873943282
613.856277,0.9823152437456582
613.99128,0.983154499274921
614.126283,0.9853769703598545
614.261285,0.984721912505442
614.396288,0.9856085611587422
614.531291,0.9833452497499782
614.666293,0.9834986635749065
614.801296,0.9848676621336994
614.936299,0.985189766520414
615.071301,0.9872815715902905
615.206304,0.9851464191243369
615.341307,0.9850282086468125
615.47631,0.984529910453312
615.611312,0.9847809975927273
615.746315,0.985964430079796
615.881318,0.9860521848191011
616.01632,0.9852823787111717
616.151323,0.9852212930973653
616.286326,0.9847711498319902
616.421328,0.985742613038381
616.556331,0.9869943144508986
616.691334,0.9858786549056532
616.826337,0.9864989676474943
616.961339,0.9868502237998623
617.096342,0.9869064758657875
617.231345,0.9863046464921301
617.366347,0.9865926895011384
617.50135,0.9885194107437713
617.636353,0.9881813949092992
617.771355,0.987617304395974
617.906358,0.987975874554016
618.041361,0.9867732524843262
618.176364,0.988580700847211
618.311366,0.9879956342691036
618.446369,0.9892116165750677
618.581372,0.9891275371610846
618.716374,0.9878375676132902
618.851377,0.9895005085432824
618.98638,0.9883731206967117
619.121382,0.9903895781269426
619.256385,0.9892383256492862
619.391388,0.9884798707581465
619.526391,0.98903456354242
619.661393,0.98924327185328
