nu,[0]HFE-365mcf3-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
589.628758,0.9999959802080793
590.110874,0.9999961820072886
590.592991,0.9999960507077985
591.075108,0.9999961188075318
591.557224,0.9999963521066536
592.039341,0.999996359406627
592.521458,0.9999964566062778
593.003574,0.9999969086047784
593.485691,0.9999971541040495
593.967808,0.9999968795048687
594.449925,0.9999964250063903
594.932041,0.9999960556077792
595.414158,0.9999959948080208
595.896275,0.999996007007972
596.378391,0.999995734809096
596.860508,0.9999957980088284
597.342625,0.9999964542062864
597.824741,0.9999953775106838
598.306858,0.9999916275350493
598.788975,0.9999897150528905
599.271091,0.9999920650314821
599.753208,0.9999946363143846
600.235325,0.9999951588117186
600.717441,0.9999949328128382
601.199558,0.9999946533142936
601.681675,0.9999945974145941
602.163792,0.999994927912863
602.645908,0.99999499601252
603.128025,0.9999944807152313
603.610142,0.9999940020179879
604.092258,0.9999937419195819
604.574375,0.9999933263222691
605.056492,0.9999929010251979
605.538608,0.9999928257257352
606.020725,0.9999928937252497
606.502842,0.9999926045273466
606.984958,0.999992069831444
607.467075,0.999991792833679
607.949192,0.9999917709338589
608.431309,0.9999913067377866
608.913425,0.9999903735463346
609.395542,0.9999896080539966
609.877659,0.9999889690608412
610.359775,0.9999882490690427
610.841892,0.9999874860782998
611.324009,0.999986543090545
611.806125,0.9999855231047913
612.288242,0.9999847041169833
612.770359,0.9999841231260389
613.252475,0.9999835521352676
613.734592,0.9999828371472834
614.216709,0.9999820031619451
614.698825,0.9999811771771515
615.180942,0.9999804071919416
615.663059,0.9999795172097752
616.145176,0.9999783172350746
616.627292,0.999977148261105
617.109409,0.9999764672768988
617.591526,0.9999762442821716
618.073642,0.9999760012879737
618.555759,0.9999752113072448
619.037876,0.9999741903330752
619.519992,0.9999737523444757
620.002109,0.999974117334962
620.484226,0.9999745543237467
620.966342,0.9999746763206497
621.448459,0.9999746033225011
621.930576,0.9999744823255814
622.412693,0.9999744573262197
622.894809,0.9999745543237467
623.376926,0.9999747003200423
623.859043,0.9999749193145256
624.341159,0.9999751383090569
624.823276,0.9999754783006618
625.305393,0.9999762562818866
625.787509,0.9999772252593483
626.269626,0.9999779012441811
626.751743,0.9999783462344461
627.233859,0.999979085218717
627.715976,0.9999803001940437
628.198093,0.999981486171383
628.68021,0.99998223215785
629.162326,0.9999828131476957
629.644443,0.9999835201357945
630.12656,0.999984351122445
630.608676,0.9999853721069887
631.090793,0.9999864780914218
631.57291,0.99998747407845
632.055026,0.9999883590677562
632.537143,0.9999891050593503
633.01926,0.9999897510525209
633.501376,0.9999904853452646
633.983493,0.9999911974387428
634.46561,0.9999917102343603
634.947726,0.9999920091319272
635.429843,0.9999923809290253
635.91196,0.9999930079244447
636.394077,0.9999936544201333
636.876193,0.9999940481177125
637.35831,0.999994218316714
637.840427,0.9999941867168972
638.322543,0.9999941210172812
638.80466,0.9999941551170813
639.286777,0.9999940068179591
639.768893,0.9999936641200717
640.25101,0.9999935256209589
640.733127,0.9999936253203183
641.215243,0.9999936180203649
641.69736,0.9999933093223827
642.179477,0.999992750326279
642.661594,0.9999921889305066
643.14371,0.999991873033024
643.625827,0.9999916931345022
644.107944,0.9999914696363837
644.59006,0.9999913043378075
645.072177,0.9999911099395168
645.554294,0.9999907210430498
646.03641,0.9999901912481062
646.518527,0.9999896490535715
647.000644,0.9999891070593285
647.48276,0.9999886840640256
647.964877,0.999988653064377
648.446994,0.9999887860628767
648.929111,0.9999886580643202
649.411227,0.9999882230693486
649.893344,0.999987644076335
650.375461,0.9999870320840841
650.857577,0.999986599089793
651.339694,0.999986446091855
651.821811,0.9999862590944071
652.303927,0.9999858411002381
652.786044,0.9999852841082798
653.268161,0.9999847471163265
653.750277,0.9999844951202019
654.232394,0.9999844431210095
654.714511,0.9999841521255789
655.196627,0.9999836201341514
655.678744,0.9999831851413713
656.160861,0.9999829931446182
656.642978,0.999983041143803
657.125094,0.9999830921429395
657.607211,0.9999829731449585
658.089328,0.9999827691484529
658.571444,0.999982407154756
659.053561,0.9999819841622871
659.535678,0.9999816021692421
660.017794,0.999981014180233
660.499911,0.9999803821924317
660.982028,0.999980103197944
661.464144,0.9999800421991596
661.946261,0.9999799382012405
662.428378,0.9999797312054148
662.910495,0.9999793672128588
663.392611,0.9999787932248668
663.874728,0.9999782362368341
664.356845,0.9999778142461074
664.838961,0.9999773252570758
665.321078,0.9999769142664796
665.803195,0.9999765772743163
666.285311,0.99997602228747
666.767428,0.9999754783006618
667.249545,0.9999751133096788
667.731661,0.9999747003200423
668.213778,0.9999743113299595
668.695895,0.9999739713387514
669.178012,0.9999736553470264
669.660128,0.9999733393554013
670.142245,0.9999730483632019
670.624362,0.9999729023671475
671.106478,0.9999732423579921
671.588595,0.9999739473393765
672.070712,0.9999744823255814
672.552828,0.9999745793231108
673.034945,0.9999744573262197
673.517062,0.9999745543237467
673.999178,0.999974943313924
674.481295,0.9999751133096788
674.963412,0.9999749683132979
