nu,[0]n-Butylamine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
643.904878,0.9712105460042662
644.032881,0.9699798314698452
644.160883,0.9703950716927833
644.288886,0.9700128113447699
644.416888,0.970426124831925
644.544891,0.9706774977496442
644.672893,0.9703552863104498
644.800896,0.9709240811488385
644.928899,0.9704620312628087
645.056901,0.9704144797882974
645.184904,0.9704532971438309
645.312906,0.9700293017027304
645.440909,0.9700807146181509
645.568911,0.9696917902361393
645.696914,0.96975191299092
645.824916,0.9701641451470694
645.952919,0.9699099954361068
646.080922,0.9701020566286338
646.208924,0.9693834772712038
646.336927,0.9701631749834093
646.464929,0.9699788614904987
646.592932,0.969971101690646
646.720934,0.9698159187293436
646.848937,0.9689386323548546
646.97694,0.9692419576147084
647.104942,0.9695812516728701
647.232945,0.9693321013083834
647.360947,0.9694319476568168
647.48895,0.9702912449749406
647.616952,0.96922935755116
647.744955,0.9693766916106127
647.872957,0.9699652818814954
648.00096,0.9699138750838479
648.128963,0.969717002550444
648.256965,0.9686925531956126
648.384968,0.9688233355179022
648.51297,0.9688029904414803
648.640973,0.9690258407560857
648.768975,0.9692855744841733
648.896978,0.9688049280493989
649.02498,0.9687981464386382
649.152983,0.9687584265288979
649.280986,0.9681221612786901
649.408988,0.9676566064940166
649.536991,0.9694106203885692
649.664993,0.9692787895088993
649.792996,0.9681899322019342
649.920998,0.9686102178278937
650.049001,0.968168632257726
650.177004,0.9679295241366269
650.305006,0.9680205137883424
650.433009,0.9679372676037938
650.561011,0.9685830971214863
650.689014,0.9680195457683126
650.817016,0.9674611596003058
650.945019,0.9677553125017999
651.073021,0.967873385852253
651.201024,0.9679963135780016
651.329027,0.9674147225791423
651.457029,0.9685366062486143
651.585032,0.9681076395551841
651.713034,0.9679353317311945
651.841037,0.9677156353473745
651.969039,0.9676227391054721
652.097042,0.966811244097121
652.225045,0.9667793398524888
652.353047,0.9674669643846776
652.48105,0.967403113672125
652.609052,0.9686479943630266
652.737055,0.9670404055165276
652.865057,0.9670742525230398
652.99306,0.9673876353461331
653.121062,0.9671003638803597
653.249065,0.9677524092402172
653.377068,0.9670017246739289
653.50507,0.9680824690837732
653.633073,0.9666295006676484
653.761075,0.9667484034085992
653.889078,0.96641686556822
654.01708,0.9665840701487426
654.145083,0.966668166620989
654.273085,0.9660844753408615
654.401088,0.9669311361245411
