nu,[0]Chloroethane-PNNL(x-sec)-X=0.01-T=278.09K-P=1.0atm-L=15cm
603.231422,0.9987426910760193
603.350624,0.9983466682612536
603.469826,0.9982268738488708
603.589028,0.9985789107050403
603.70823,0.9978336499307731
603.827432,0.99815680078192
603.946634,0.9986728814017897
604.065836,0.9978922244851703
604.185038,0.9989238794334677
604.30424,0.9976427826105826
604.423442,0.9981619912107792
604.542644,0.9988274879300671
604.661846,0.9986558042415278
604.781048,0.9986019781443055
604.90025,0.9981318471738219
605.019452,0.9981551039168011
605.138654,0.9984911394763913
605.257856,0.9987380968702071
605.377058,0.9988037161187401
605.49626,0.9984123616333135
605.615462,0.9986255454290826
605.734664,0.9989431588503865
605.853866,0.9984333285130592
605.973068,0.9976441793114559
606.09227,0.9989097947060652
606.211472,0.998851959503297
606.330674,0.998863046821582
606.449876,0.9992880135827014
606.569078,0.9994738384715514
606.68828,0.998257020755677
606.807482,0.9987169238469882
606.926684,0.9967422181247081
607.045886,0.9995097202264261
607.165088,0.9989004049981267
607.28429,0.9992303463354418
607.403492,0.9980759533554217
607.522694,0.998584902196479
607.641896,0.998520295843345
607.761098,0.9984861470331752
607.8803,0.9984721683249679
607.999502,0.998503321142601
608.118704,0.998869939000383
608.237906,0.9984130605222112
608.357108,0.9993278859698921
608.47631,0.9981486159297116
608.595512,0.9989799206350449
608.714714,0.9979100869158569
608.833916,0.9988414716127838
608.953118,0.9990061142319605
609.07232,0.998496930741795
609.191522,0.998670384722707
609.310724,0.9984040748451022
609.429926,0.9985545456768737
609.549128,0.9980195636570811
609.66833,0.9986682875171011
609.787532,0.99893896329793
609.906734,0.9976925662275258
610.025936,0.9986030766070857
610.145138,0.9986915567592859
610.26434,0.9983998815567937
610.383542,0.9978791521826533
610.502744,0.9978559018692748
610.621946,0.9989455563168447
610.741148,0.9975071124179298
610.86035,0.9983683326190124
610.979552,0.997915874811146
611.098754,0.9988855214929746
611.217956,0.9985447598902765
611.337158,0.9976807935247034
611.45636,0.9972592626970972
611.575562,0.9968467818676618
