nu,[0]Brominenitrate-HITRAN(x-sec)-X=0.01-T=204.0K-P=0.0atm-L=15cm
1274.223942,0.9997819337798953
1274.343144,0.9998025494959172
1274.462346,0.9998013897256324
1274.581548,0.9998016996641113
1274.70075,0.9998240054888513
1274.819952,0.9997523106800658
1274.939154,0.9997234382502532
1275.058356,0.9997100220517349
1275.177558,0.9997339254041255
1275.29676,0.9996910177448521
1275.415962,0.9996660357784697
1275.535164,0.9996243605701638
1275.654366,0.9996447931009136
1275.773568,0.9996458127391226
1275.89277,0.9996719438221994
1276.011972,0.9996868090545267
1276.131174,0.9996738432006971
1276.250376,0.9996715639469329
1276.369578,0.9996490416003123
1276.48878,0.9995880348809425
1276.607982,0.9995685730913645
1276.727184,0.9995843963871176
1276.846386,0.9995773393461904
1276.965588,0.9995697825700697
1277.08479,0.999496956568795
1277.203992,0.9995188957677735
1277.323194,0.9995230837607206
1277.442396,0.9995471425708934
1277.561598,0.9995039430769392
1277.6808,0.9994735586189158
1277.800002,0.9993941935748567
1277.919204,0.9993159041003707
1278.038406,0.9993177128637941
1278.157608,0.9993385488553218
1278.27681,0.9993530093887454
1278.396012,0.999311327244011
1278.515214,0.9994016390893333
1278.634416,0.9994778963435731
1278.753618,0.9995209547788196
1278.87282,0.9994545388180692
1278.992022,0.9993218900205642
1279.111224,0.9992567863202054
1279.230426,0.9993117569479741
1279.349628,0.9992251203743965
1279.46883,0.999204616485297
1279.588032,0.9992459844127297
1279.707234,0.9993881772399206
1279.826436,0.9994357692380772
1279.945638,0.9994209277271024
1280.06484,0.9993658411637658
1280.184042,0.9993093985750106
1280.303244,0.9992065749282646
1280.422446,0.9990113490377143
1280.541648,0.9988450674485541
1280.66085,0.99894895273751
1280.780052,0.9990481632842246
1280.899254,0.9991508507314645
1281.018456,0.9992647903991201
1281.137658,0.9992741735395557
1281.25686,0.999294998630329
1281.376062,0.9993495916072977
1281.495264,0.9991724426146482
1281.614466,0.9990604416616019
1281.733668,0.9992305162046152
1281.85287,0.999403887745551
