nu,[0]DL-Limonene-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
650.325976,0.9998035393009311
650.445578,1.0
650.56518,1.0
650.684782,1.0
650.804384,1.0
650.923986,1.0
651.043588,0.9999857211019444
651.16319,1.0
651.282792,1.0
651.402394,1.0
651.521996,1.0
651.641598,1.0
651.7612,1.0
651.880802,1.0
652.000404,1.0
652.120006,0.9993733664168823
652.239608,1.0
652.35921,1.0
652.478812,1.0
652.598414,1.0
652.718016,1.0
652.837618,1.0
652.95722,0.9991329660913044
653.076822,1.0
653.196424,1.0
653.316026,1.0
653.435628,1.0
653.55523,1.0
653.674832,1.0
653.794434,1.0
653.914036,1.0
654.033638,1.0
654.15324,1.0
654.272842,1.0
654.392444,1.0
654.512046,1.0
654.631648,1.0
654.75125,1.0
654.870852,1.0
654.990454,1.0
655.110056,1.0
655.229658,1.0
655.34926,1.0
655.468862,1.0
655.588464,1.0
655.708066,1.0
655.827668,1.0
655.94727,1.0
656.066872,1.0
656.186474,1.0
656.306076,1.0
656.425678,1.0
656.54528,1.0
656.664882,1.0
656.784484,1.0
656.904086,1.0
657.023688,1.0
657.14329,1.0
657.262892,1.0
657.382494,1.0
657.502096,1.0
657.621698,1.0
657.7413,1.0
657.860902,1.0
657.980504,1.0
658.100106,1.0
658.219708,1.0
658.33931,1.0
658.458912,1.0
658.578514,1.0
658.698116,1.0
658.817718,1.0
658.93732,1.0
659.056922,1.0
659.176524,1.0
659.296126,1.0
659.415728,1.0
659.53533,1.0
659.654932,1.0
659.774534,1.0
659.894136,1.0
660.013738,1.0
660.13334,1.0
660.252942,1.0
660.372544,1.0
660.492146,1.0
660.611748,1.0
660.73135,1.0
660.850952,1.0
660.970554,1.0
661.090156,1.0
661.209758,1.0
661.32936,1.0
661.448962,1.0
661.568564,1.0
661.688166,1.0
661.807768,1.0
661.92737,1.0
662.046972,1.0
662.166574,1.0
662.286176,1.0
662.405778,1.0
662.52538,1.0
662.644982,1.0
662.764584,1.0
662.884186,1.0
663.003788,1.0
663.12339,1.0
663.242992,1.0
663.362594,1.0
663.482196,1.0
663.601798,1.0
663.7214,1.0
663.841002,1.0
663.960604,0.9998952454871372
664.080206,1.0
664.199808,1.0
664.31941,1.0
664.439012,1.0
664.558614,1.0
664.678216,1.0
664.797818,1.0
664.91742,1.0
665.037022,1.0
665.156624,1.0
665.276226,1.0
665.395828,1.0
665.51543,1.0
665.635032,1.0
665.754634,1.0
665.874236,0.9997021843558858
665.993838,1.0
666.11344,1.0
666.233042,1.0
666.352644,1.0
666.472246,1.0
666.591848,1.0
666.71145,0.9999774722537534
666.831052,1.0
666.950654,1.0
667.070256,1.0
667.189858,1.0
667.30946,1.0
667.429062,0.9984257404485972
667.548664,0.9986805712125821
667.668266,0.9999295234835863
667.787868,1.0
667.90747,1.0
668.027072,1.0
668.146674,1.0
668.266276,0.9990095208486183
668.385878,0.9990876464478198
668.50548,0.9998038692361535
668.625082,1.0
668.744684,0.9998858965102985
668.864286,1.0
668.983888,0.9986081694957631
669.10349,0.9986081694957631
669.223092,0.9988203962800782
669.342694,0.9977281844879222
669.462296,0.9996427438311882
669.581898,0.9989625385356505
669.7015,1.0
669.821102,0.9996836800397113
669.940704,0.998140031888526
670.060306,0.9981320468002113
670.179908,0.9981497138937929
670.29951,0.9993633827268205
670.419112,0.9994911994829057
670.538714,1.0
670.658316,0.9975618770616772
670.777918,0.9992085833354987
670.89752,0.9978055114186
671.017122,0.9993543685097624
671.136724,0.9990643879581403
671.256326,0.9997479017820973
671.375928,0.9999802731945759
671.49553,0.9990601918965226
671.615132,0.9979541955164914
671.734734,0.997831255132887
671.854336,0.9980189648455225
671.973938,0.998536971271525
672.09354,0.9995482220823902
672.213142,0.9996036085838448
672.332744,1.0
672.452346,0.997193445757742
672.571948,0.9971137731843877
672.69155,0.9977595136447803
672.811152,0.9986768761013046
672.930754,0.9997859729070668
673.050356,1.0
673.169958,0.9997847631667715
673.28956,0.9977065340212272
673.409162,0.9974948431559031
673.528764,0.9975643709694872
673.648366,0.9991282901599647
673.767968,0.9986319366530253
673.88757,0.999545433346741
674.007172,0.9985823058791086
674.126774,0.9984976296898912
674.246376,0.9963937183097741
674.365978,0.9960122721875537
674.48558,0.998930272566754
674.605182,0.9986894595092188
674.724784,0.9980135755576635
674.844386,0.9987513801752292
674.963988,0.9987329034456063
675.08359,0.9967534813754102
675.203192,0.9978852392640473
675.322794,0.9964209202295885
675.442396,0.9972230628428925
675.561998,0.9979178706448913
675.6816,0.9993488021214322
675.801202,0.9969452751952006
675.920804,0.9967957446189949
676.040406,0.9963725949868539
676.160008,0.9972327359535167
676.27961,0.9971870637401117
676.399212,0.9977660988793017
676.518814,0.9980513011838293
676.638416,0.9977725843800223
676.758018,0.9957467707087082
676.87762,0.9967090271614772
676.997222,0.9977948349567469
677.116824,0.9970167587340864
677.236426,0.9997616684054879
677.356028,0.9987077356935544
677.47563,0.9993518601334455
677.595232,0.9982513307068753
677.714834,0.9966458378122787
677.834436,0.996412948894112
677.954038,0.9983380825168253
678.07364,0.9988859210472631
678.193242,0.9991674867316235
678.312844,0.9984714693946947
678.432446,0.9974138498630111
678.552048,0.9974054716218609
678.67165,0.9971025058624112
678.791252,0.9985881975320936
678.910854,0.9984909397781835
679.030456,0.9986905580682285
679.150058,0.9984024773998603
679.26966,0.9985605370221218
679.389262,0.9978749610990155
679.508864,0.9977809657049326
679.628466,0.9975932009964001
679.748068,0.9977279849423053
679.86767,0.9997569195488415
679.987272,0.9996235608709952
680.106874,0.9978151901790026
680.226476,0.9965166808812481
680.346078,0.9986710837922209
