nu,[0]Cyanogen-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
643.779554,0.9999127118098358
643.898756,0.9999027207319349
644.017958,0.9998752177859481
644.13716,0.9998854865571649
644.256362,0.9998924157875965
644.375564,0.9999341191702372
644.494766,0.9999004609543396
644.613968,0.9998809870825992
644.73317,0.9998713882711976
644.852372,0.9998820569558278
644.971574,0.9998839367358618
645.090776,0.999893905628406
645.209978,0.999894425573372
645.32918,0.9999177033865521
645.448382,0.9998871563673217
645.567584,0.9999092981136648
645.686786,0.9998912059185053
645.805988,0.9999254237809445
645.92519,0.9998715882454953
646.044392,0.9999049285195797
646.163594,0.999929036518027
646.282796,0.9998769775678801
646.401998,0.9998382430840609
646.5212,0.9999100280477189
646.640402,0.9998913559021975
646.759604,0.999928300570527
646.878806,0.9999970656043053
646.998008,0.9999309983807213
647.11721,0.999834103762303
647.236412,0.9999377989345665
647.355614,0.9999091071310071
647.474816,0.9999483363346131
647.594018,0.9999494522775791
647.71322,0.9999389238652231
647.832422,0.9999440365660114
647.951624,0.9999675455266578
648.070826,0.9999287305397887
648.190028,0.9999568819296107
648.30923,0.9999340851724777
648.428432,0.9999077232577606
648.547634,0.999919692224842
648.666836,0.9999268456759081
648.786038,0.9999456594764997
648.90524,0.9999174124105428
649.024442,0.9999298554602433
649.143644,0.999929561480909
649.262846,0.9999511051953899
649.382048,0.9999188382937895
649.50125,0.9999240058876988
649.620452,0.9999829531452993
649.739654,0.9999721123888666
649.858856,0.9999416427028534
649.978058,1.0000162571321458
650.09726,0.9999493752814743
650.216462,0.9999549390152767
650.335664,0.9999170624395096
650.454866,0.9999350581088159
650.574068,0.9999267626819833
650.69327,0.9999300244484032
650.812472,0.999973385354176
650.931674,0.9999670495428782
651.050876,0.9999265976940811
651.170078,0.9999463304402624
651.28928,0.9999730973618824
651.408482,0.9999437495821141
651.527684,0.9999646146260771
651.646886,0.9999377089401686
651.766088,1.0000058894173425
651.88529,0.9999757262946112
652.004492,0.9999301054427384
652.123694,1.0000594657680186
652.242896,0.9999402497851152
652.362098,0.9999799512009798
652.4813,0.9999746093223487
652.600502,0.999890785964287
652.719704,0.9999833671383276
652.838906,0.9999862260948611
652.958108,0.9999533840865554
653.07731,0.999939999800084
653.196512,0.9999425576498749
653.315714,0.9999884060672102
653.434916,1.0000024080028993
653.554118,0.9999513401839273
653.67332,0.9999614677423865
653.792522,1.0000107570578567
653.911724,0.9999627486938472
654.030926,0.9999771332614479
654.150128,0.9999327152637194
654.26933,0.9999684884964979
654.388532,0.9999691624754863
654.507734,0.9999698554543559
654.626936,0.9999487703122852
654.746138,0.9999740463368021
654.86534,0.9999561999592498
654.984542,1.0000048597118083
655.103744,0.9999480513493779
655.222946,0.9999655585931189
655.342148,0.9999694314672272
655.46135,1.0000135100912604
655.580552,0.9999475283766838
655.699754,0.9999842811235429
655.818956,1.0000268033592037
655.938158,0.99994354559361
656.05736,0.9999423966591362
656.176562,0.9999572559135544
656.295764,0.9999702114436878
656.414966,1.0000158021248522
656.534168,0.9999641986408839
656.65337,0.9999577448927722
656.772572,0.999955667982693
656.891774,0.9999862890939953
657.010976,0.9999853461073693
657.130178,1.0000195711915132
657.24938,1.0000242732945916
657.368582,0.9999825091529666
657.487784,0.9999841641253888
657.606986,0.9999284605590678
657.726188,0.9999250018125047
657.84539,1.0000062398194676
657.964592,1.0000154241189505
658.083794,0.9999450485098884
658.202996,1.0000004378000957
658.322198,0.9999442915517732
658.4414,1.0000164551353843
658.560602,0.9999459744594321
658.679804,0.9999543090438635
658.799006,0.9999889230613498
658.918208,1.00000238750285
659.03741,0.9999962051072007
659.156612,0.9999675025280543
659.275814,0.9999541250522876
659.395016,0.9999461914477321
659.514218,0.9999405057698519
659.63342,0.9999233989340115
659.752622,0.9999998927400058
659.871824,0.9999700984470603
659.991026,0.9999692634723767
660.110228,0.9999890350601154
660.22943,0.9999449685142877
660.348632,1.000004243609004
660.467834,1.0000190361811858
660.587036,0.9999864800913948
660.706238,0.9999649226152258
660.82544,0.9999506062199129
660.944642,0.9999752493063034
661.063844,0.9999923134295419
661.183046,1.0000139340970786
661.302248,0.9999874710784876
661.42145,0.9999937629194506
661.540652,0.9999751493087835
661.659854,0.9999459014633786
661.779056,1.000005104313027
661.898258,0.9999849561131604
662.01746,0.9999525211271574
662.136662,0.9999599478021107
662.255864,0.9999308473911519
662.375066,1.0000225812549528
662.494268,0.9999829191458794
662.61347,0.9999347341299095
662.732672,1.0000077822302813
662.851874,0.9999577008946324
662.971076,0.9999676525231909
663.090278,0.9999578748872875
663.20948,0.9999561389619235
663.328682,0.9999736253478173
663.447884,0.9999685594942631
663.567086,0.9999602737891068
663.686288,0.9999834371371658
663.80549,0.9999866290893914
663.924692,0.999985712102073
664.043894,1.0000007765103014
664.163096,1.0000247873072001
664.282298,0.9999279235976287
664.4015,0.9999693884685424
664.520702,0.9999780772403072
664.639904,0.9999701744447907
664.759106,0.9999978184023797
664.878308,0.9999255037749816
664.99751,0.9999811571775282
665.116712,0.9999727493713051
665.235914,1.0000204982100855
665.355116,0.9999476963678826
665.474318,1.0000017512015333
665.59352,0.9999923505292574
665.712722,0.9999717433992252
665.831924,0.9999821781588109
665.951126,0.9999765962738715
666.070328,0.9999703694389938
666.18953,0.9999509062051398
666.308732,1.0000044924100908
666.427934,0.9999679085149428
666.547136,0.9999192042641513
666.666338,0.9999556169849552
