nu,[0]HFC-1234yf-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
762.952058,1.0
763.07106,1.0
763.190062,1.0
763.309064,1.0
763.428066,1.0
763.547068,1.0
763.66607,1.0
763.785072,1.0
763.904074,1.0
764.023076,1.0
764.142078,1.0
764.26108,1.0
764.380082,1.0
764.499084,1.0
764.618086,1.0
764.737088,1.0
764.85609,1.0
764.975092,1.0
765.094094,1.0
765.213096,1.0
765.332098,1.0
765.4511,1.0
765.570102,1.0
765.689104,1.0
765.808106,1.0
765.927108,1.0
766.04611,1.0
766.165112,1.0
766.284114,1.0
766.403116,1.0
766.522118,1.0
766.64112,1.0
766.760122,1.0
766.879124,1.0
766.998126,1.0
767.117128,1.0
767.23613,1.0
767.355132,1.0
767.474134,1.0
767.593136,1.0
767.712138,1.0
767.83114,1.0
767.950142,1.0
768.069144,1.0
768.188146,1.0
768.307148,1.0
768.42615,1.0
768.545152,1.0
768.664154,1.0
768.783156,1.0
768.902158,1.0
769.02116,1.0
769.140162,1.0
769.259164,1.0
769.378166,1.0
769.497168,1.0
769.61617,1.0
769.735172,1.0
769.854174,1.0
769.973176,1.0
770.092178,1.0
770.21118,1.0
770.330182,1.0
770.449184,1.0
770.568186,1.0
770.687188,1.0
770.80619,1.0
770.925192,1.0
771.044194,1.0
771.163196,1.0
771.282198,1.0
771.4012,1.0
771.520202,1.0
771.639204,1.0
771.758206,1.0
771.877208,1.0
771.99621,1.0
772.115212,1.0
772.234214,1.0
772.353216,1.0
772.472218,1.0
772.59122,1.0
772.710222,1.0
772.829224,1.0
772.948226,1.0
773.067228,1.0
773.18623,1.0
773.305232,1.0
773.424234,1.0
773.543236,1.0
773.662238,1.0
773.78124,1.0
773.900242,1.0
774.019244,1.0
774.138246,1.0
774.257248,1.0
774.37625,1.0
774.495252,1.0
774.614254,1.0
774.733256,1.0
774.852258,1.0
774.97126,1.0
775.090262,1.0
775.209264,1.0
775.328266,1.0
775.447268,1.0
775.56627,1.0
775.685272,1.0
775.804274,1.0
775.923276,1.0
776.042278,1.0
776.16128,1.0
776.280282,1.0
776.399284,1.0
776.518286,1.0
776.637288,1.0
776.75629,1.0
776.875292,1.0
776.994294,1.0
777.113296,1.0
777.232298,1.0
777.3513,1.0
777.470302,1.0
777.589304,1.0
777.708306,1.0
777.827308,1.0
777.94631,1.0
778.065312,1.0
778.184314,1.0
778.303316,1.0
778.422318,1.0
778.54132,1.0
778.660322,1.0
778.779324,1.0
778.898326,1.0
779.017328,1.0
779.13633,1.0
779.255332,1.0
779.374334,1.0
779.493336,1.0
779.612338,1.0
779.73134,1.0
779.850342,1.0
779.969344,1.0
780.088346,1.0
780.207348,1.0
780.32635,1.0
780.445352,1.0
780.564354,1.0
780.683356,1.0
780.802358,1.0
780.92136,1.0
781.040362,1.0
781.159364,1.0
781.278366,1.0
781.397368,1.0
781.51637,1.0
781.635372,1.0
781.754374,1.0
781.873376,1.0
781.992378,1.0
782.11138,1.0
782.230382,1.0
782.349384,1.0
782.468386,1.0
782.587388,1.0
782.70639,1.0
782.825392,1.0
782.944394,1.0
783.063396,1.0
783.182398,1.0
783.3014,1.0
783.420402,1.0
783.539404,1.0
783.658406,1.0
783.777408,1.0
783.89641,1.0
784.015412,1.0
784.134414,1.0
784.253416,1.0
784.372418,1.0
784.49142,1.0
784.610422,1.0
784.729424,1.0
784.848426,1.0
784.967428,1.0
785.08643,1.0
785.205432,1.0
785.324434,1.0
785.443436,1.0
785.562438,1.0
785.68144,1.0
785.800442,1.0
785.919444,1.0
786.038446,1.0
786.157448,1.0
786.27645,1.0
786.395452,1.0
786.514454,1.0
786.633456,1.0
786.752458,1.0
786.87146,1.0
786.990462,1.0
787.109464,1.0
787.228466,1.0
787.347468,1.0
787.46647,1.0
787.585472,1.0
787.704474,1.0
787.823476,1.0
787.942478,1.0
788.06148,1.0
788.180482,1.0
788.299484,1.0
788.418486,1.0
788.537488,1.0
788.65649,1.0
788.775492,1.0
788.894494,1.0
789.013496,1.0
789.132498,1.0
789.2515,1.0
789.370502,1.0
789.489504,1.0
789.608506,1.0
789.727508,1.0
789.84651,1.0
789.965512,1.0
790.084514,1.0
790.203516,1.0
790.322518,1.0
790.44152,1.0
790.560522,1.0
790.679524,1.0
790.798526,1.0
790.917528,1.0
791.03653,1.0
791.155532,1.0
791.274534,1.0
791.393536,1.0
791.512538,1.0
791.63154,1.0
791.750542,1.0
791.869544,1.0
791.988546,1.0
792.107548,1.0
792.22655,1.0
792.345552,1.0
792.464554,1.0
792.583556,1.0
792.702558,1.0
792.82156,1.0
792.940562,1.0
793.059564,1.0
793.178566,1.0
793.297568,1.0
793.41657,1.0
793.535572,1.0
793.654574,1.0
793.773576,1.0
793.892578,1.0
794.01158,1.0
794.130582,1.0
794.249584,1.0
794.368586,1.0
794.487588,1.0
794.60659,1.0
794.725592,1.0
794.844594,1.0
794.963596,1.0
795.082598,1.0
795.2016,1.0
795.320602,1.0
795.439604,1.0
795.558606,1.0
795.677608,1.0
795.79661,1.0
795.915612,1.0
796.034614,1.0
796.153616,1.0
796.272618,1.0
796.39162,1.0
796.510622,1.0
796.629624,1.0
796.748626,1.0
796.867628,1.0
796.98663,1.0
797.105632,1.0
797.224634,1.0
797.343636,1.0
797.462638,1.0
797.58164,1.0
797.700642,1.0
797.819644,1.0
797.938646,1.0
798.057648,1.0
798.17665,1.0
798.295652,1.0
798.414654,1.0
798.533656,1.0
798.652658,1.0
798.77166,1.0
798.890662,1.0
799.009664,1.0
799.128666,1.0
799.247668,1.0
799.36667,1.0
799.485672,1.0
799.604674,1.0
799.723676,1.0
799.842678,1.0
799.96168,1.0
800.080682,1.0
800.199684,1.0
800.318686,1.0
800.437688,1.0
800.55669,1.0
800.675692,1.0
800.794694,1.0
800.913696,1.0
801.032698,1.0
801.1517,1.0
801.270702,1.0
801.389704,1.0
801.508706,1.0
801.627708,1.0
801.74671,1.0
801.865712,1.0
801.984714,1.0
802.103716,1.0
802.222718,1.0
802.34172,1.0
802.460722,1.0
802.579724,1.0
802.698726,1.0
802.817728,1.0
802.93673,1.0
803.055732,1.0
803.174734,1.0
803.293736,1.0
803.412738,1.0
803.53174,1.0
803.650742,1.0
803.769744,1.0
803.888746,1.0
804.007748,1.0
804.12675,1.0
804.245752,1.0
804.364754,1.0
804.483756,1.0
804.602758,1.0
804.72176,1.0
804.840762,1.0
804.959764,1.0
805.078766,1.0
805.197768,1.0
805.31677,1.0
805.435772,1.0
805.554774,1.0
805.673776,1.0
805.792778,1.0
805.91178,1.0
806.030782,1.0
806.149784,1.0
806.268786,1.0
806.387788,1.0
806.50679,1.0
806.625792,1.0
806.744794,1.0
806.863796,1.0
806.982798,1.0
807.1018,1.0
807.220802,1.0
807.339804,1.0
807.458806,1.0
807.577808,1.0
807.69681,1.0
807.815812,1.0
807.934814,1.0
808.053816,1.0
808.172818,1.0
808.29182,1.0
808.410822,1.0
808.529824,1.0
808.648826,1.0
808.767828,1.0
808.88683,1.0
809.005832,1.0
809.124834,1.0
809.243836,1.0
809.362838,1.0
809.48184,1.0
809.600842,1.0
809.719844,1.0
809.838846,1.0
809.957848,1.0
810.07685,1.0
810.195852,1.0
810.314854,1.0
810.433856,1.0
810.552858,1.0
810.67186,1.0
810.790862,1.0
810.909864,1.0
811.028866,1.0
811.147868,1.0
811.26687,1.0
811.385872,1.0
811.504874,1.0
811.623876,1.0
811.742878,1.0
811.86188,1.0
811.980882,1.0
812.099884,1.0
812.218886,1.0
812.337888,1.0
812.45689,1.0
812.575892,1.0
812.694894,1.0
812.813896,1.0
812.932898,1.0
813.0519,1.0
813.170902,1.0
813.289904,1.0
813.408906,1.0
813.527908,1.0
813.64691,1.0
813.765912,1.0
813.884914,1.0
814.003916,1.0
814.122918,1.0
814.24192,1.0
814.360922,1.0
814.479924,1.0
814.598926,1.0
814.717928,1.0
814.83693,1.0
814.955932,1.0
815.074934,1.0
815.193936,1.0
815.312938,1.0
815.43194,1.0
815.550942,1.0
815.669944,1.0
815.788946,1.0
815.907948,1.0
816.02695,1.0
816.145952,1.0
816.264954,1.0
816.383956,1.0
816.502958,1.0
816.62196,1.0
816.740962,1.0
816.859964,1.0
816.978966,1.0
817.097968,1.0
817.21697,1.0
817.335972,1.0
817.454974,1.0
817.573976,1.0
817.692978,1.0
817.81198,1.0
817.930982,1.0
818.049984,1.0
818.168986,1.0
818.287988,1.0
818.40699,1.0
818.525992,1.0
818.644994,1.0
818.763996,1.0
818.882998,1.0
819.002,1.0
819.121002,1.0
819.240004,1.0
819.359006,1.0
819.478008,1.0
819.59701,1.0
819.716012,1.0
819.835014,1.0
819.954016,1.0
820.073018,1.0
820.19202,1.0
820.311022,1.0
820.430024,1.0
820.549026,1.0
820.668028,1.0
820.78703,1.0
820.906032,1.0
821.025034,1.0
821.144036,1.0
821.263038,1.0
821.38204,1.0
821.501042,1.0
821.620044,1.0
821.739046,1.0
821.858048,1.0
821.97705,1.0
822.096052,1.0
822.215054,1.0
822.334056,1.0
822.453058,1.0
822.57206,1.0
822.691062,1.0
822.810064,1.0
822.929066,1.0
823.048068,1.0
823.16707,1.0
823.286072,1.0
823.405074,1.0
823.524076,1.0
823.643078,1.0
823.76208,1.0
823.881082,1.0
824.000084,1.0
824.119086,1.0
824.238088,1.0
824.35709,1.0
824.476092,1.0
824.595094,1.0
824.714096,1.0
824.833098,1.0
824.9521,1.0
825.071102,1.0
825.190104,1.0
825.309106,1.0
825.428108,1.0
825.54711,1.0
825.666112,1.0
825.785114,1.0
825.904116,1.0
826.023118,1.0
826.14212,1.0
826.261122,1.0
826.380124,1.0
826.499126,1.0
826.618128,1.0
826.73713,1.0
826.856132,1.0
826.975134,1.0
827.094136,1.0
827.213138,1.0
827.33214,1.0
827.451142,1.0
827.570144,1.0
827.689146,1.0
827.808148,1.0
827.92715,1.0
828.046152,1.0
828.165154,1.0
828.284156,1.0
828.403158,1.0
828.52216,1.0
828.641162,1.0
828.760164,1.0
828.879166,1.0
828.998168,1.0
829.11717,1.0
829.236172,1.0
829.355174,1.0
829.474176,1.0
829.593178,1.0
829.71218,1.0
829.831182,1.0
829.950184,1.0
830.069186,1.0
830.188188,1.0
830.30719,1.0
830.426192,1.0
830.545194,1.0
830.664196,1.0
830.783198,1.0
830.9022,1.0
831.021202,1.0
831.140204,1.0
831.259206,1.0
831.378208,1.0
831.49721,1.0
831.616212,1.0
831.735214,1.0
831.854216,1.0
831.973218,1.0
832.09222,1.0
832.211222,1.0
832.330224,1.0
832.449226,1.0
832.568228,1.0
832.68723,1.0
832.806232,1.0
832.925234,1.0
833.044236,1.0
833.163238,1.0
833.28224,1.0
833.401242,1.0
833.520244,1.0
833.639246,1.0
833.758248,1.0
833.87725,1.0
833.996252,1.0
834.115254,1.0
834.234256,1.0
834.353258,1.0
834.47226,1.0
834.591262,1.0
834.710264,1.0
834.829266,1.0
834.948268,1.0
835.06727,1.0
835.186272,1.0
835.305274,1.0
835.424276,1.0
835.543278,1.0
835.66228,1.0
835.781282,1.0
835.900284,1.0
836.019286,1.0
836.138288,1.0
836.25729,1.0
836.376292,1.0
836.495294,1.0
836.614296,1.0
836.733298,1.0
836.8523,1.0
836.971302,1.0
837.090304,1.0
837.209306,1.0
837.328308,1.0
837.44731,1.0
837.566312,1.0
837.685314,1.0
837.804316,1.0
837.923318,1.0
838.04232,1.0
838.161322,1.0
838.280324,1.0
838.399326,1.0
838.518328,1.0
838.63733,1.0
838.756332,1.0
838.875334,1.0
838.994336,1.0
839.113338,1.0
839.23234,1.0
839.351342,1.0
839.470344,1.0
839.589346,1.0
839.708348,1.0
839.82735,1.0
839.946352,1.0
840.065354,1.0
840.184356,1.0
840.303358,1.0
840.42236,1.0
840.541362,1.0
840.660364,1.0
840.779366,1.0
840.898368,1.0
841.01737,1.0
841.136372,1.0
841.255374,1.0
841.374376,1.0
841.493378,1.0
841.61238,1.0
841.731382,1.0
841.850384,1.0
841.969386,1.0
842.088388,1.0
842.20739,1.0
842.326392,1.0
842.445394,1.0
842.564396,1.0
842.683398,1.0
