nu,[0]Isobutyricacid-HITRAN(x-sec)-X=0.01-T=340.1K-P=1.0atm-L=15cm
592.191932,0.4027295637450688
592.432986,0.39771086800432237
592.67404,0.397051215626387
592.915094,0.4031365260858382
593.156148,0.39976436218340783
593.397202,0.3985987528636433
593.638256,0.4055058414425886
593.87931,0.41250374271503226
594.120364,0.40924143151231857
594.361418,0.41141616906314776
594.602472,0.4250025967824643
594.843526,0.4233821838219855
595.08458,0.4188719560148785
595.325634,0.42420858455929156
595.566688,0.43042163680975376
595.807742,0.4190563002282779
596.048796,0.4220970563666182
596.28985,0.4304603765003266
596.530904,0.42681696971522903
596.771958,0.4257768058251297
597.013012,0.428626229383582
597.254066,0.44085908047895317
597.49512,0.4308436567698321
597.736174,0.43608417165983626
597.977228,0.44276771138106896
598.218282,0.44113249785947967
598.459336,0.4387831287193175
598.70039,0.44534767933362795
598.941444,0.45580508774573325
599.182498,0.45425798201751394
599.423552,0.45497627693265524
599.664606,0.467717873146366
599.90566,0.47034444076121407
600.146714,0.46784417402196643
600.387768,0.47089977478394845
600.628822,0.4793568353204685
600.869876,0.47664657291910173
601.11093,0.47401325193931
601.351984,0.48438753524204664
601.593038,0.4840098602769423
601.834092,0.4824924528920193
602.075146,0.48317807885435127
602.3162,0.4926186173292645
602.557254,0.4869323876169784
602.798308,0.48063362187570363
603.039362,0.48895246637947337
603.280416,0.48979908626135366
603.52147,0.47637496178906374
603.762524,0.4720596142475502
604.003578,0.47442582291084684
604.244632,0.4629158457756063
604.485686,0.45313734935301025
604.72674,0.45982467658922416
604.967794,0.46203714070279556
605.208848,0.45986146403482947
605.449902,0.4724326886878067
605.690956,0.4847024894889952
605.93201,0.4860372557975835
606.173064,0.49021069034332526
606.414118,0.49840115205736407
606.655172,0.5098799362993783
606.896226,0.5097575797980339
607.13728,0.5163760499283895
607.378334,0.5321020418737165
607.619388,0.5335246526657893
607.860442,0.5336206957468871
608.101496,0.5381058451358735
608.34255,0.5522082717341681
608.583604,0.545643198200325
608.824658,0.5476329586087573
609.065712,0.5549595781778897
609.306766,0.5590479675152309
609.54782,0.5534244672565256
609.788874,0.5582211884907012
610.029928,0.5686387114722332
610.270982,0.567218890209621
610.512036,0.568661457475609
610.75309,0.5766902413732223
610.994144,0.5821774388309834
611.235198,0.5734181917091156
611.476252,0.5824744250498358
611.717306,0.5916736872715845
611.95836,0.5843647027833108
612.199414,0.5821134028347563
612.440468,0.5953713205111798
612.681522,0.6010963747389753
612.922576,0.5927278043207796
613.16363,0.5957346078080522
613.404684,0.6018722894197577
613.645738,0.6036262886130421
613.886792,0.5959729493162992
614.127846,0.6041577135396947
614.3689,0.6112373094772446
614.609954,0.5997154417587641
614.851008,0.6029506056229014
615.092062,0.6150572045332949
615.333116,0.6115674667588055
615.57417,0.613509211668079
615.815224,0.6230739919948529
616.056278,0.6339849899391593
616.297332,0.6306589839563609
616.538386,0.6293989264659576
616.77944,0.6480742537981673
617.020494,0.6473811852044254
617.261548,0.6433219372676163
617.502602,0.6532077848094113
617.743656,0.6641083268271976
617.98471,0.6608621556401973
618.225764,0.6627615543602852
618.466818,0.6777478248349191
618.707872,0.6835947552636629
618.948926,0.6827203137388916
619.18998,0.6862316678710616
619.431034,0.6973554687638768
619.672088,0.6942869023088089
619.913142,0.6956212136902675
620.154196,0.7085249537041486
620.39525,0.7090210948008662
620.636304,0.7031113549999138
620.877358,0.7133379412207187
621.118412,0.726977319006954
621.359466,0.7247126844386501
621.60052,0.7231489944334308
621.841574,0.7335129694208987
622.082628,0.7430885963401875
622.323682,0.7335643171259069
622.564736,0.7399963686690119
622.80579,0.7536855804495626
623.046844,0.7476801495584611
623.287898,0.7412331950672829
623.528952,0.7538363326403691
623.770006,0.7627003888336689
624.01106,0.7578195366371591
624.252114,0.7632649960002926
624.493168,0.7744826662064515
624.734222,0.7722321976676139
624.975276,0.7674054494566581
625.21633,0.7796501387396987
625.457384,0.7914646996189474
625.698438,0.7790032976007514
625.939492,0.7817893094453758
626.180546,0.7984443555335824
626.4216,0.7975825011147645
626.662654,0.792272405472516
626.903708,0.7997388836742274
627.144762,0.8134832032882039
627.385816,0.8100980412985926
627.62687,0.808172300500865
627.867924,0.8228840296166338
628.108978,0.8229169456361344
628.350032,0.8182232973386082
628.591086,0.8225220402870951
628.83214,0.8339682057099642
629.073194,0.8270666456188824
629.314248,0.828656139003828
629.555302,0.8433442848709619
629.796356,0.8464958330369298
630.03741,0.8420802167317727
630.278464,0.8484365297442137
630.519518,0.8606563354957156
630.760572,0.8577779607413981
631.001626,0.8490221529665143
631.24268,0.8613365226393036
631.483734,0.8678642244516579
631.724788,0.856766379697916
631.965842,0.8629314700776746
632.206896,0.8772528638038027
632.44795,0.8754125657790502
632.689004,0.8719440674177081
