nu,[0]3-Pentanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
611.684034,0.9920155464455054
611.817636,0.9926800224971601
611.951239,0.9944386220384478
612.084842,0.9937132448619955
612.218444,0.9946049060770109
612.352047,0.9923158750038485
612.48565,0.9939661770670708
612.619252,0.995498462429423
612.752855,0.9914908098511886
612.886458,0.9926371396464645
613.02006,0.9939245307567479
613.153663,0.9932100565466712
613.287266,0.9942146002539042
613.420868,0.9940965939846647
613.554471,0.994996061622221
613.688074,0.9951451231966851
613.821676,0.9927574545587261
613.955279,0.9959603812999421
614.088882,0.9944567209860689
614.222484,0.9942919531587929
614.356087,0.9946967123466359
614.48969,0.9923662859307255
614.623292,0.9968171759578903
614.756895,0.9938640025959261
614.890498,0.9962695753867374
615.0241,0.9954784531114225
615.157703,0.9944346442919152
615.291306,0.9962433738414566
615.424908,0.9929940568501908
615.558511,0.9942586449362779
615.692114,0.9953932438028466
615.825717,0.9940987809995772
615.959319,0.9965732846362536
616.092922,0.9951833375031259
616.226525,0.9949837237475518
616.360127,0.9974365911580377
616.49373,0.9935560518609525
616.627333,0.9956274873907908
616.760935,0.9958948492628803
616.894538,0.9954989601787786
617.028141,0.9965642158606264
617.161743,0.9945911806240129
617.295346,0.9976558518166379
617.428949,0.9948800518449372
617.562551,0.9968467818676618
617.696154,0.9963550589834994
617.829757,0.9942885725718992
617.963359,0.9966175334724083
618.096962,0.9957686773786363
618.230565,0.9952590738368409
618.364167,0.9984471069880639
618.49777,0.9935560518609525
618.631373,0.9976550536922757
618.764975,0.9951515916610084
618.898578,0.9961976473200289
619.032181,0.997558285845384
619.165783,0.9935047856913551
619.299386,0.9976387920474332
619.432989,0.9969171617348418
619.566591,0.9950807393900529
619.700194,0.9974086633244768
619.833797,0.9946503605598457
619.967399,0.997946311709488
620.101002,0.9973665735669847
620.234605,0.995427585462148
620.368207,0.9970986171702213
620.50181,0.9967806931168903
620.635413,0.9979152760618006
620.769015,0.997853507017984
620.902618,0.9961345900047387
621.036221,0.9991439066571826
621.169823,0.9974033770725698
621.303426,0.9974767886626357
621.437029,0.9980896270896475
621.570631,0.9967309550012801
621.704234,0.9995315497570936
621.837837,0.9960223319623046
621.971439,0.9981261578385077
622.105042,0.9964689488754246
622.238645,0.9971298268453676
622.372247,0.9988300848849119
622.50585,0.9987274104297431
622.639453,0.9969849544067645
622.773055,0.9974219289479151
622.906658,0.9959257224817398
623.040261,0.9979559918356601
623.173863,0.9968863574704725
623.307466,0.9993226195258101
623.441069,0.9987532778046543
623.574671,0.9976575478330276
623.708274,0.9992273786257203
623.841877,0.9976898724612335
623.97548,0.9985554443763692
624.109082,0.9986806710806443
624.242685,0.9976910696897988
624.376288,0.9992740136557008
624.50989,0.9974412791210329
624.643493,0.9988285866409082
624.777096,0.9993397980292886
624.910698,0.9971131749163032
625.044301,0.9998260251353822
625.177904,0.9976094618981024
625.311506,0.9978344481980124
625.445109,0.998678074514275
625.578712,0.9975435220920055
625.712314,0.9997063231314962
625.845917,0.9974277140118798
625.97952,0.9998790873105285
626.113122,0.9982625111843898
626.246725,0.9962489528199712
626.380328,0.9998614495989935
626.51393,0.9985712216770307
626.647533,0.9987835404874491
626.781136,0.999184103025092
626.914738,0.9979616802010254
627.048341,0.9995188857725846
627.181944,0.9974054716218609
627.315546,0.9989098945970497
627.449149,0.9994015991132685
627.582752,0.9980982106973499
627.716354,0.9999713264110952
627.849957,0.9977298806272776
