nu,[0]HCFC-132-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
564.51829,0.9965662089910513
564.637293,0.9984052729307108
564.756295,0.9977715866079367
564.875298,0.9979443158188605
564.9943,0.9970823645952203
565.113302,0.9978905280698307
565.232305,0.998675378087114
565.351307,0.9971260377592248
565.470309,0.9990868172054174
565.589312,0.9987677598321769
565.708314,0.9987780471930829
565.827317,0.9976487684852359
565.946319,0.9965955084682958
566.065321,0.9965149868043306
566.184324,0.9967217851186756
566.303326,0.996618231104926
566.422328,0.9967022495631364
566.541331,0.9975784367262812
566.660333,0.9965636179222763
566.779336,0.9966384626603669
566.898338,0.9968821705565637
567.01734,0.9958722427063874
567.136343,0.9965008363919862
567.255345,0.9969256355667303
567.374347,0.9956975820332056
567.49335,0.99660856395497
567.612352,0.9961224372368727
567.731355,0.9960472328318632
567.850357,0.9960501213730268
567.969359,0.995356912612496
568.088362,0.9958986336704978
568.207364,0.994891990477191
568.326367,0.9953125206841409
568.445369,0.9941472942038025
568.564371,0.9935969872135517
568.683374,0.9932888212271337
568.802376,0.9944583121180953
568.921378,0.9947982760657061
569.040381,0.9935704585281526
569.159383,0.9939289040343045
569.278386,0.9927793947409099
569.397388,0.9932450181559823
569.51639,0.993539161551639
569.635393,0.9927326359325962
569.754395,0.9924639395777417
569.873397,0.9925932660545057
569.9924,0.9914340981988339
570.111402,0.9906951604454438
570.230405,0.9910906257938387
570.349407,0.9918771699287627
570.468409,0.9905583548904273
570.587412,0.9890474210753198
570.706414,0.9902455859507678
570.825417,0.9888654530914099
570.944419,0.9894164045745255
571.063421,0.9877466907374701
571.182424,0.9873832668293793
571.301426,0.9884116680000864
571.420428,0.987562986937976
571.539431,0.9871858099223623
571.658433,0.9866272208495661
571.777436,0.9862622363041564
571.896438,0.9851336123041328
572.01544,0.9852981433553479
572.134443,0.9849198615030634
572.253445,0.982370254939607
572.372447,0.9831997254220811
572.49145,0.9829677176648737
572.610452,0.9822680937455673
572.729455,0.9812941669441325
572.848457,0.9808821099320457
572.967459,0.9803790464564647
573.086462,0.9787745000606228
573.205464,0.9793227672811505
573.324466,0.9784104636615686
573.443469,0.9781795860367758
573.562471,0.9765386005046747
573.681474,0.976593288197544
573.800476,0.9755176751655833
573.919478,0.9743584739315106
574.038481,0.973899659149652
574.157483,0.9734030969576077
574.276486,0.9732765627799029
574.395488,0.9728182574582095
574.51449,0.9715631594279301
574.633493,0.9710328307357904
574.752495,0.9694135286247927
574.871497,0.9692051271201029
574.9905,0.9673857005727973
575.109502,0.9661453405800429
