nu,[0]2-Nonanone-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
607.716154,0.9518907587377693
607.835157,0.953721098363649
607.954159,0.9542982742062464
608.073161,0.9556380943490117
608.192164,0.9572554454515144
608.311166,0.9572516164373907
608.430169,0.9588304677174001
608.549171,0.959025130059906
608.668173,0.9601200022390999
608.787176,0.9615256858091837
608.906178,0.9622047626292761
609.025181,0.9627244935158058
609.144183,0.9632281301154054
609.263185,0.9640867488371754
609.382188,0.9643065856763576
609.50119,0.9676072572655015
609.620192,0.9661231194927531
609.739195,0.9661037972235865
609.858197,0.967021064901824
609.9772,0.9682141372528011
610.096202,0.9685579142883393
610.215204,0.9698304660772293
610.334207,0.9701379510687721
610.453209,0.971350410392885
610.572211,0.9723961459392978
610.691214,0.9734196449509135
610.810216,0.9715427568158104
610.929219,0.9733437211796729
611.048221,0.9724457394073635
611.167223,0.9749091420183676
611.286226,0.9756757218303943
611.405228,0.9756376712192347
611.52423,0.9753996446678774
611.643233,0.9766811855488032
611.762235,0.976651885552739
611.881238,0.9790064971077014
612.00024,0.977077798617141
612.119242,0.9780064635718374
612.238245,0.9789007701153741
612.357247,0.9793903428834243
612.47625,0.9782686044293806
612.595252,0.9790946116575363
612.714254,0.9789790853095494
612.833257,0.9811872117091017
612.952259,0.9802114159723354
613.071261,0.9803388517395573
613.190264,0.9806751656402406
613.309266,0.9811244177369809
613.428269,0.9819989891568933
613.547271,0.9823034560334596
613.666273,0.9830502904211648
613.785276,0.9824901114218063
613.904278,0.9827524713050417
614.02328,0.9834416223066318
614.142283,0.984785921510025
614.261285,0.9834622747975507
614.380288,0.9840731945411474
614.49929,0.9852882904231791
614.618292,0.986437806607512
614.737295,0.9849080425356393
614.856297,0.9862829480285912
614.9753,0.9856864273107462
615.094302,0.9876321187666474
615.213304,0.9871157222180007
615.332307,0.986608475110455
615.451309,0.9876992800341807
615.570311,0.9877358255836305
615.689314,0.9873803046840219
615.808316,0.9872401066350539
615.927319,0.9875679247652552
616.046321,0.9876933538562791
616.165323,0.9884383554754017
616.284326,0.9879956342691036
616.403328,0.9875669371978242
616.52233,0.9898152197414276
