nu,[0]Propionaldehyde-PNNL(x-sec)-X=0.01-T=278.28K-P=1.0atm-L=15cm
580.51881,0.998412661157067
580.638413,0.9983201125930699
580.758015,1.0019514015105893
580.877618,1.0013826549872296
580.99722,1.0016630813884901
581.116822,0.9997723859080189
581.236425,0.9995657043336763
581.356027,0.9996929071626611
581.47563,1.0017300948902117
581.595232,1.0004001500386759
581.714834,1.0011540654215878
581.834437,1.0006547242384078
581.954039,1.0021309672903533
582.073641,1.0006986139171066
582.193244,1.0001321787348392
582.312846,1.0020240456205158
582.432449,1.0009960957741972
582.552051,1.00151424531339
582.671653,0.9997270172665687
582.791256,0.9989257773906417
582.910858,1.001451352193649
583.030461,1.0006805714837508
583.150063,1.0021116263493253
583.269665,1.0004866883943841
583.389268,1.000134939103462
583.50887,1.000576095879526
583.628473,1.002664643869438
583.748075,1.001416702576305
583.867677,1.001955409324211
583.98728,1.0012421708559271
584.106882,1.001886877918014
584.226485,1.0009710311457696
584.346087,1.0011400493627847
584.465689,1.0008094574339848
584.585292,1.0009957153957532
584.704894,1.000240608941689
584.824496,1.0014359299615767
584.944099,1.0006373830422988
585.063701,1.000713234230657
585.183304,1.0025260851902806
585.302906,1.0009703905245146
585.422508,0.9998168567727688
585.542111,1.00194719332354
585.661713,1.0013656316267938
585.781316,1.0000308134747253
585.900918,1.0010511520734993
586.02052,1.0007836068595608
586.140123,1.001430622365213
586.259725,1.0024179184613886
586.379328,1.0024260380794126
586.49893,1.0017585444288881
586.618532,0.9998185964556131
586.738135,0.9984670761298945
586.857737,1.0014259156523486
586.97734,1.0014768895287296
587.096942,1.0029241670601239
587.216544,1.0033275239571682
587.336147,1.001825664499862
587.455749,1.0008180444159676
587.575352,0.9997936712886969
587.694954,0.9996020192153706
587.814556,1.002461524589268
587.934159,1.002907418366386
588.053761,1.0013346899068285
588.173363,1.0009478789535753
588.292966,1.0013549170718583
588.412568,1.002182277709414
588.532171,1.0008860923480707
588.651773,1.0019955885417127
588.771375,1.0020630251140368
588.890978,1.0017191760916848
589.01058,1.0018746549726634
589.130183,1.0026503058675478
589.249785,1.002081062410824
589.369387,1.002251631122632
589.48899,0.9998128575133401
589.608592,1.0015445916547678
589.728195,1.0016744002452613
589.847797,1.0030829425225158
589.967399,1.0018906850953837
590.087002,1.0013465057258828
590.206604,1.001501125562711
590.326207,1.0011802960017209
590.445809,1.0024073931285027
590.565411,1.001043844426762
590.685014,1.0020764528485389
590.804616,1.0009830228505527
590.924218,1.0007092213786335
591.043821,1.0023262014179681
591.163423,1.0030358990356898
591.283026,1.0014103936709517
591.402628,1.0018457012135185
591.52223,1.0020494973545102
591.641833,1.0006479698418154
591.761435,1.0007425155282739
591.881038,1.0013193696032736
592.00064,1.0030103219463737
592.120242,1.001683515523778
592.239845,1.000794665579516
592.359447,1.002933694884968
592.47905,1.0018186517447552
592.598652,1.002247421674621
592.718254,1.0016605772339169
