nu,[0]Dimethylsulfoxide-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
637.910652,0.9364651226717418
638.030254,0.9364716779505439
638.149856,0.9351297399638577
638.269458,0.9345725686923713
638.38906,0.933941011126443
638.508662,0.933692615855519
638.628264,0.9323593219728274
638.747866,0.9328825222964231
638.867468,0.9316370234251382
638.98707,0.9318680980590179
639.106672,0.9307198127574767
639.226274,0.9300025043397688
639.345876,0.9301829423275296
639.465478,0.9283838502342606
639.58508,0.9290358045063007
639.704682,0.9275653766782515
639.824284,0.9275013768752792
639.943886,0.9259213343966884
640.063488,0.9261528436677406
640.18309,0.9244817211099625
640.302692,0.9250088259015894
640.422294,0.9247313648750539
640.541896,0.9239521448218626
640.661498,0.9225119031565205
640.7811,0.9222683921589532
640.900702,0.9213668545951492
641.020304,0.9211162768908121
641.139906,0.9204643573735145
641.259508,0.9191168643695896
641.37911,0.9184681968699153
641.498712,0.9169090442786139
641.618314,0.9179567525347291
641.737916,0.916488279600171
641.857518,0.9162830092166818
641.97712,0.9157407302056502
642.096722,0.9160796169660108
642.216324,0.9137840541947689
642.335926,0.9131692844195292
642.455528,0.9132259026703109
642.57513,0.9124472531165805
642.694732,0.9117230575412958
642.814334,0.9106396630315501
642.933936,0.9111770989607477
643.053538,0.9096976385620688
643.17314,0.9095184457783407
643.292742,0.9076721807370738
643.412344,0.9081887931702122
643.531946,0.9061540085711509
643.651548,0.9068012335650975
643.77115,0.9050211186768051
643.890752,0.9050165935825244
644.010354,0.9045931449114456
644.129956,0.9041319200298826
644.249558,0.9035173193121889
644.36916,0.9018834320782454
644.488762,0.9016940564426467
644.608364,0.9014686611041273
644.727966,0.9017211076701064
644.847568,0.8996855190483288
644.96717,0.898957068840062
645.086772,0.8988761663445334
645.206374,0.8986604619501734
645.325976,0.8970802105662744
645.445578,0.8967124830692303
645.56518,0.8963269795906984
645.684782,0.8952341274509531
645.804384,0.8943214541834483
645.923986,0.8940263767940149
646.043588,0.8944108908006231
646.16319,0.8928916839779368
646.282792,0.8921508913517028
646.402394,0.8912324490126131
646.521996,0.891419627479957
646.641598,0.8909205722370781
646.7612,0.8908938450208213
646.880802,0.889567401637464
647.000404,0.8896474663064673
647.120006,0.8893717183350562
647.239608,0.8877900447834952
647.35921,0.8882962293579205
647.478812,0.8865746051883694
647.598414,0.8870534847610189
647.718016,0.8865391429134121
647.837618,0.8852368877653667
647.95722,0.884927109069083
648.076822,0.8842990338147436
648.196424,0.8829117736158655
648.316026,0.8825939825831818
648.435628,0.8818705521644714
648.55523,0.8815355050176386
648.674832,0.8817911873862452
648.794434,0.8809362646390461
648.914036,0.8801965888840593
649.033638,0.8798797751419561
649.15324,0.8802141929918774
649.272842,0.8792025284885201
649.392444,0.8790091252073936
649.512046,0.8782535023241266
649.631648,0.8782359374297296
649.75125,0.8764373978908895
649.870852,0.8764286335607323
649.990454,0.8769546485295789
650.110056,0.8756664722377833
650.229658,0.8757190138023487
650.34926,0.8752812637420824
650.468862,0.8763760494202586
650.588464,0.876095653950112
650.708066,0.8761131760384113
650.827668,0.875167484573602
650.94727,0.8756664722377833
651.066872,0.8753863037960086
651.186474,0.8751937399919686
651.306076,0.8745550817004126
651.425678,0.8754300742054495
651.54528,0.8739343679718541
651.664882,0.8739955455188013
651.784484,0.8734800402359576
651.904086,0.8729648390115248
652.023688,0.8727466250796498
652.14329,0.8709070711126567
652.262892,0.8703759797985972
652.382494,0.8692973824522059
652.502096,0.8694886489148849
652.621698,0.8679336563668536
652.7413,0.8682027575088492
652.860902,0.8665980672036613
652.980504,0.8672048982167795
653.100106,0.8665634039742424
653.219708,0.8666500646476012
653.33931,0.8653510640446446
653.458912,0.863881216959779
653.578514,0.8648060645671577
653.698116,0.8620344878603947
653.817718,0.8624569882635916
653.93732,0.8605358520427848
654.056922,0.860905962027107
654.176524,0.8590741838642821
654.296126,0.8576750335618634
654.415728,0.8568777665672663
654.53533,0.8574863658086935
654.654932,0.8550887621959212
654.774534,0.8533290924279365
654.894136,0.8528087204111565
655.013738,0.852229007605969
655.13334,0.8499565911815732
655.252942,0.8482923077933703
655.372544,0.8472495496824883
655.492146,0.8443231318629062
655.611748,0.8429227181289946
655.73135,0.840305300669423
655.850952,0.8390457875893876
655.970554,0.8363651324048887
656.090156,0.8347858951539451
656.209758,0.8321022076272625
656.32936,0.8303317161677992
656.448962,0.8285981351042578
656.568564,0.8259508589727432
656.688166,0.8231062383014528
656.807768,0.8213548878642281
656.92737,0.8189027045904052
657.046972,0.8155276107865368
