nu,[0]Methylisoamylketone-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
611.048221,0.9656681826495088
611.167223,0.9718498128392608
611.286226,0.968607312001599
611.405228,0.9705454945863687
611.52423,0.9736318735655913
611.643233,0.9696966387072116
611.762235,0.9757449972658931
611.881238,0.9714300643923066
612.00024,0.9691246864328866
612.119242,0.9692080347398457
612.238245,0.972360167947495
612.357247,0.9711513039678603
612.47625,0.9728561981100883
612.595252,0.9733271744770603
612.714254,0.9741908986858787
612.833257,0.9777492816928175
612.952259,0.9751441234357175
613.071261,0.9776348917188034
613.190264,0.9747258763271829
613.309266,0.9762622791820431
613.428269,0.9791993803860107
613.547271,0.9706037290630608
613.666273,0.9804819916608712
613.785276,0.9812657098259213
613.904278,0.9776172944491284
614.02328,0.9837632603020723
614.142283,0.9722707149269458
614.261285,0.9776006750963876
614.380288,0.9808350287207271
614.49929,0.9805221922466357
614.618292,0.979211130849078
614.737295,0.9791709840157289
614.856297,0.9796724479233506
614.9753,0.9839019807013333
615.094302,0.9821963907919136
615.213304,0.9776485787030961
615.332307,0.9812657098259213
615.451309,0.9810371015494304
615.570311,0.982439023264316
615.689314,0.982203266190713
615.808316,0.988533250112397
615.927319,0.9833560666072181
616.046321,0.9855533686247226
616.165323,0.984995703252269
616.284326,0.9874879350029784
616.403328,0.9813010360273429
616.52233,0.9855444986843198
616.641333,0.9908703308344167
616.760335,0.9849966882484649
616.879338,0.9873181016842419
616.99834,0.9878415189714633
617.117342,0.9898102706777016
617.236345,0.9852951874653517
617.355347,0.9889406097217607
617.474349,0.986199117540855
617.593352,0.9941054414837225
617.712354,0.9896291519710346
617.831357,0.9893451691579019
617.950359,0.9890899510288136
618.069361,0.9935738366734544
618.188364,0.9954476933024629
618.307366,0.9916429162076791
618.426369,0.9884966750587856
618.545371,0.9865246169540928
618.664373,0.9952274251015104
618.783376,0.9883780625746699
618.902378,0.98720259222378
619.02138,0.9912669565003187
619.140383,0.993756273577063
619.259385,0.9880677605829836
619.378388,0.9928077886376303
619.49739,0.9901388432301383
619.616392,0.9905884683221378
619.735395,0.9909539638196014
619.854397,0.9936764781521239
619.973399,0.9937236789058452
620.092402,0.9896054011563983
620.211404,0.9927617234249587
620.330407,0.9902078583126591
620.449409,0.9931810552364412
620.568411,0.98965092405187
620.687414,0.991266262613692
620.806416,0.995261860566149
620.925419,0.9900843870913182
621.044421,0.9927990519675317
621.163423,0.9940897347418306
621.282426,0.9898765901875157
621.401428,0.9947399825947442
621.52043,0.9951946826578407
621.639433,0.9910182788188524
621.758435,0.9962514434454666
621.877438,0.9916465852932569
621.99644,0.9983831085796769
622.115442,0.98717297659025
622.234445,0.9967903619365073
622.353447,0.9890474210753198
622.472449,0.9951795558136286
622.591452,0.9961681603060782
622.710454,0.9972399160550639
622.829457,0.9941269143931651
622.948459,0.9919011736467188
623.067461,0.9992691372104127
623.186464,0.9888031565302274
623.305466,0.9941824876409375
623.424468,0.9939108146928646
623.543471,0.9915267024681578
623.662473,0.992070009594005
623.781476,0.998354655066547
623.900478,0.9915267024681578
624.01948,0.9966882958293188
624.138483,0.9932494877686207
624.257485,0.9958855874838495
624.376488,0.9976372955903675
624.49549,0.9939118086041763
624.614492,0.9939916229269093
624.733495,0.9950603404439854
624.852497,0.9987652629158985
624.971499,0.9970913383768836
625.090502,0.9988749333625639
625.209504,0.9958320102804825
625.328507,0.9977253908529168
625.447509,0.9939378494346951
625.566511,1.0
625.685514,0.9912897559025103
625.804516,0.9982271733169779
625.923518,0.995774452853714
626.042521,0.9974425757955385
626.161523,0.9949968576193886
626.280526,0.9929543378823015
626.399528,0.9972112956801774
626.51853,0.9975678624508957
626.637533,0.9996277892876008
626.756535,0.9971723054807797
626.875538,0.9967941497470795
626.99454,0.9956120552843353
627.113542,0.9986303388432048
627.232545,0.9958946500839303
627.351547,0.99471133449578
627.470549,0.9991698847364693
627.589552,0.9913708467211124
627.708554,0.9974974366458669
627.827557,0.9989273756731641
627.946559,0.9980511015735891
628.065561,0.997906195074107
628.184564,0.9953578084341205
628.303566,0.9989037013749021
628.422568,0.996826745448713
628.541571,1.0
628.660573,0.9993053913523567
628.779576,0.9969164638930729
628.898578,0.9956983785915897
629.01758,0.9974101594385939
629.136583,0.9962165752551428
629.255585,0.9952637515654805
629.374587,0.9963812634661381
629.49359,0.9954453042308657
629.612592,1.0
629.731595,0.9975735486039172
629.850597,0.9974793821056577
629.969599,0.9987126293734488
630.088602,0.9958279273776104
630.207604,0.9971469776258856
630.326607,0.9976523600272672
630.445609,0.9960854817799791
630.564611,0.995961775645452
630.683614,0.9960760190128504
630.802616,1.0
630.921618,0.9964923661708753
631.040621,0.9948857226773946
631.159623,0.9990710117769904
631.278626,1.0
631.397628,0.9974290106687508
631.51663,0.9984647796582603
631.635633,0.9932558445856842
631.754635,0.9993855088770496
631.873637,0.9900488436998294
631.99264,0.9998977052324666
632.111642,0.9955763134531204
632.230645,1.0
632.349647,0.9985531477014883
632.468649,0.9991413588434691
632.587652,0.9972869868899646
632.706654,0.9998493813441288
632.825657,0.9953256588961259
632.944659,0.9965765733335192
