nu,[0]Acetone-PNNL(x-sec)-X=0.01-T=278.25K-P=1.0atm-L=15cm
632.450649,0.999936519015003
632.568651,1.0003614453056187
632.686654,0.9999577358931525
632.804656,0.9994244057179826
632.922658,0.9998777074783401
633.040661,1.0004820361420994
633.158663,0.9999912397383713
633.276666,0.9999179673648606
633.394668,0.9996005198134663
633.51267,0.9999497472627111
633.630673,1.0008504314119038
633.748675,1.0001663638369285
633.866677,1.0000248323083167
633.98468,1.0001569623172957
634.102682,0.9996771521265942
634.220684,1.0004994246709935
634.338687,1.0000667042246278
634.456689,1.0002338073286738
634.574691,1.0000269433629658
634.692694,0.9999257287582453
634.810696,0.9997327157268077
634.928699,0.9999072802987372
635.046701,1.0005162532128442
635.164703,0.9998894061159546
635.282706,1.0000457020443065
635.400708,0.9999993683501995
635.51871,0.9999986876008612
635.636713,1.0000609178554172
635.754715,1.0007739193211342
635.872717,1.0003012753743123
635.99072,1.0004893596974083
636.108722,1.0001987397461272
636.226725,1.0002122225160126
636.344727,0.9999919639322894
636.462729,0.9997610785462775
636.580732,1.0001743752015884
636.698734,0.999671983809078
636.816736,1.0002549324897654
636.934739,1.000583039901727
637.052741,1.000732918453568
637.170743,0.999646042657686
637.288746,0.999852560870217
637.406748,0.9997683868264734
637.52475,1.0003580340789062
637.642753,1.0002550525203646
637.760755,1.0002200442061755
637.878758,1.0001718047567472
637.99676,0.9998816370054521
638.114762,1.00006276196945
638.232765,1.0003406580107659
638.350767,0.9998662889401208
638.468769,1.0000318175061662
638.586772,1.0002709366967186
638.704774,0.9998248053483756
638.822776,1.0002288261767163
638.940779,1.0005005352259713
639.058781,0.9999861120964378
639.176784,1.0004773939162217
639.294786,1.0001254878729444
639.412788,1.0003525521319
639.530791,1.0000518653449606
639.648793,1.000165593709125
639.766795,1.0003577439751186
639.884798,1.0005269487887587
640.0028,0.9999417866944602
640.120802,0.9994986257301063
640.238805,1.0004296922912956
640.356807,1.0002579232564848
640.474809,1.0002490109980928
640.592812,0.9997669971493816
640.710814,1.0005958974763995
640.828817,0.9998980251997834
640.946819,1.0005306407400114
641.064821,0.9999759362895357
641.182824,1.0004050720195221
641.300826,1.000553262993542
641.418828,0.9999276066205272
641.536831,1.0000709235149536
641.654833,1.0002672156957553
641.772835,1.0004306026827299
641.890838,1.0003548329383192
642.00884,1.0003636861177658
642.126843,0.9996042783184869
642.244845,1.0001135064413686
642.362847,1.0000375087034339
642.48085,1.0005117909203058
642.598852,0.9998977052324666
642.716854,1.0004640776507288
642.834857,1.0009158591430871
642.952859,0.9998150071132946
643.070861,1.0007495307578962
643.188864,0.9998543206122726
643.306866,1.000534292683515
643.424868,0.9999910702398705
643.542871,1.000490930466936
643.660873,0.9996938668683127
643.778876,0.9997025842368394
643.896878,1.000070895512968
644.01488,0.9999946830141352
644.132883,1.000925297824142
644.250885,0.9999067873445695
644.368887,1.0000475311295685
644.48689,1.0005470895989543
644.604892,1.0006437671291677
644.722894,1.0003897459312168
644.840897,1.0006559950707146
644.958899,1.000333985760829
645.076902,1.0007522628078445
645.194904,0.9998417125287838
645.312906,0.9999291945068273
645.430909,0.9997352150617211
645.548911,1.0005061780649027
645.666913,1.0001503212971141
645.784916,1.0001876476036093
645.902918,1.0000180681632274
646.02092,1.0003012153562376
646.138923,1.0005050474935604
646.256925,0.9997772448136215
646.374927,1.00036481652937
646.49293,1.0005311209948342
646.610932,1.0002609240347557
646.728935,0.9996561891165121
646.846937,1.0004720613859235
646.964939,1.000102005202177
647.082942,0.9997215787663875
647.200944,0.999597840887663
647.318946,1.00026383479828
647.436949,0.9998083783617718
647.554951,1.000135379162932
647.672953,1.0001490010995613
647.790956,0.9999395468273667
647.908958,0.999784483227077
648.026961,0.999885866513722
648.144963,0.9999940886174723
648.262965,1.0005578155212458
648.380968,1.0000115220663786
648.49897,1.0002877713982468
