nu,[0]Styrene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
662.777256,0.9849178916653103
662.895258,0.9846165528976435
663.01326,0.9840220240654751
663.131263,0.9836737419185331
663.249265,0.9838478675805191
663.367267,0.9836875134473204
663.48527,0.9830296465818269
663.603272,0.98279276498238
663.721274,0.98226023563225
663.839277,0.9818035908008323
663.957279,0.9816543679962512
664.075282,0.9812176289841301
664.193284,0.980907613198445
664.311286,0.9803927718591926
664.429289,0.9803908110756097
664.547291,0.9798086318581761
664.665293,0.9795274671299014
664.783296,0.9791327970920021
664.901298,0.9784926535924449
665.0193,0.9785650647279898
665.137303,0.9774980324143376
665.255305,0.9770865923569003
665.373307,0.9765405535838287
665.49131,0.976665558774849
665.609312,0.9754250053883267
665.727315,0.9752318903562789
665.845317,0.9745251034769731
665.963319,0.9744559146508586
666.081322,0.9738402530823475
666.199324,0.973214275073113
666.317326,0.9728863571196918
666.435329,0.9723280805913971
666.553331,0.9714572648149138
666.671333,0.9709561221721904
666.789336,0.9705697585270314
666.907338,0.9699352134238206
667.025341,0.9687264580283056
667.143343,0.96884755640405
667.261345,0.9680882775960132
667.379348,0.9672386691209836
667.49735,0.966402369423958
667.615352,0.9656256941842254
667.733355,0.9650445624545275
667.851357,0.9641860548864793
667.969359,0.9631096603414417
668.087362,0.962733158075238
668.205364,0.9618555456871514
668.323366,0.9611190464543733
668.441369,0.959824330814147
668.559371,0.9593464572977833
668.677374,0.9586339276175666
668.795376,0.9573195837149675
668.913378,0.9564258646555485
669.031381,0.9552645128940551
669.149383,0.9545349695272561
669.267385,0.9536190556655059
669.385388,0.9527202167651624
669.50339,0.9519735768363146
669.621392,0.9507016386442388
669.739395,0.9492538728247117
669.857397,0.9479808285311608
669.9754,0.9472833713370935
670.093402,0.9464113249910765
670.211404,0.9453566644462302
670.329407,0.9438811699975276
670.447409,0.9429349318018023
670.565411,0.9409737835375537
670.683414,0.9400906238631708
670.801416,0.9389350232358972
670.919418,0.937541739495611
671.037421,0.9361907785841704
671.155423,0.9347193081043984
671.273425,0.9331549637674527
671.391428,0.9318662343246855
671.50943,0.9303001527623652
671.627433,0.9287153424366317
671.745435,0.9274206877655182
671.863437,0.9261287640068423
671.98144,0.9240861275963782
672.099442,0.9229086685733289
672.217444,0.9212231325764414
672.335447,0.9190185241263988
672.453449,0.9172758812588302
672.571451,0.9155896454500014
672.689454,0.9137411073534805
672.807456,0.912236502143785
672.925459,0.9104739416939776
673.043461,0.9079508788745352
673.161463,0.9063542907374093
673.279466,0.9041771277560678
673.397468,0.9023254632487562
673.51547,0.9002344946354796
673.633473,0.8980944841608681
673.751475,0.8960491612910867
673.869477,0.8939995564050189
673.98748,0.8916781766597451
674.105482,0.8894250822390574
674.223484,0.887151066011213
674.341487,0.8848120760222141
674.459489,0.8821263317108408
674.577492,0.8797566005958557
674.695494,0.877393235491447
674.813496,0.8752287484417326
674.931499,0.8720661481325973
675.049501,0.8694017043972917
675.167503,0.867100839872619
675.285506,0.8644169893865838
675.403508,0.8613968183062121
675.52151,0.8584644576721503
675.639513,0.8559956368424979
675.757515,0.8530560708041492
675.875518,0.8499055953159935
675.99352,0.8475630900172558
